date,ts_code,name,weight
2017-02-28,00522.HK,ASMPT,0.19747264
2017-02-28,00358.HK,江西铜业股份,0.17980100
2017-02-28,00027.HK,银河娱乐,0.17033581
2017-02-28,02689.HK,玖龙纸业,0.16608551
2017-02-28,00005.HK,汇丰控股,0.16174657
2017-02-28,02388.HK,中银香港,0.12455848
2017-03-31,03323.HK,中国建材,0.19541614
2017-03-31,00880.HK,澳博控股,0.18475788
2017-03-31,00010.HK,恒隆集团,0.17007379
2017-03-31,00522.HK,ASMPT,0.16840717
2017-03-31,02689.HK,玖龙纸业,0.16586995
2017-03-31,00358.HK,江西铜业股份,0.11547507
2017-04-28,01929.HK,周大福,0.26149834
2017-04-28,01093.HK,石药集团,0.23720853
2017-04-28,00991.HK,大唐发电,0.17353842
2017-04-28,00522.HK,ASMPT,0.17099946
2017-04-28,03323.HK,中国建材,0.08443241
2017-04-28,02689.HK,玖龙纸业,0.07624171
2017-05-31,02382.HK,舜宇光学科技,0.18848585
2017-05-31,00460.HK,四环医药,0.18258069
2017-05-31,00522.HK,ASMPT,0.18183617
2017-05-31,01972.HK,太古地产,0.15680057
2017-05-31,03888.HK,金山软件,0.15372025
2017-05-31,02018.HK,瑞声科技,0.13649885
2017-05-31,CASH,现金,0.00007762
2017-06-30,00960.HK,龙湖集团,0.15927802
2017-06-30,02018.HK,瑞声科技,0.15459126
2017-06-30,00696.HK,中国民航信息网络,0.14639515
2017-06-30,01910.HK,新秀丽,0.13784984
2017-06-30,00285.HK,比亚迪电子,0.13610033
2017-06-30,00753.HK,中国国航,0.13372704
2017-06-30,01093.HK,石药集团,0.13205836
2017-07-31,01918.HK,融创中国,0.21877756
2017-07-31,00960.HK,龙湖集团,0.17446141
2017-07-31,01088.HK,中国神华,0.16125877
2017-07-31,00288.HK,万洲国际,0.14961353
2017-07-31,01910.HK,新秀丽,0.14849227
2017-07-31,00753.HK,中国国航,0.14289739
2017-07-31,CASH,现金,0.00449908
2017-08-31,01918.HK,融创中国,0.19055054
2017-08-31,00700.HK,腾讯控股,0.17790226
2017-08-31,02007.HK,碧桂园,0.16327521
2017-08-31,01088.HK,中国神华,0.16143286
2017-08-31,03993.HK,洛阳钼业,0.15863319
2017-08-31,02601.HK,中国太保,0.14973747
2017-09-29,01918.HK,融创中国,0.23225409
2017-09-29,00763.HK,中兴通讯,0.16667844
2017-09-29,00384.HK,中国燃气,0.16206430
2017-09-29,00700.HK,腾讯控股,0.15459017
2017-09-29,02202.HK,万科企业,0.14409525
2017-09-29,03968.HK,招商银行,0.14155147
2017-10-31,00763.HK,中兴通讯,0.19620410
2017-10-31,00384.HK,中国燃气,0.18689334
2017-10-31,02319.HK,蒙牛乳业,0.17518628
2017-10-31,01918.HK,融创中国,0.16133207
2017-10-31,01044.HK,恒安国际,0.14707610
2017-10-31,00669.HK,创科实业,0.13330811
