date,portfolio_return,gross_return,net_return,trading_cost,eligible_count,candidate_family,market_risk_off,risk_stage,market_momentum,cash_weight_target,cash_after_trade,selected_count,buy_candidate_count,keep_candidate_count
2023-02-28,-0.07494436,-0.07464445,-0.07494436,0.00029991,444,high_concentration_breakout,False,risk_on,0.06515927,0.00000000,0.00000000,6,7,49
2023-03-31,0.03660473,0.03702133,0.03660473,0.00038538,445,high_concentration_breakout,False,risk_on,0.15647283,0.00000000,0.00000000,6,3,43
2023-04-28,0.04623361,0.04684574,0.04623361,0.00058698,448,high_concentration_breakout,False,risk_on,0.12267986,0.00000000,0.00000000,6,10,46
2023-05-31,-0.07430832,-0.07392565,-0.07430832,0.00038392,448,high_concentration_breakout,False,risk_on,0.16204860,0.00000000,0.00999247,6,17,54
2023-06-30,0.02268655,0.02300831,0.02268655,0.00029882,449,high_concentration_breakout,False,caution,0.14370153,0.30000000,0.27926014,6,3,60
2023-07-31,0.01012709,0.01055609,0.01012709,0.00040745,449,high_concentration_breakout,False,caution,-0.03581717,0.30000000,0.28888809,6,12,54
2023-08-31,-0.07013433,-0.06962972,-0.07013433,0.00048412,452,high_concentration_breakout,False,risk_on,0.07869138,0.00000000,0.00000000,6,27,58
2023-09-29,0.00512820,0.00512820,0.00512820,0.00000000,453,high_concentration_breakout,False,caution,0.17516078,0.30000000,0.00000000,6,5,57
2023-10-31,-0.06891140,-0.06854157,-0.06891140,0.00033162,456,high_concentration_breakout,False,caution,0.24321655,0.30000000,0.26265341,6,10,47
2023-11-30,-0.07562275,-0.07520465,-0.07562275,0.00034906,457,high_concentration_breakout,False,caution,0.36976567,0.30000000,0.25162030,6,7,47
2023-12-29,0.01116388,0.01149144,0.01116388,0.00025280,459,high_concentration_breakout,False,caution,0.03255460,0.30000000,0.23109721,6,10,51
2024-01-31,-0.07052515,-0.07017864,-0.07052515,0.00027041,462,high_concentration_breakout,False,caution,-0.00353167,0.30000000,0.23385040,6,21,54
2024-02-29,0.00211108,0.00231505,0.00211108,0.00014795,466,high_concentration_breakout,True,risk_off,-0.06982058,1.00000000,0.72686142,6,3,50
2024-03-28,0.00000000,0.00000000,0.00000000,0.00000000,466,high_concentration_breakout,True,risk_off,-0.12501840,1.00000000,0.72686142,6,20,54
2024-04-30,0.01343624,0.01364619,0.01343624,0.00015261,468,high_concentration_breakout,False,caution,-0.04838655,0.30000000,0.21801264,6,11,52
2024-05-31,0.00739113,0.00780687,0.00739113,0.00030625,469,high_concentration_breakout,False,caution,-0.04411826,0.30000000,0.21856627,6,17,55
2024-06-28,0.04928618,0.04971770,0.04928618,0.00032022,469,high_concentration_breakout,False,risk_on,0.11056144,0.00000000,0.00000000,6,9,51
2024-07-31,-0.08892927,-0.08842640,-0.08892927,0.00039156,469,high_concentration_breakout,False,risk_on,0.10694983,0.00000000,-0.00105316,6,18,54
2024-08-30,0.00155171,0.00204848,0.00155171,0.00035241,471,high_concentration_breakout,False,risk_on,0.00900634,0.00000000,0.00000000,6,10,55
2024-09-30,0.12036666,0.12087247,0.12036666,0.00035938,471,high_concentration_breakout,False,risk_on,0.07122244,0.00000000,0.00123009,6,22,58
2024-10-31,0.09539247,0.09602913,0.09539247,0.00050680,474,high_concentration_breakout,False,risk_on,0.07517898,0.00000000,0.00000000,6,24,53
2024-11-29,-0.06044693,-0.06018671,-0.06044693,0.00022690,476,high_concentration_breakout,False,risk_on,0.36335653,0.00000000,0.00230492,6,2,51
2024-12-31,0.01259908,0.01320997,0.01259908,0.00050047,479,high_concentration_breakout,False,risk_on,0.30364554,0.00000000,0.00000000,6,8,49
2025-01-28,0.03066651,0.03125713,0.03066651,0.00048996,482,high_concentration_breakout,False,risk_on,0.27338549,0.00000000,0.00000000,6,14,50
2025-02-28,0.11930957,0.11978538,0.11930957,0.00040683,483,high_concentration_breakout,False,risk_on,0.49588785,0.00000000,0.00000000,6,16,48
