date,one_way_turnover,two_way_turnover,buy_amount,sell_amount,trading_cost,buy_cost,sell_commission,sell_stamp_duty,event_type
2023-02-01,0.49985004,0.99970009,0.99970009,0.00000000,0.00029991,0.00029991,0.00000000,0.00000000,rebalance
2023-03-01,0.65783242,1.31566483,0.64210189,0.64248727,0.00038538,0.00019263,0.00019275,0.00000000,rebalance
2023-04-03,0.99970009,1.99940018,0.97800259,0.97858957,0.00058698,0.00029340,0.00029358,0.00000000,rebalance
2023-05-02,0.63273179,1.26546358,0.63467026,0.64504664,0.00038392,0.00019040,0.00019351,0.00000000,rebalance
2023-06-01,0.53485141,1.06970282,0.36325217,0.63281867,0.00029882,0.00010898,0.00018985,0.00000000,rebalance
2023-07-03,0.70491244,1.40982487,0.67407220,0.68410761,0.00040745,0.00020222,0.00020523,0.00000000,rebalance
2023-08-01,0.84794604,1.69589208,0.95106034,0.66265637,0.00048412,0.00028532,0.00019880,0.00000000,rebalance
2023-09-01,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2023-10-03,0.63105002,1.26210004,0.42120822,0.68419325,0.00033162,0.00012636,0.00020526,0.00000000,rebalance
2023-11-01,0.69334230,1.38668460,0.58711404,0.57642999,0.00034906,0.00017613,0.00017293,0.00000000,rebalance
2023-12-01,0.54677160,1.09354320,0.43146468,0.41119438,0.00025280,0.00012944,0.00012336,0.00000000,rebalance
2024-01-02,0.57795986,1.15591972,0.44916496,0.45218855,0.00027041,0.00013475,0.00013566,0.00000000,rebalance
2024-02-01,0.33916961,0.67833923,0.00000000,0.49315897,0.00014795,0.00000000,0.00014795,0.00000000,rebalance
2024-03-01,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2024-04-02,0.34992652,0.69985303,0.50869617,0.00000000,0.00015261,0.00015261,0.00000000,0.00000000,rebalance
2024-05-02,0.70029575,1.40059150,0.50998796,0.51084783,0.00030625,0.00015300,0.00015325,0.00000000,rebalance
2024-06-03,0.71846395,1.43692789,0.64282270,0.42457666,0.00032022,0.00019285,0.00012737,0.00000000,rebalance
2024-07-02,0.83902830,1.67805660,0.65292678,0.65226518,0.00039156,0.00019588,0.00019568,0.00000000,rebalance
2024-08-01,0.81884792,1.63769584,0.58665177,0.58805734,0.00035241,0.00017600,0.00017642,0.00000000,rebalance
2024-09-02,0.83793334,1.67586668,0.59817830,0.59976777,0.00035938,0.00017945,0.00017993,0.00000000,rebalance
2024-10-02,0.99897290,1.99794580,0.84502642,0.84430312,0.00050680,0.00025351,0.00025329,0.00000000,rebalance
2024-11-01,0.43297363,0.86594726,0.37689952,0.37943134,0.00022690,0.00011307,0.00011383,0.00000000,rebalance
2024-12-02,0.99832117,1.99664234,0.83501742,0.83321297,0.00050047,0.00025051,0.00024996,0.00000000,rebalance
2025-01-02,0.99970009,1.99940018,0.81635861,0.81684857,0.00048996,0.00024491,0.00024505,0.00000000,rebalance
2025-02-03,0.79999425,1.59998849,0.67783897,0.67824579,0.00040683,0.00020335,0.00020347,0.00000000,rebalance
2025-03-03,0.55318966,1.10637931,0.53521274,0.53553396,0.00032122,0.00016056,0.00016066,0.00000000,rebalance
2025-04-01,0.84159177,1.68318353,0.80906408,0.80954966,0.00048558,0.00024272,0.00024286,0.00000000,rebalance
2025-05-02,0.64986133,1.29972265,0.65352361,0.65043559,0.00039119,0.00019606,0.00019513,0.00000000,rebalance
2025-06-02,0.84060453,1.68120907,0.82097916,0.82495214,0.00049378,0.00024629,0.00024749,0.00000000,rebalance
2025-07-02,0.86398834,1.72797669,0.95181040,0.95238166,0.00057126,0.00028554,0.00028571,0.00000000,rebalance
2025-08-01,0.67666540,1.35333081,0.76481748,0.76527651,0.00045903,0.00022945,0.00022958,0.00000000,rebalance
2025-09-01,0.99970009,1.99940018,1.36205309,1.36287057,0.00081748,0.00040862,0.00040886,0.00000000,rebalance
2025-10-02,0.83032851,1.66065701,1.20317132,1.20389344,0.00072212,0.00036095,0.00036117,0.00000000,rebalance
2025-11-03,0.34365465,0.68730931,0.46188806,0.46216528,0.00027722,0.00013857,0.00013865,0.00000000,rebalance
2025-12-01,0.53281226,1.06562453,0.73311058,0.73355058,0.00044000,0.00021993,0.00022007,0.00000000,rebalance
2026-01-02,0.64839645,1.29679289,0.93514170,0.93431346,0.00056084,0.00028054,0.00028029,0.00000000,rebalance
2026-02-02,1.00015948,2.00031896,1.51051463,1.51281070,0.00090700,0.00045315,0.00045384,0.00000000,rebalance
2026-03-02,0.67016031,1.34032062,1.29272772,1.29350359,0.00077587,0.00038782,0.00038805,0.00000000,rebalance
2026-04-01,0.68481393,1.36962786,1.26347151,1.26422982,0.00075831,0.00037904,0.00037927,0.00000000,rebalance
