date,one_way_turnover,two_way_turnover,buy_amount,sell_amount,trading_cost,buy_cost,sell_commission,sell_stamp_duty,event_type
2020-11-23,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2020-12-07,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2020-12-21,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2021-01-04,0.49985004,0.99970009,0.99970009,0.00000000,0.00029991,0.00029991,0.00000000,0.00000000,rebalance
2021-01-18,0.99970009,1.99940018,1.01968537,1.02029736,0.00061199,0.00030591,0.00030609,0.00000000,rebalance
2021-02-01,0.99970009,1.99940018,1.04037901,1.04100342,0.00062441,0.00031211,0.00031230,0.00000000,rebalance
2021-02-16,0.99970009,1.99940018,1.18721223,1.18792477,0.00071254,0.00035616,0.00035638,0.00000000,rebalance
2021-03-01,0.99970009,1.99940018,1.00784818,1.00845307,0.00060489,0.00030235,0.00030254,0.00000000,rebalance
2021-03-15,0.99970009,1.99940018,1.02394660,1.02456115,0.00061455,0.00030718,0.00030737,0.00000000,rebalance
2021-03-29,0.99970009,1.99940018,0.98567718,0.98626876,0.00059158,0.00029570,0.00029588,0.00000000,rebalance
2021-04-12,0.99970009,1.99940018,0.94959876,0.95016869,0.00056993,0.00028488,0.00028505,0.00000000,rebalance
2021-04-26,0.73244145,1.46488289,0.74794158,0.74839048,0.00044890,0.00022438,0.00022452,0.00000000,rebalance
2021-05-10,0.74103861,1.48207723,0.80699970,0.80748404,0.00048435,0.00024210,0.00024225,0.00000000,rebalance
2021-05-24,0.99970009,1.99940018,0.97388427,0.97446878,0.00058451,0.00029217,0.00029234,0.00000000,rebalance
2021-06-07,0.99970009,1.99940018,1.05779933,1.05843420,0.00063487,0.00031734,0.00031753,0.00000000,rebalance
2021-06-21,0.99970009,1.99940018,1.10674733,1.10741158,0.00066425,0.00033202,0.00033222,0.00000000,rebalance
2021-07-05,0.99970009,1.99940018,1.15572932,1.15642296,0.00069365,0.00034672,0.00034693,0.00000000,rebalance
