date,ts_code,name,weight
2020-12-04,CASH,现金,1.00000000
2020-12-18,CASH,现金,1.00000000
2020-12-31,CASH,现金,1.00000000
2021-01-15,01801.HK,信达生物,0.29538794
2021-01-15,02333.HK,长城汽车,0.29037983
2021-01-15,00968.HK,信义光能,0.22050565
2021-01-15,06865.HK,福莱特玻璃,0.19372658
2021-01-29,02013.HK,微盟集团,0.27864172
2021-01-29,00992.HK,联想集团,0.26320805
2021-01-29,03968.HK,招商银行,0.24031546
2021-01-29,02601.HK,中国太保,0.21783477
2021-02-11,02338.HK,潍柴动力,0.30121789
2021-02-11,01658.HK,邮储银行,0.28323901
2021-02-11,03808.HK,中国重汽,0.21400132
2021-02-11,00772.HK,阅文集团,0.20154178
2021-02-26,01378.HK,中国宏桥,0.28821801
2021-02-26,01157.HK,中联重科,0.27562781
2021-02-26,06862.HK,海底捞,0.24316147
2021-02-26,02400.HK,心动公司,0.19299270
2021-03-12,01030.HK,新城发展,0.28833418
2021-03-12,00016.HK,新鸿基地产,0.26830499
2021-03-12,02282.HK,美高梅中国,0.24825555
2021-03-12,02607.HK,上海医药,0.19510528
2021-03-26,00135.HK,昆仑能源,0.27190847
2021-03-26,01378.HK,中国宏桥,0.25038291
2021-03-26,01308.HK,海丰国际,0.23960741
2021-03-26,00857.HK,中国石油股份,0.23810121
2021-04-09,06098.HK,碧桂园服务,0.27898203
2021-04-09,02331.HK,李宁,0.25242113
2021-04-09,00772.HK,阅文集团,0.25195096
2021-04-09,01109.HK,华润置地,0.21664588
2021-04-23,01898.HK,中煤能源,0.29323009
2021-04-23,01171.HK,兖矿能源,0.25455192
2021-04-23,01308.HK,海丰国际,0.25398325
2021-04-23,01929.HK,周大福,0.19823473
2021-05-07,01378.HK,中国宏桥,0.29027201
2021-05-07,01898.HK,中煤能源,0.28632673
2021-05-07,00867.HK,康哲药业,0.23614542
2021-05-07,00772.HK,阅文集团,0.18725583
2021-05-21,01898.HK,中煤能源,0.27819602
2021-05-21,00857.HK,中国石油股份,0.24844725
2021-05-21,02899.HK,紫金矿业,0.23844937
2021-05-21,02600.HK,中国铝业,0.23490735
2021-06-04,01548.HK,金斯瑞生物科技,0.26990745
2021-06-04,01929.HK,周大福,0.26444210
2021-06-04,00867.HK,康哲药业,0.23860423
2021-06-04,02313.HK,申洲国际,0.22704621
2021-06-18,00316.HK,东方海外国际,0.27823545
2021-06-18,00857.HK,中国石油股份,0.24767522
2021-06-18,00267.HK,中信股份,0.23890287
2021-06-18,00004.HK,九龙仓集团,0.23518645
2021-07-02,02331.HK,李宁,0.27596966
2021-07-02,01919.HK,中远海控,0.25570609
2021-07-02,01929.HK,周大福,0.23663281
2021-07-02,02020.HK,安踏体育,0.23169145
2021-07-16,01113.HK,长实集团,0.27969921
2021-07-16,01308.HK,海丰国际,0.25131771
2021-07-16,00004.HK,九龙仓集团,0.23528065
2021-07-16,02328.HK,中国财险,0.23370243
2021-07-30,02196.HK,复星医药,0.29432702
2021-07-30,01548.HK,金斯瑞生物科技,0.25284043
2021-07-30,01171.HK,兖矿能源,0.24079261
2021-07-30,09969.HK,诺诚健华,0.21203994
2021-08-13,00836.HK,华润电力,0.26256252
