date,portfolio_return,gross_return,net_return,trading_cost,eligible_count,candidate_family,market_risk_off,risk_stage,market_momentum,cash_weight_target,cash_after_trade,selected_count,buy_candidate_count,keep_candidate_count
2025-01-24,0.03528679,0.03558670,0.03528679,0.00029991,483,biweekly_rebalance_aggressive,False,risk_on,0.37044396,0.00000000,0.00000000,4,4,27
2025-02-07,0.09239200,0.09298542,0.09239200,0.00061436,483,biweekly_rebalance_aggressive,False,risk_on,0.43815353,0.00000000,0.00000000,4,18,37
2025-02-21,0.12654089,0.12697009,0.12654089,0.00048540,483,biweekly_rebalance_aggressive,False,risk_on,0.39348245,0.00000000,0.00319310,4,13,38
2025-03-07,-0.03281765,-0.03253682,-0.03281765,0.00035779,483,biweekly_rebalance_aggressive,False,risk_on,0.35152447,0.00000000,-0.00000000,4,13,32
2025-03-21,-0.05563756,-0.05505655,-0.05563756,0.00071593,483,biweekly_rebalance_aggressive,False,risk_on,0.38846763,0.00000000,0.00000000,4,11,31
2025-04-03,0.03987193,0.04001568,0.03987193,0.00016728,483,biweekly_rebalance_aggressive,False,risk_on,0.48601736,0.00000000,0.00000000,3,0,22
2025-04-17,-0.09041818,-0.08994504,-0.09041818,0.00057253,483,biweekly_rebalance_aggressive,False,risk_on,0.55403594,0.00000000,0.00000000,4,9,29
2025-05-02,0.08503147,0.08565447,0.08503147,0.00068572,483,biweekly_rebalance_aggressive,False,risk_on,0.58684356,0.00000000,0.00000000,4,6,31
2025-05-16,0.03504492,0.03548361,0.03504492,0.00052391,484,biweekly_rebalance_aggressive,False,risk_on,0.41629704,0.00000000,0.00000000,4,16,37
2025-05-30,0.00067929,0.00130752,0.00067929,0.00077656,485,biweekly_rebalance_aggressive,False,risk_on,0.24194057,0.00000000,0.00000000,4,13,35
2025-06-13,0.16586289,0.16646100,0.16586289,0.00073983,486,biweekly_rebalance_aggressive,False,risk_on,0.38205368,0.00000000,0.00000000,4,9,30
2025-06-27,-0.04922193,-0.04877704,-0.04922193,0.00064159,487,biweekly_rebalance_aggressive,False,risk_on,0.43542574,0.00000000,0.00000000,4,18,37
2025-07-11,0.02892445,0.02953316,0.02892445,0.00083462,487,biweekly_rebalance_aggressive,False,risk_on,0.52027553,0.00000000,0.00000000,4,10,37
2025-07-25,0.04453881,0.04514436,0.04453881,0.00085430,488,biweekly_rebalance_aggressive,False,risk_on,0.58183546,0.00000000,0.00000000,4,12,31
2025-08-08,0.05717491,0.05780246,0.05717491,0.00092477,489,biweekly_rebalance_aggressive,False,risk_on,0.71127750,0.00000000,0.00000000,4,17,36
2025-08-22,0.14078942,0.14141420,0.14078942,0.00097333,490,biweekly_rebalance_aggressive,False,risk_on,0.78575730,0.00000000,0.00000000,4,12,34
2025-09-05,0.10765835,0.10815004,0.10765835,0.00087383,491,biweekly_rebalance_aggressive,False,risk_on,0.92533951,0.00000000,0.00000000,4,18,40
2025-09-19,-0.07136252,-0.07095315,-0.07136252,0.00080586,491,biweekly_rebalance_aggressive,False,risk_on,0.92204041,0.00000000,0.00000000,4,15,37
2025-10-03,-0.00272073,-0.00210704,-0.00272073,0.00112186,492,biweekly_rebalance_aggressive,False,risk_on,0.96459708,0.00000000,0.00000000,4,14,40
2025-10-17,-0.17574600,-0.17529473,-0.17574600,0.00082270,492,biweekly_rebalance_aggressive,False,risk_on,0.48260348,0.00000000,0.00000000,4,20,42
2025-10-31,0.01117843,0.01152894,0.01117843,0.00052671,492,biweekly_rebalance_aggressive,False,risk_on,0.68856160,0.00000000,-0.00000000,4,3,41
2025-11-14,-0.01357777,-0.01325785,-0.01357777,0.00048611,495,biweekly_rebalance_aggressive,False,risk_on,0.72026213,0.00000000,0.00000000,3,1,40
2025-11-28,-0.06553103,-0.06518887,-0.06553103,0.00051285,496,biweekly_rebalance_aggressive,False,risk_on,0.66740133,0.00000000,-0.00397226,4,5,37
2025-12-12,0.01185501,0.01235374,0.01185501,0.00069854,498,biweekly_rebalance_aggressive,False,risk_on,0.73715512,0.00000000,0.00920419,4,4,38
2025-12-24,0.00964239,0.01024038,0.00964239,0.00084750,501,biweekly_rebalance_aggressive,False,risk_on,0.72779892,0.00000000,0.00000000,4,12,41
2026-01-09,0.07476880,0.07535665,0.07476880,0.00084115,503,biweekly_rebalance_aggressive,False,risk_on,0.67122628,0.00000000,0.00000000,4,12,38
2026-01-23,0.05368046,0.05413113,0.05368046,0.00069307,508,biweekly_rebalance_aggressive,False,risk_on,0.75437375,0.00000000,0.00000000,4,17,48
2026-02-06,-0.11576322,-0.11514130,-0.11576322,0.00100779,509,biweekly_rebalance_aggressive,False,risk_on,0.66440948,0.00000000,0.00000000,4,20,45
2026-02-20,0.06154643,0.06218542,0.06154643,0.00091558,509,biweekly_rebalance_aggressive,False,risk_on,0.67941659,0.00000000,0.00000000,4,17,49
2026-03-06,-0.02304913,-0.02259390,-0.02304913,0.00069242,510,biweekly_rebalance_aggressive,False,risk_on,0.59995231,0.00000000,0.00000000,4,22,48
2026-03-20,-0.03287705,-0.03230420,-0.03287705,0.00085124,511,biweekly_rebalance_aggressive,False,risk_on,1.14063831,0.00000000,0.00000000,4,8,47
2026-04-02,-0.08653799,-0.08637011,-0.08653799,0.00024126,512,biweekly_rebalance_aggressive,False,risk_on,1.16114047,0.00000000,-0.00000000,4,9,49
2026-04-17,-0.02148249,-0.02089959,-0.02148249,0.00076520,513,biweekly_rebalance_aggressive,False,risk_on,1.11523492,0.00000000,0.00000000,4,15,46
