date,portfolio_return,gross_return,net_return,trading_cost,eligible_count,candidate_family,market_risk_off,risk_stage,market_momentum,cash_weight_target,cash_after_trade,selected_count,buy_candidate_count,keep_candidate_count,weekly_overlay_trade_count,weekly_overlay_trading_cost,weekly_overlay_avg_one_way_turnover
2017-02-28,0.01489515,0.01519506,0.01489515,0.00029991,326,high_concentration_breakout,False,risk_on,0.32804241,0.00000000,0.00000000,4,5,17,0,0.00000000,0.00000000
2017-03-31,-0.04167562,-0.04131078,-0.04167562,0.00037027,326,high_concentration_breakout,False,risk_on,0.40458263,0.00000000,0.00000000,4,2,15,0,0.00000000,0.00000000
2017-04-28,0.09257044,0.09306265,0.09257044,0.00047872,326,high_concentration_breakout,False,risk_on,0.30825746,0.00000000,0.00000000,4,3,19,0,0.00000000,0.00000000
2017-05-31,-0.09301139,-0.09252973,-0.09301139,0.00051183,326,high_concentration_breakout,False,risk_on,0.32400030,0.00000000,0.00000000,4,7,22,0,0.00000000,0.00000000
2017-06-30,0.08289286,0.08338794,0.08289286,0.00047716,326,high_concentration_breakout,False,risk_on,0.33081588,0.00000000,0.00000000,4,9,24,0,0.00000000,0.00000000
2017-07-31,0.15418590,0.15466447,0.15418590,0.00049948,329,high_concentration_breakout,False,risk_on,0.32308321,0.00000000,0.00000000,4,8,27,0,0.00000000,0.00000000
2017-08-31,0.04122488,0.04166690,0.04122488,0.00053246,332,high_concentration_breakout,False,risk_on,0.32257250,0.00000000,0.00000000,4,12,31,0,0.00000000,0.00000000
2017-09-29,0.19117844,0.19147111,0.19117844,0.00036710,333,high_concentration_breakout,False,risk_on,0.31220107,0.00000000,-0.01195694,4,11,31,0,0.00000000,0.00000000
2017-10-31,0.04471320,0.04506518,0.04471320,0.00052588,333,high_concentration_breakout,False,risk_on,0.30914663,0.00000000,0.00000000,4,4,23,0,0.00000000,0.00000000
2017-11-30,-0.02994622,-0.02935680,-0.02994622,0.00092000,336,high_concentration_breakout,False,risk_on,0.33868052,0.00000000,0.00000000,4,10,25,0,0.00000000,0.00000000
2017-12-29,0.03948581,0.03994237,0.03948581,0.00069128,339,high_concentration_breakout,False,risk_on,0.35348216,0.00000000,0.00000000,3,2,22,0,0.00000000,0.00000000
2018-01-31,0.07449104,0.07511220,0.07449104,0.00097765,342,high_concentration_breakout,False,risk_on,0.40875778,0.00000000,0.00000000,4,8,20,0,0.00000000,0.00000000
2018-02-28,-0.01732750,-0.01674693,-0.01732750,0.00098183,342,high_concentration_breakout,False,risk_on,0.39191576,0.00000000,0.00000000,4,8,26,0,0.00000000,0.00000000
2018-03-29,-0.02855137,-0.02808477,-0.02855137,0.00077541,342,high_concentration_breakout,False,risk_on,0.44913060,0.00000000,0.00000000,4,3,23,0,0.00000000,0.00000000
2018-04-30,-0.01884195,-0.01823398,-0.01884195,0.00098150,342,high_concentration_breakout,False,risk_on,0.36253151,0.00000000,0.00000000,4,4,19,0,0.00000000,0.00000000
2018-05-31,0.09055593,0.09114542,0.09055593,0.00093374,342,high_concentration_breakout,False,risk_on,0.33881003,0.00000000,0.00000000,4,12,25,0,0.00000000,0.00000000
2018-06-29,-0.07033501,-0.06988905,-0.07033501,0.00077035,341,high_concentration_breakout,False,risk_on,0.34737233,0.00000000,0.00000000,4,13,23,0,0.00000000,0.00000000
2018-07-31,-0.05359018,-0.05325166,-0.05359018,0.00054364,344,high_concentration_breakout,False,risk_on,0.33933728,0.00000000,0.00000000,4,2,19,0,0.00000000,0.00000000
2018-08-31,-0.01470171,-0.01425792,-0.01470171,0.00067450,344,high_concentration_breakout,False,risk_on,0.20055110,0.00000000,0.00000000,4,10,23,0,0.00000000,0.00000000
2018-09-28,0.05079869,0.05135321,0.05079869,0.00083040,345,high_concentration_breakout,False,caution,0.15969427,0.15000000,0.22436414,4,8,24,0,0.00000000,0.00000000
