date,one_way_turnover,two_way_turnover,buy_amount,sell_amount,trading_cost,buy_cost,sell_commission,sell_stamp_duty,event_type
2020-12-01,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2021-01-04,0.49985004,0.99970009,0.99970009,0.00000000,0.00029991,0.00029991,0.00000000,0.00000000,rebalance
2021-02-01,0.99970009,1.99940018,0.93873054,0.93929394,0.00056341,0.00028162,0.00028179,0.00000000,rebalance
2021-03-01,0.99970009,1.99940018,0.98976545,0.99035949,0.00059404,0.00029693,0.00029711,0.00000000,rebalance
2021-04-01,0.99970009,1.99940018,1.01568975,1.01629935,0.00060960,0.00030471,0.00030489,0.00000000,rebalance
2021-05-03,0.73179913,1.46359827,0.79403602,0.78641231,0.00047413,0.00023821,0.00023592,0.00000000,rebalance
2021-06-01,1.00353355,2.00706709,1.05525475,1.06398837,0.00063577,0.00031658,0.00031920,0.00000000,rebalance
2021-07-02,0.50221663,1.00443325,0.63628199,0.63666387,0.00038188,0.00019088,0.00019100,0.00000000,rebalance
2021-08-02,0.99970009,1.99940018,1.10876319,1.10942864,0.00066546,0.00033263,0.00033283,0.00000000,rebalance
2021-09-01,0.73578296,1.47156592,0.76034642,0.76080276,0.00045634,0.00022810,0.00022824,0.00000000,rebalance
2021-10-04,0.99970009,1.99940018,0.94134032,0.94190529,0.00056497,0.00028240,0.00028257,0.00000000,rebalance
2021-11-01,0.99970009,1.99940018,0.90883536,0.90938083,0.00054546,0.00027265,0.00027281,0.00000000,rebalance
2021-12-01,0.68843020,1.37686040,0.55569679,0.69193648,0.00037429,0.00016671,0.00020758,0.00000000,rebalance
2022-01-03,0.63322163,1.26644326,0.59556861,0.60183087,0.00035922,0.00017867,0.00018055,0.00000000,rebalance
2022-02-04,0.85005046,1.70010093,0.80581588,0.80673401,0.00048376,0.00024174,0.00024202,0.00000000,rebalance
2022-03-01,0.84726965,1.69453931,0.77928167,0.77506547,0.00046630,0.00023378,0.00023252,0.00000000,rebalance
2022-04-01,0.84288285,1.68576570,0.71324770,0.70201923,0.00042458,0.00021397,0.00021061,0.00000000,rebalance
2022-05-03,0.72220878,1.44441756,0.48600586,0.68449367,0.00035115,0.00014580,0.00020535,0.00000000,rebalance
2022-06-01,0.61126676,1.22253351,0.51513023,0.53486148,0.00031500,0.00015454,0.00016046,0.00000000,rebalance
2022-07-04,0.72466427,1.44932854,0.72890043,0.51448278,0.00037301,0.00021867,0.00015434,0.00000000,rebalance
2022-08-01,0.84959090,1.69918180,0.72666420,0.72670558,0.00043601,0.00021800,0.00021801,0.00000000,rebalance
2022-09-01,0.72180330,1.44360660,0.49257572,0.69308037,0.00035570,0.00014777,0.00020792,0.00000000,rebalance
2022-10-03,0.14376682,0.28753365,0.11578839,0.11743356,0.00006997,0.00003474,0.00003523,0.00000000,rebalance
2022-11-01,0.30954354,0.61908708,0.25205881,0.24032173,0.00014771,0.00007562,0.00007210,0.00000000,rebalance
2022-12-01,0.73118029,1.46236058,0.69782555,0.50325734,0.00036032,0.00020935,0.00015098,0.00000000,rebalance
2023-01-03,0.85457966,1.70915933,0.74513217,0.75393011,0.00044972,0.00022354,0.00022618,0.00000000,rebalance
2023-02-01,0.92635296,1.85270592,0.89561384,0.76461799,0.00049807,0.00026868,0.00022939,0.00000000,rebalance
2023-03-01,0.80171650,1.60343300,0.71055577,0.71098223,0.00042646,0.00021317,0.00021329,0.00000000,rebalance
2023-04-03,0.99970009,1.99940018,0.88244602,0.88297565,0.00052963,0.00026473,0.00026489,0.00000000,rebalance
2023-05-02,0.72070098,1.44140197,0.64279668,0.64318247,0.00038579,0.00019284,0.00019295,0.00000000,rebalance
2023-06-01,0.73077283,1.46154566,0.52961154,0.65108921,0.00035421,0.00015888,0.00019533,0.00000000,rebalance
2023-07-03,0.85184561,1.70369123,0.70541757,0.70920395,0.00042439,0.00021163,0.00021276,0.00000000,rebalance
2023-08-01,0.92253027,1.84506054,0.80588002,0.68184088,0.00044632,0.00024176,0.00020455,0.00000000,rebalance
2023-09-01,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2023-10-03,0.92476419,1.84952837,0.61139105,0.71968291,0.00039932,0.00018342,0.00021590,0.00000000,rebalance
2023-11-01,0.84675885,1.69351770,0.58738737,0.58350270,0.00035127,0.00017622,0.00017505,0.00000000,rebalance
2023-12-01,0.59901564,1.19803128,0.36908772,0.35645844,0.00021766,0.00011073,0.00010694,0.00000000,rebalance
2024-01-02,0.62347548,1.24695096,0.37672916,0.37675026,0.00022604,0.00011302,0.00011303,0.00000000,rebalance
2024-02-01,0.43801388,0.87602776,0.17706762,0.30806492,0.00014554,0.00005312,0.00009242,0.00000000,rebalance
2024-03-01,0.60506023,1.21012046,0.34087425,0.34687360,0.00020632,0.00010226,0.00010406,0.00000000,rebalance
2024-04-02,0.72709783,1.45419565,0.48826867,0.34743495,0.00025071,0.00014648,0.00010423,0.00000000,rebalance
