date,ts_code,name,weight
2017-02-28,00522.HK,ASMPT,0.30269782
2017-02-28,00358.HK,江西铜业股份,0.25847057
2017-02-28,00027.HK,银河娱乐,0.22020338
2017-02-28,02689.HK,玖龙纸业,0.21862824
2017-03-31,03323.HK,中国建材,0.28963287
2017-03-31,00880.HK,澳博控股,0.24650698
2017-03-31,02689.HK,玖龙纸业,0.24471331
2017-03-31,00522.HK,ASMPT,0.21914684
2017-04-28,01929.HK,周大福,0.31171490
2017-04-28,01093.HK,石药集团,0.28276062
2017-04-28,00991.HK,大唐发电,0.20686369
2017-04-28,00522.HK,ASMPT,0.19866078
2017-05-31,00460.HK,四环医药,0.28107297
2017-05-31,02382.HK,舜宇光学科技,0.27620827
2017-05-31,00522.HK,ASMPT,0.25410341
2017-05-31,02018.HK,瑞声科技,0.18861535
2017-06-30,00960.HK,龙湖集团,0.21720879
2017-06-30,02018.HK,瑞声科技,0.21176439
2017-06-30,00696.HK,中国民航信息网络,0.20644623
2017-06-30,00285.HK,比亚迪电子,0.19488124
2017-06-30,01093.HK,石药集团,0.16969935
2017-07-31,01918.HK,融创中国,0.31052913
2017-07-31,00316.HK,东方海外国际,0.25874913
2017-07-31,00960.HK,龙湖集团,0.23889708
2017-07-31,00753.HK,中国国航,0.19182465
2017-08-31,01918.HK,融创中国,0.28006803
2017-08-31,00700.HK,腾讯控股,0.24901642
2017-08-31,02007.HK,碧桂园,0.24069450
2017-08-31,03993.HK,洛阳钼业,0.23022104
2017-09-29,01918.HK,融创中国,0.35777851
2017-09-29,00384.HK,中国燃气,0.24331843
2017-09-29,00700.HK,腾讯控股,0.21362179
2017-09-29,03968.HK,招商银行,0.19328426
2017-10-31,00763.HK,中兴通讯,0.28143343
2017-10-31,00384.HK,中国燃气,0.26540334
2017-10-31,02319.HK,蒙牛乳业,0.23713828
2017-10-31,01918.HK,融创中国,0.21602494
2017-11-30,02313.HK,申洲国际,0.26452226
2017-11-30,00883.HK,中国海洋石油,0.24821664
2017-11-30,00148.HK,建滔集团,0.24416063
2017-11-30,02020.HK,安踏体育,0.24310047
2017-12-29,03380.HK,龙光集团,0.40792940
2017-12-29,00586.HK,海螺创业,0.34866786
2017-12-29,00148.HK,建滔集团,0.24340275
2018-01-31,01177.HK,中国生物制药,0.30232328
2018-01-31,00004.HK,九龙仓集团,0.25737246
2018-01-31,00763.HK,中兴通讯,0.23311753
2018-01-31,02208.HK,金风科技,0.20718673
2018-02-28,01055.HK,中国南方航空股份,0.28641895
2018-02-28,00753.HK,中国国航,0.27401344
2018-02-28,00670.HK,中国东方航空股份,0.22324526
2018-02-28,00027.HK,银河娱乐,0.21632236
2018-03-29,01093.HK,石药集团,0.32794141
2018-03-29,00322.HK,康师傅控股,0.27636662
2018-03-29,00288.HK,万洲国际,0.21035265
2018-03-29,00753.HK,中国国航,0.18533933
2018-04-30,02202.HK,万科企业,0.28499475
2018-04-30,03323.HK,中国建材,0.27501216
2018-04-30,02319.HK,蒙牛乳业,0.22778228
2018-04-30,02313.HK,申洲国际,0.21221080
2018-05-31,01313.HK,华润建材科技,0.26650551
2018-05-31,02688.HK,新奥能源,0.26523763
2018-05-31,00386.HK,中国石油化工股份,0.24846967
2018-05-31,00914.HK,海螺水泥,0.21978719
2018-06-29,00386.HK,中国石油化工股份,0.27985667
2018-06-29,00291.HK,华润啤酒,0.26238221
2018-06-29,00881.HK,中升控股,0.23599161
2018-06-29,00874.HK,白云山,0.22176950
2018-07-31,01193.HK,华润燃气,0.32478282
2018-07-31,00220.HK,统一企业中国,0.28989324
2018-07-31,00874.HK,白云山,0.21904104
2018-07-31,00881.HK,中升控股,0.16628289
2018-08-31,00386.HK,中国石油化工股份,0.26132990
2018-08-31,01193.HK,华润燃气,0.25856992
2018-08-31,01972.HK,太古地产,0.24069214
2018-08-31,00586.HK,海螺创业,0.23940804
2018-09-28,00992.HK,联想集团,0.23608361
2018-09-28,02313.HK,申洲国际,0.20967497
2018-09-28,00883.HK,中国海洋石油,0.20711847
2018-09-28,00003.HK,香港中华煤气,0.20454149
2018-09-28,CASH,现金,0.14258146
2018-10-31,00390.HK,中国中铁,0.21961370
2018-10-31,00992.HK,联想集团,0.21280583
2018-10-31,00941.HK,中国移动,0.20614344
2018-10-31,00552.HK,中国通信服务,0.19831703
2018-10-31,CASH,现金,0.16312000
2018-11-30,00688.HK,中国海外发展,0.22433024
2018-11-30,00177.HK,江苏宁沪高速公路,0.22093668
2018-11-30,03328.HK,交通银行,0.20430857
2018-11-30,02016.HK,浙商银行,0.20323679
2018-11-30,CASH,现金,0.14718772
2018-12-31,CASH,现金,0.40493482
2018-12-31,00270.HK,粤海投资,0.16864534
2018-12-31,00941.HK,中国移动,0.14900336
2018-12-31,00728.HK,中国电信,0.14738889
2018-12-31,00392.HK,北京控股,0.13002758
2019-01-31,CASH,现金,0.37960448
2019-01-31,03328.HK,交通银行,0.18084238
2019-01-31,00960.HK,龙湖集团,0.17086543
2019-01-31,00003.HK,香港中华煤气,0.15088654
2019-01-31,00551.HK,裕元集团,0.11780117
2019-02-28,CASH,现金,0.39761617
2019-02-28,00016.HK,新鸿基地产,0.16208382
2019-02-28,00688.HK,中国海外发展,0.16149762
2019-02-28,01818.HK,招金矿业,0.14161918
2019-02-28,01918.HK,融创中国,0.13718322
2019-03-29,00576.HK,浙江沪杭甬,0.22907458
2019-03-29,03918.HK,金界控股,0.21735035
2019-03-29,00003.HK,香港中华煤气,0.21300888
2019-03-29,01299.HK,友邦保险,0.19446575
2019-03-29,CASH,现金,0.14610045
2019-04-30,01918.HK,融创中国,0.28080220
2019-04-30,01030.HK,新城发展,0.25261479
2019-04-30,02020.HK,安踏体育,0.25007691
2019-04-30,03380.HK,龙光集团,0.21650610
2019-05-31,02628.HK,中国人寿,0.33035114
2019-05-31,00168.HK,青岛啤酒股份,0.27245261
2019-05-31,02020.HK,安踏体育,0.24000579
2019-05-31,01918.HK,融创中国,0.15719046
2019-06-28,02333.HK,长城汽车,0.27178897
2019-06-28,01816.HK,中广核电力,0.26604747
2019-06-28,00345.HK,VITASOY INT'L,0.24320029
2019-06-28,03888.HK,金山软件,0.21896327
2019-07-31,02331.HK,李宁,0.22772515
2019-07-31,03323.HK,中国建材,0.21259843
2019-07-31,00881.HK,中升控股,0.20956693
2019-07-31,00291.HK,华润啤酒,0.20047956
2019-07-31,CASH,现金,0.14962994
2019-08-30,01177.HK,中国生物制药,0.31900194
2019-08-30,01816.HK,中广核电力,0.23819574
2019-08-30,00384.HK,中国燃气,0.23210508
2019-08-30,00981.HK,中芯国际,0.21069724
2019-09-30,02020.HK,安踏体育,0.24227537
2019-09-30,01177.HK,中国生物制药,0.21037699
2019-09-30,00384.HK,中国燃气,0.20286956
2019-09-30,02883.HK,中海油田服务,0.18611050
2019-09-30,CASH,现金,0.15836759
2019-10-31,00586.HK,海螺创业,0.28458862
2019-10-31,02020.HK,安踏体育,0.27396658
2019-10-31,00008.HK,电讯盈科,0.23535043
2019-10-31,01177.HK,中国生物制药,0.20609438
2019-11-29,02382.HK,舜宇光学科技,0.26492547
2019-11-29,01177.HK,中国生物制药,0.25197609
2019-11-29,06098.HK,碧桂园服务,0.24940040
2019-11-29,01093.HK,石药集团,0.23369804
2019-12-31,00696.HK,中国民航信息网络,0.27792756
2019-12-31,01929.HK,周大福,0.27147026
2019-12-31,02382.HK,舜宇光学科技,0.25544408
2019-12-31,01093.HK,石药集团,0.19515810
2020-01-31,02883.HK,中海油田服务,0.27112648
2020-01-31,02018.HK,瑞声科技,0.25708285
2020-01-31,01313.HK,华润建材科技,0.24967787
2020-01-31,02338.HK,潍柴动力,0.22211280
2020-02-28,02338.HK,潍柴动力,0.24847298
2020-02-28,02018.HK,瑞声科技,0.23685712
2020-02-28,02883.HK,中海油田服务,0.19548310
2020-02-28,01313.HK,华润建材科技,0.17010464
2020-02-28,CASH,现金,0.14908217
2020-03-31,CASH,现金,0.65516144
2020-03-31,02338.HK,潍柴动力,0.34483856
2020-04-29,CASH,现金,0.72952034
2020-04-29,06808.HK,高鑫零售,0.27047966
2020-05-29,CASH,现金,0.39059402
2020-05-29,06185.HK,康希诺生物,0.16975118
2020-05-29,06808.HK,高鑫零售,0.15422697
2020-05-29,06098.HK,碧桂园服务,0.14642250
2020-05-29,00914.HK,海螺水泥,0.13900533
2020-06-30,03690.HK,美团-W,0.25210865
2020-06-30,03808.HK,中国重汽,0.21770841
2020-06-30,00168.HK,青岛啤酒股份,0.21586590
2020-06-30,02688.HK,新奥能源,0.16877889
2020-06-30,CASH,现金,0.14553816
2020-07-31,00268.HK,金蝶国际,0.22679922
2020-07-31,00853.HK,微创医疗,0.22016030
2020-07-31,00388.HK,香港交易所,0.21692883
2020-07-31,00168.HK,青岛啤酒股份,0.20236071
2020-07-31,CASH,现金,0.13375094
2020-08-31,02269.HK,药明生物,0.32171249
2020-08-31,01093.HK,石药集团,0.27306666
2020-08-31,00291.HK,华润啤酒,0.24978683
2020-08-31,06185.HK,康希诺生物,0.15543402
2020-09-30,02333.HK,长城汽车,0.29750467
2020-09-30,01999.HK,敏华控股,0.24224620
2020-09-30,00388.HK,香港交易所,0.24063365
2020-09-30,02013.HK,微盟集团,0.21961548
2020-10-30,01211.HK,比亚迪股份,0.29896973
2020-10-30,00968.HK,信义光能,0.26192083
2020-10-30,06865.HK,福莱特玻璃,0.22092566
2020-10-30,00868.HK,信义玻璃,0.21818378
2020-11-30,01919.HK,中远海控,0.33136030
2020-11-30,03606.HK,福耀玻璃,0.25351112
2020-11-30,00868.HK,信义玻璃,0.21850219
2020-11-30,02359.HK,药明康德,0.19662639
2020-12-31,01929.HK,周大福,0.27644622
