date,portfolio_return,gross_return,net_return,trading_cost,eligible_count,candidate_family,market_risk_off,risk_stage,market_momentum,cash_weight_target,cash_after_trade,selected_count,buy_candidate_count,keep_candidate_count
2023-02-28,-0.06055109,-0.06025118,-0.06055109,0.00029991,444,high_concentration_breakout,False,risk_on,0.06515927,0.00000000,0.00000000,4,5,27
2023-03-31,0.02322908,0.02373491,0.02322908,0.00047520,445,high_concentration_breakout,False,risk_on,0.15647283,0.00000000,0.00000000,4,3,20
2023-04-28,0.02319077,0.02380471,0.02319077,0.00059016,448,high_concentration_breakout,False,risk_on,0.12267986,0.00000000,0.00000000,4,9,31
2023-05-31,-0.08837245,-0.08793538,-0.08837245,0.00042988,448,high_concentration_breakout,False,risk_on,0.16204860,0.00000000,0.00000000,4,13,35
2023-06-30,0.01960555,0.02004574,0.01960555,0.00039469,449,high_concentration_breakout,False,caution,0.14370153,0.15000000,0.13496621,4,3,32
2023-07-31,-0.01011431,-0.00959706,-0.01011431,0.00047289,449,high_concentration_breakout,False,caution,-0.03581717,0.15000000,0.13871244,4,11,32
2023-08-31,-0.05043604,-0.04988650,-0.05043604,0.00049732,452,high_concentration_breakout,False,risk_on,0.07869138,0.00000000,0.00000000,4,15,42
2023-09-29,-0.05082955,-0.05082955,-0.05082955,0.00000000,453,high_concentration_breakout,False,caution,0.17516078,0.15000000,0.00000000,4,4,32
2023-10-31,-0.06031261,-0.05976708,-0.06031261,0.00044496,456,high_concentration_breakout,False,caution,0.24321655,0.15000000,0.12022318,4,8,27
2023-11-30,-0.11653279,-0.11602211,-0.11653279,0.00039141,457,high_concentration_breakout,False,caution,0.36976567,0.15000000,0.11550313,4,7,24
2023-12-29,-0.00021113,0.00014705,-0.00021113,0.00024254,459,high_concentration_breakout,False,caution,0.03255460,0.15000000,0.10118796,4,10,29
2024-01-31,-0.09043660,-0.09006455,-0.09043660,0.00025188,462,high_concentration_breakout,False,caution,-0.00353167,0.15000000,0.10095959,4,12,31
2024-02-29,0.03611267,0.03637603,0.03611267,0.00016217,466,high_concentration_breakout,True,risk_off,-0.06982058,0.40000000,0.24676592,4,3,30
2024-03-28,-0.01449896,-0.01413862,-0.01449896,0.00022990,466,high_concentration_breakout,True,risk_off,-0.12445615,0.40000000,0.25322101,4,13,32
2024-04-30,0.03973536,0.04017967,0.03973536,0.00027936,468,high_concentration_breakout,False,caution,-0.04754363,0.15000000,0.09601255,4,8,30
2024-05-31,-0.01415737,-0.01365655,-0.01415737,0.00032741,469,high_concentration_breakout,False,caution,-0.04367122,0.15000000,0.09624625,4,12,33
2024-06-28,0.01676235,0.01717969,0.01676235,0.00026897,469,high_concentration_breakout,False,risk_on,0.11117712,0.00000000,0.00000000,4,5,31
2024-07-31,-0.10234703,-0.10175570,-0.10234703,0.00038750,469,high_concentration_breakout,False,risk_on,0.10725640,0.00000000,0.00000000,4,13,33
2024-08-30,0.02600150,0.02644882,0.02600150,0.00026312,471,high_concentration_breakout,False,risk_on,0.00928023,0.00000000,0.00000000,4,7,33
2024-09-30,0.12926620,0.12987449,0.12926620,0.00036711,471,high_concentration_breakout,False,risk_on,0.07155690,0.00000000,0.00000000,4,14,36
2024-10-31,0.07464501,0.07529135,0.07464501,0.00044051,474,high_concentration_breakout,False,risk_on,0.07535769,0.00000000,0.00000000,4,16,34
2024-11-29,-0.06002337,-0.05969715,-0.06002337,0.00023892,476,high_concentration_breakout,False,risk_on,0.36310303,0.00000000,-0.00529936,4,2,35
2024-12-31,-0.02978017,-0.02916349,-0.02978017,0.00042455,479,high_concentration_breakout,False,risk_on,0.30424560,0.00000000,0.00000000,4,7,35
2025-01-28,0.03545355,0.03604732,0.03545355,0.00039660,482,high_concentration_breakout,False,risk_on,0.27470827,0.00000000,0.00000000,4,9,33
2025-02-28,0.13971512,0.14013996,0.13971512,0.00029383,484,high_concentration_breakout,False,risk_on,0.49767451,0.00000000,0.00000000,4,11,32
2025-03-31,0.02446087,0.02490267,0.02446087,0.00034825,484,high_concentration_breakout,False,risk_on,0.35401516,0.00000000,0.00000000,4,4,30
2025-04-30,0.04991283,0.05037457,0.04991283,0.00037287,484,high_concentration_breakout,False,risk_on,0.48161478,0.00000000,0.00000000,4,7,25
2025-05-30,-0.01951061,-0.01905627,-0.01951061,0.00038521,485,high_concentration_breakout,False,risk_on,0.45470692,0.00000000,0.00000000,4,10,31
2025-06-30,0.13080311,0.13127043,0.13080311,0.00038849,487,high_concentration_breakout,False,risk_on,0.36815634,0.00000000,0.00000000,4,9,30
2025-07-31,0.00739590,0.00799932,0.00739590,0.00056724,489,high_concentration_breakout,False,risk_on,0.52572583,0.00000000,0.00000000,4,6,33
2025-08-29,0.24175099,0.24218951,0.24175099,0.00041527,490,high_concentration_breakout,False,risk_on,0.69319599,0.00000000,0.00000000,4,7,34
2025-09-30,0.00758882,0.00818386,0.00758882,0.00069973,492,high_concentration_breakout,False,risk_on,0.85408993,0.00000000,0.00000000,4,15,34
2025-10-31,-0.02890395,-0.02828749,-0.02890395,0.00073042,493,high_concentration_breakout,False,risk_on,0.59836025,0.00000000,0.00000000,4,18,45
2025-11-28,-0.04470239,-0.04456553,-0.04470239,0.00015747,496,high_concentration_breakout,False,risk_on,0.72001827,0.00000000,0.00000000,4,1,40
2025-12-31,0.01230243,0.01279103,0.01230243,0.00053705,499,high_concentration_breakout,False,risk_on,0.74292762,0.00000000,0.00000000,4,4,37
2026-01-30,0.13401282,0.13446390,0.13401282,0.00050192,508,high_concentration_breakout,False,risk_on,0.67463473,0.00000000,-0.00317308,4,8,38
2026-02-27,0.21933037,0.21989301,0.21933037,0.00070994,510,high_concentration_breakout,False,risk_on,0.65583202,0.00000000,0.00000000,4,9,44
2026-03-31,-0.01283322,-0.01249004,-0.01283322,0.00052799,511,high_concentration_breakout,False,risk_on,0.62534374,0.00000000,0.00000000,4,20,46
2026-04-30,0.05534753,0.05580914,0.05534753,0.00070109,514,high_concentration_breakout,False,risk_on,1.20403335,0.00000000,0.00000000,4,3,46
