date,portfolio_return,nav,drawdown,trading_cost
2025-02-03,0.00000000,1.00000000,0.00000000,0.00000000
2025-02-28,0.15304357,1.15304357,0.00000000,0.00029991
2025-03-31,0.02446087,1.18124802,0.00000000,0.00050941
2025-04-30,0.04991283,1.24020745,0.00000000,0.00054543
2025-05-30,-0.01951061,1.21601025,-0.01951061,0.00056347
2025-06-30,0.13080311,1.37506817,0.00000000,0.00056827
2025-07-31,0.00739590,1.38523803,0.00000000,0.00082975
2025-08-29,0.24175099,1.72012070,0.00000000,0.00060745
2025-09-30,0.00758882,1.73317438,0.00000000,0.00102355
2025-10-31,-0.02890395,1.68307879,-0.02890395,0.00106844
2025-11-28,-0.04470239,1.60784115,-0.07231427,0.00023035
2025-12-31,0.01230243,1.62762150,-0.06090147,0.00078558
2026-01-30,0.13401282,1.84574365,0.00000000,0.00073419
2026-02-27,0.21839159,2.24883853,0.00000000,0.00103848
2026-03-31,-0.01309352,2.21939331,-0.01309352,0.00076857
2026-04-30,0.05534753,2.34223125,0.00000000,0.00102448
