date,one_way_turnover,two_way_turnover,buy_amount,sell_amount,trading_cost,buy_cost,sell_commission,sell_stamp_duty,event_type
2020-12-14,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2020-12-21,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2020-12-28,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2021-01-04,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2021-01-11,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2021-01-18,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2021-01-25,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2021-02-01,0.49985004,0.99970009,0.99970009,0.00000000,0.00029991,0.00029991,0.00000000,0.00000000,rebalance
2021-02-08,0.99970009,1.99940018,1.07638572,1.07703175,0.00064603,0.00032292,0.00032311,0.00000000,rebalance
2021-02-16,0.51013966,1.02027932,0.61975102,0.62012298,0.00037196,0.00018593,0.00018604,0.00000000,rebalance
2021-02-22,0.99970009,1.99940018,1.00092820,1.00152894,0.00060074,0.00030028,0.00030046,0.00000000,rebalance
2021-03-01,0.99970009,1.99940018,0.90907144,0.90961705,0.00054561,0.00027272,0.00027289,0.00000000,rebalance
2021-03-08,0.99970009,1.99940018,0.90012526,0.90066550,0.00054024,0.00027004,0.00027020,0.00000000,rebalance
2021-03-15,0.50281931,1.00563861,0.46647164,0.46675161,0.00027997,0.00013994,0.00014003,0.00000000,rebalance
2021-03-22,0.74609301,1.49218603,0.68739255,0.67955984,0.00041009,0.00020622,0.00020387,0.00000000,rebalance
2021-03-29,1.00420517,2.00841033,0.91400937,0.92280322,0.00055104,0.00027420,0.00027684,0.00000000,rebalance
2021-04-07,0.99970009,1.99940018,0.89514097,0.89567822,0.00053725,0.00026854,0.00026870,0.00000000,rebalance
2021-04-12,0.99970009,1.99940018,0.87743939,0.87796601,0.00052662,0.00026323,0.00026339,0.00000000,rebalance
2021-04-19,0.54236996,1.08473992,0.49628243,0.49658029,0.00029786,0.00014888,0.00014897,0.00000000,rebalance
2021-04-26,0.76545435,1.53090870,0.70362502,0.70404733,0.00042230,0.00021109,0.00021121,0.00000000,rebalance
2021-05-03,0.75796248,1.51592496,0.70647004,0.70689405,0.00042401,0.00021194,0.00021207,0.00000000,rebalance
2021-05-10,0.99970009,1.99940018,0.90514766,0.90569091,0.00054325,0.00027154,0.00027171,0.00000000,rebalance
2021-05-17,0.99970009,1.99940018,0.83448930,0.83499014,0.00050084,0.00025035,0.00025050,0.00000000,rebalance
2021-05-24,0.75753442,1.51506884,0.63468791,0.63506884,0.00038093,0.00019041,0.00019052,0.00000000,rebalance
2021-05-31,0.72415149,1.44830299,0.65180688,0.65219808,0.00039120,0.00019554,0.00019566,0.00000000,rebalance
2021-06-07,0.79466831,1.58933661,0.72252365,0.72295729,0.00043364,0.00021676,0.00021689,0.00000000,rebalance
2021-06-15,0.53497185,1.06994371,0.51517802,0.50975584,0.00030748,0.00015455,0.00015293,0.00000000,rebalance
2021-06-21,0.73541552,1.47083104,0.68041770,0.68655745,0.00041009,0.00020413,0.00020597,0.00000000,rebalance
2021-06-28,0.76058772,1.52117544,0.76003858,0.76049474,0.00045616,0.00022801,0.00022815,0.00000000,rebalance
2021-07-05,0.99970009,1.99940018,1.05249109,1.05312277,0.00063168,0.00031575,0.00031594,0.00000000,rebalance
2021-07-12,0.84460550,1.68921100,0.87175325,0.87227646,0.00052321,0.00026153,0.00026168,0.00000000,rebalance
2021-07-19,0.76877956,1.53755911,0.79546693,0.79594435,0.00047742,0.00023864,0.00023878,0.00000000,rebalance
2021-07-26,0.99970009,1.99940018,0.96789147,0.96847238,0.00058091,0.00029037,0.00029054,0.00000000,rebalance
2021-08-02,0.99970009,1.99940018,1.04640628,1.04703431,0.00062803,0.00031392,0.00031411,0.00000000,rebalance
2021-08-09,0.99970009,1.99940018,1.03219456,1.03281407,0.00061950,0.00030966,0.00030984,0.00000000,rebalance
2021-08-16,0.75603135,1.51206270,0.75804918,0.75850415,0.00045497,0.00022741,0.00022755,0.00000000,rebalance
2021-08-23,0.56786515,1.13573029,0.59966348,0.60002339,0.00035991,0.00017990,0.00018001,0.00000000,rebalance
2021-08-30,0.99970009,1.99940018,1.07815089,1.07879798,0.00064708,0.00032345,0.00032364,0.00000000,rebalance
2021-09-06,0.74697567,1.49395134,0.84545877,0.84596620,0.00050743,0.00025364,0.00025379,0.00000000,rebalance
2021-09-13,0.75515176,1.51030353,0.83739355,0.83789614,0.00050259,0.00025122,0.00025137,0.00000000,rebalance
2021-09-20,0.99970009,1.99940018,1.03075648,1.03137512,0.00061864,0.00030923,0.00030941,0.00000000,rebalance
2021-09-27,0.99970009,1.99940018,1.02696995,1.02758631,0.00061637,0.00030809,0.00030828,0.00000000,rebalance
2021-10-04,0.79026634,1.58053268,0.76954721,0.77000908,0.00046187,0.00023086,0.00023100,0.00000000,rebalance
2021-10-11,0.53224165,1.06448330,0.48026641,0.47218020,0.00028573,0.00014408,0.00014165,0.00000000,rebalance
2021-10-18,0.76804355,1.53608711,0.69099343,0.69978261,0.00041723,0.00020730,0.00020993,0.00000000,rebalance
2021-10-25,0.41736730,0.83473460,0.39288189,0.38053220,0.00023202,0.00011786,0.00011416,0.00000000,rebalance
2021-11-01,1.00673283,2.01346566,0.89370152,0.90682339,0.00054016,0.00026811,0.00027205,0.00000000,rebalance
