date,portfolio_return,gross_return,net_return,trading_cost,eligible_count,candidate_family,market_risk_off,risk_stage,market_momentum,cash_weight_target,cash_after_trade,selected_count,buy_candidate_count,keep_candidate_count
2023-01-13,0.06907605,0.06937596,0.06907605,0.00029991,443,weekly_rebalance_aggressive,False,risk_on,0.05526806,0.00000000,0.00000000,4,7,27
2023-01-20,-0.05425092,-0.05379733,-0.05425092,0.00048492,443,weekly_rebalance_aggressive,False,risk_on,0.01276661,0.00000000,0.00000000,4,10,31
2023-01-27,0.03636235,0.03681013,0.03636235,0.00045274,444,weekly_rebalance_aggressive,False,caution,-0.01705734,0.10000000,0.10410361,4,13,29
2023-02-03,-0.05616665,-0.05588694,-0.05616665,0.00029309,444,weekly_rebalance_aggressive,False,risk_on,0.07716415,0.00000000,0.00000000,4,9,26
2023-02-10,-0.07626558,-0.07569530,-0.07626558,0.00056400,444,weekly_rebalance_aggressive,False,risk_on,0.09411154,0.00000000,0.00000000,4,5,19
2023-02-17,0.00040187,0.00086319,0.00040187,0.00042145,444,weekly_rebalance_aggressive,False,risk_on,0.10329230,0.00000000,0.00000000,4,6,21
2023-02-24,-0.00016608,0.00028429,-0.00016608,0.00041160,444,weekly_rebalance_aggressive,False,risk_on,0.12461795,0.00000000,0.00000000,4,3,20
2023-03-03,0.03670184,0.03696581,0.03670184,0.00024121,445,weekly_rebalance_aggressive,False,risk_on,0.19407151,0.60000000,0.53540839,1,0,17
2023-03-10,-0.04404272,-0.04377574,-0.04404272,0.00025291,445,weekly_rebalance_aggressive,False,risk_on,0.20613944,0.00000000,0.00000000,4,12,25
2023-03-17,0.02067492,0.02074453,0.02067492,0.00006304,447,weekly_rebalance_aggressive,False,risk_on,0.25734656,0.00000000,-0.00000000,4,0,22
2023-03-24,-0.05387628,-0.05329640,-0.05387628,0.00053599,447,weekly_rebalance_aggressive,False,risk_on,0.20733959,0.00000000,0.00000000,4,15,30
