date,ts_code,name,weight
2026-01-09,00358.HK,江西铜业股份,0.25695088
2026-01-09,03993.HK,洛阳钼业,0.25681774
2026-01-09,02600.HK,中国铝业,0.25599981
2026-01-09,01378.HK,中国宏桥,0.23023157
2026-01-16,03993.HK,洛阳钼业,0.25688486
2026-01-16,02600.HK,中国铝业,0.25525717
2026-01-16,01347.HK,华虹半导体,0.24322716
2026-01-16,02899.HK,紫金矿业,0.24001893
2026-01-16,CASH,现金,0.00461188
2026-01-23,03993.HK,洛阳钼业,0.25941075
2026-01-23,00358.HK,江西铜业股份,0.25702626
2026-01-23,02099.HK,中国黄金国际,0.25475384
2026-01-23,01347.HK,华虹半导体,0.22880915
2026-01-30,01772.HK,赣锋锂业,0.26216572
2026-01-30,01208.HK,五矿资源,0.25952398
2026-01-30,01072.HK,东方电气,0.25067944
2026-01-30,02099.HK,中国黄金国际,0.22763086
2026-02-06,06869.HK,长飞光纤光缆,0.27432212
2026-02-06,01209.HK,华润万象生活,0.25599743
2026-02-06,00083.HK,信和置业,0.25447232
2026-02-06,00016.HK,新鸿基地产,0.21520814
2026-02-13,00016.HK,新鸿基地产,0.28348108
2026-02-13,00631.HK,三一国际,0.24137706
2026-02-13,00066.HK,港铁公司,0.24007414
2026-02-13,00670.HK,中国东方航空股份,0.23506773
2026-02-20,00016.HK,新鸿基地产,0.27835768
2026-02-20,01880.HK,中国中免,0.25687247
2026-02-20,00083.HK,信和置业,0.23523135
2026-02-20,00288.HK,万洲国际,0.22953850
2026-02-27,02338.HK,潍柴动力,0.26035912
2026-02-27,00016.HK,新鸿基地产,0.25799683
2026-02-27,00631.HK,三一国际,0.24461550
2026-02-27,03808.HK,中国重汽,0.23702854
2026-03-06,00016.HK,新鸿基地产,0.26765060
2026-03-06,00005.HK,汇丰控股,0.26352866
2026-03-06,01113.HK,长实集团,0.24205342
2026-03-06,06869.HK,长飞光纤光缆,0.21828061
2026-03-06,CASH,现金,0.00848670
2026-03-13,01171.HK,兖矿能源,0.28236631
2026-03-13,00857.HK,中国石油股份,0.27096981
2026-03-13,01088.HK,中国神华,0.22641662
2026-03-13,01072.HK,东方电气,0.22024726
2026-03-20,00883.HK,中国海洋石油,0.27739912
2026-03-20,00857.HK,中国石油股份,0.26545799
2026-03-20,02208.HK,金风科技,0.24238446
2026-03-20,00019.HK,太古股份公司A,0.21475843
2026-03-27,00857.HK,中国石油股份,0.26548556
2026-03-27,01171.HK,兖矿能源,0.26548087
2026-03-27,00883.HK,中国海洋石油,0.25839319
2026-03-27,00019.HK,太古股份公司A,0.21541698
2026-04-02,00857.HK,中国石油股份,0.28238005
2026-04-02,00288.HK,万洲国际,0.24248364
2026-04-02,03698.HK,徽商银行,0.23922026
2026-04-02,01772.HK,赣锋锂业,0.23591605
2026-04-10,00175.HK,吉利汽车,0.26566024
2026-04-10,03808.HK,中国重汽,0.26092245
2026-04-10,03698.HK,徽商银行,0.24913534
2026-04-10,03320.HK,华润医药,0.22428197
2026-04-17,02338.HK,潍柴动力,0.25946522
2026-04-17,00175.HK,吉利汽车,0.25876177
2026-04-17,03808.HK,中国重汽,0.24118060
2026-04-17,03698.HK,徽商银行,0.24059241
2026-04-24,01888.HK,建滔积层板,0.31274479
2026-04-24,00148.HK,建滔集团,0.23710045
2026-04-24,03698.HK,徽商银行,0.22261990
2026-04-24,03988.HK,中国银行,0.21852771
2026-04-24,CASH,现金,0.00900715
2026-04-30,00857.HK,中国石油股份,0.25658092
2026-04-30,02338.HK,潍柴动力,0.25466269
2026-04-30,01888.HK,建滔积层板,0.25277280
2026-04-30,01088.HK,中国神华,0.23598359
