date,portfolio_return,gross_return,net_return,trading_cost,eligible_count,candidate_family,market_risk_off,risk_stage,market_momentum,cash_weight_target,cash_after_trade,selected_count,buy_candidate_count,keep_candidate_count
2020-01-31,-0.12677124,-0.12647133,-0.12677124,0.00029991,378,high_concentration_breakout,False,risk_on,0.17162875,0.00000000,0.00000000,6,19,44
2020-02-28,0.01956327,0.01962248,0.01956327,0.00005171,379,high_concentration_breakout,False,caution,0.15880387,0.15000000,0.13616589,6,0,46
2020-03-31,-0.13032323,-0.13016734,-0.13032323,0.00013879,380,high_concentration_breakout,False,risk_on,0.00502602,0.00000000,0.00000000,5,0,42
2020-04-29,0.04559840,0.04590055,0.04559840,0.00023395,383,high_concentration_breakout,True,risk_off,-0.00203111,0.40000000,0.30632702,5,2,45
2020-05-29,-0.00434112,-0.00404872,-0.00434112,0.00023672,384,high_concentration_breakout,True,risk_off,-0.11735380,0.40000000,0.31658701,6,20,52
2020-06-30,0.02232444,0.02276828,0.02232444,0.00035777,385,high_concentration_breakout,False,caution,0.03288048,0.15000000,0.12233463,6,8,56
2020-07-31,0.14424813,0.14468959,0.14424813,0.00036380,390,high_concentration_breakout,False,caution,-0.04432075,0.15000000,0.12751435,6,10,43
2020-08-31,-0.01831957,-0.01775562,-0.01831957,0.00053177,390,high_concentration_breakout,False,risk_on,0.05028755,0.00000000,0.00000000,6,9,49
2020-09-30,-0.05103437,-0.05043967,-0.05103437,0.00055050,390,high_concentration_breakout,False,risk_on,0.22292608,0.00000000,0.00000000,6,11,42
2020-10-30,0.11315586,0.11364581,0.11315586,0.00043038,390,high_concentration_breakout,False,risk_on,0.24498347,0.00000000,0.00000000,6,7,37
2020-11-30,0.13585772,0.13612290,0.13585772,0.00025930,394,high_concentration_breakout,False,risk_on,0.15888487,0.00000000,0.00000000,6,5,41
2020-12-31,0.03534378,0.03595955,0.03534378,0.00068392,398,high_concentration_breakout,False,risk_on,0.18257764,0.00000000,0.00000000,6,9,43
2025-01-28,-0.23676776,-0.23631044,-0.23676776,0.00052589,402,high_concentration_breakout,False,risk_on,0.23783324,0.00000000,0.00000000,6,21,50
2025-02-28,0.11780913,0.11813577,0.11780913,0.00028668,483,high_concentration_breakout,False,risk_on,0.40483685,0.00000000,-0.00498866,6,4,51
2025-03-31,0.02562670,0.02613578,0.02562670,0.00049943,483,high_concentration_breakout,False,risk_on,1.50871430,0.00000000,0.00000000,6,7,42
2025-04-30,-0.01792781,-0.01741838,-0.01792781,0.00051258,483,high_concentration_breakout,False,risk_on,2.05118117,0.00000000,-0.00057168,6,10,42
2025-05-30,0.04540183,0.04590912,0.04540183,0.00050129,484,high_concentration_breakout,False,risk_on,1.94532436,0.00000000,0.00000000,6,20,57
2025-06-30,0.04468241,0.04519060,0.04468241,0.00052497,486,high_concentration_breakout,False,risk_on,1.98733500,0.00000000,-0.00613733,6,18,50
2025-07-31,0.05611777,0.05672344,0.05611777,0.00065363,488,high_concentration_breakout,False,risk_on,1.98527099,0.00000000,0.00000000,6,7,49
2025-08-29,0.16444071,0.16491875,0.16444071,0.00054483,489,high_concentration_breakout,False,risk_on,1.94319964,0.00000000,0.00000000,6,7,52
2025-09-30,0.03809366,0.03868905,0.03809366,0.00079017,491,high_concentration_breakout,False,risk_on,2.10780495,0.00000000,0.00000000,6,16,57
2025-10-31,-0.05123746,-0.05073066,-0.05123746,0.00069823,492,high_concentration_breakout,False,risk_on,2.40003989,0.00000000,0.00000000,6,29,66
2025-11-28,-0.02731457,-0.02710951,-0.02731457,0.00026805,495,high_concentration_breakout,False,risk_on,2.54397067,0.00000000,0.00000000,6,2,57
2025-12-31,0.05940645,0.05974108,0.05940645,0.00042544,498,high_concentration_breakout,False,risk_on,2.14809266,0.00000000,-0.00000000,6,6,57
