date,one_way_turnover,two_way_turnover,buy_amount,sell_amount,trading_cost,buy_cost,sell_commission,sell_stamp_duty,event_type
2021-01-04,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2021-02-01,0.49985004,0.99970009,0.99970009,0.00000000,0.00029991,0.00029991,0.00000000,0.00000000,rebalance
2021-03-01,0.99970009,1.99940018,1.05528579,1.05591915,0.00063336,0.00031659,0.00031678,0.00000000,rebalance
2021-04-01,0.99970009,1.99940018,1.07884349,1.07949099,0.00064750,0.00032365,0.00032385,0.00000000,rebalance
2021-05-03,0.82882379,1.65764759,0.95050762,0.95107809,0.00057048,0.00028515,0.00028532,0.00000000,rebalance
2021-06-01,0.99970009,1.99940018,1.13247545,1.13315514,0.00067969,0.00033974,0.00033995,0.00000000,rebalance
2021-07-02,0.64344568,1.28689137,0.80055726,0.80349662,0.00048122,0.00024017,0.00024105,0.00000000,rebalance
2021-08-02,0.99862360,1.99724720,1.14071191,1.13893767,0.00068389,0.00034221,0.00034168,0.00000000,rebalance
2021-09-01,0.82376288,1.64752575,0.88128194,0.88181087,0.00052893,0.00026438,0.00026454,0.00000000,rebalance
2021-10-04,0.84555764,1.69111528,0.83265263,0.83315237,0.00049974,0.00024980,0.00024995,0.00000000,rebalance
2021-11-01,0.99970009,1.99940018,0.95512809,0.95570134,0.00057325,0.00028654,0.00028671,0.00000000,rebalance
2021-12-01,0.51650281,1.03300561,0.49548608,0.49020544,0.00029571,0.00014865,0.00014706,0.00000000,rebalance
2022-01-03,0.78050064,1.56100128,0.69554097,0.85002857,0.00046367,0.00020866,0.00025501,0.00000000,rebalance
2022-02-04,0.85216893,1.70433787,0.86840238,0.87372491,0.00052264,0.00026052,0.00026212,0.00000000,rebalance
2022-03-01,0.84667051,1.69334102,0.83336451,0.82767967,0.00049831,0.00025001,0.00024830,0.00000000,rebalance
2022-04-01,0.84303939,1.68607877,0.76420862,0.75245965,0.00045500,0.00022926,0.00022574,0.00000000,rebalance
2022-05-03,0.72226806,1.44453611,0.52112838,0.73406352,0.00037656,0.00015634,0.00022022,0.00000000,rebalance
2022-06-01,0.60744002,1.21488003,0.54137356,0.55519931,0.00032897,0.00016241,0.00016656,0.00000000,rebalance
2022-07-04,0.72265114,1.44530228,0.75840517,0.53171271,0.00038704,0.00022752,0.00015951,0.00000000,rebalance
2022-08-01,0.73653984,1.47307968,0.64025679,0.63678410,0.00038311,0.00019208,0.00019104,0.00000000,rebalance
2022-09-01,0.72222590,1.44445179,0.50199848,0.70704645,0.00036271,0.00015060,0.00021211,0.00000000,rebalance
2022-10-03,0.12917452,0.25834904,0.10994169,0.10166487,0.00006348,0.00003298,0.00003050,0.00000000,rebalance
2022-11-01,0.30814161,0.61628322,0.24962141,0.24334711,0.00014789,0.00007489,0.00007300,0.00000000,rebalance
2022-12-01,0.72953867,1.45907734,0.69593714,0.49920495,0.00035854,0.00020878,0.00014976,0.00000000,rebalance
2023-01-03,0.85354081,1.70708162,0.73227725,0.73913163,0.00044142,0.00021968,0.00022174,0.00000000,rebalance
