date,ts_code,name,weight
2023-02-28,01766.HK,中国中车,0.20231334
2023-02-28,00728.HK,中国电信,0.19982102
2023-02-28,03808.HK,中国重汽,0.18705402
2023-02-28,00020.HK,商汤-W,0.18237850
2023-02-28,01919.HK,中远海控,0.12103546
2023-02-28,00772.HK,阅文集团,0.10739765
2023-03-31,01055.HK,中国南方航空股份,0.24257154
2023-03-31,00763.HK,中兴通讯,0.20491465
2023-03-31,00753.HK,中国国航,0.20035654
2023-03-31,00728.HK,中国电信,0.17275512
2023-03-31,03808.HK,中国重汽,0.09060783
2023-03-31,00772.HK,阅文集团,0.08879432
2023-04-28,01766.HK,中国中车,0.21029057
2023-04-28,00857.HK,中国石油股份,0.17743571
2023-04-28,02899.HK,紫金矿业,0.17002061
2023-04-28,02338.HK,潍柴动力,0.15537809
2023-04-28,02282.HK,美高梅中国,0.14618552
2023-04-28,00700.HK,腾讯控股,0.14068950
2023-05-31,01766.HK,中国中车,0.19676740
2023-05-31,00857.HK,中国石油股份,0.17861004
2023-05-31,00902.HK,华能国际电力股份,0.17264149
2023-05-31,00390.HK,中国中铁,0.15321249
2023-05-31,01186.HK,中国铁建,0.15183621
2023-05-31,01618.HK,中国中冶,0.13617276
2023-05-31,CASH,现金,0.01075961
2023-06-30,01071.HK,华电国际电力股份,0.17137418
2023-06-30,03618.HK,重庆农村商业银行,0.15554640
2023-06-30,00857.HK,中国石油股份,0.14853823
2023-06-30,01038.HK,长江基建集团,0.14748617
2023-06-30,CASH,现金,0.14639021
2023-06-30,01766.HK,中国中车,0.14268687
2023-06-30,01186.HK,中国铁建,0.08797792
2023-07-31,01339.HK,中国人民保险集团,0.16146942
2023-07-31,00998.HK,中信银行,0.15214960
2023-07-31,CASH,现金,0.15067860
2023-07-31,00316.HK,东方海外国际,0.14624033
2023-07-31,00763.HK,中兴通讯,0.13751667
2023-07-31,01088.HK,中国神华,0.13732579
2023-07-31,00267.HK,中信股份,0.11461959
2023-08-31,02328.HK,中国财险,0.18129022
2023-08-31,01919.HK,中远海控,0.17457477
2023-08-31,02015.HK,理想汽车-W,0.17264877
2023-08-31,00005.HK,汇丰控股,0.16752527
2023-08-31,09868.HK,小鹏集团-W,0.15347516
2023-08-31,01988.HK,民生银行,0.15048580
2023-09-29,02328.HK,中国财险,0.20106293
2023-09-29,00005.HK,汇丰控股,0.17475323
2023-09-29,01919.HK,中远海控,0.17321083
2023-09-29,01988.HK,民生银行,0.15875273
2023-09-29,02015.HK,理想汽车-W,0.14700187
2023-09-29,09868.HK,小鹏集团-W,0.14521841
2023-10-31,00883.HK,中国海洋石油,0.16891979
2023-10-31,CASH,现金,0.15895636
2023-10-31,02359.HK,药明康德,0.15350537
2023-10-31,00005.HK,汇丰控股,0.14030353
2023-10-31,00857.HK,中国石油股份,0.13962637
2023-10-31,01910.HK,新秀丽,0.12164986
2023-10-31,02328.HK,中国财险,0.11703872
2023-11-30,00288.HK,万洲国际,0.19749045
2023-11-30,CASH,现金,0.16610880
2023-11-30,02380.HK,中国电力,0.13798795
2023-11-30,06886.HK,HTSC,0.13631255
2023-11-30,00659.HK,周大福创建,0.13294296
2023-11-30,06186.HK,中国飞鹤,0.13047437
2023-11-30,00467.HK,联合能源集团,0.09868292
2023-12-29,00288.HK,万洲国际,0.16968623
2023-12-29,03692.HK,翰森制药,0.14928898
2023-12-29,CASH,现金,0.14766267
2023-12-29,01898.HK,中煤能源,0.14335557
2023-12-29,01088.HK,中国神华,0.13831232
2023-12-29,09926.HK,康方生物,0.13156769
2023-12-29,00941.HK,中国移动,0.12012654
2024-01-31,CASH,现金,0.16382455
2024-01-31,00006.HK,电能实业,0.15489895
2024-01-31,00288.HK,万洲国际,0.15205999
2024-01-31,03988.HK,中国银行,0.14658137
2024-01-31,00004.HK,九龙仓集团,0.14031935
2024-01-31,00992.HK,联想集团,0.12193149
2024-01-31,01093.HK,石药集团,0.12038431
2024-02-29,CASH,现金,0.38686416
2024-02-29,00006.HK,电能实业,0.14013954
2024-02-29,00728.HK,中国电信,0.12534221
2024-02-29,01038.HK,长江基建集团,0.11579957
2024-02-29,00004.HK,九龙仓集团,0.09004774
2024-02-29,00288.HK,万洲国际,0.07134094
2024-02-29,00992.HK,联想集团,0.07046583
2024-03-28,CASH,现金,0.40204318
2024-03-28,00019.HK,太古股份公司A,0.10758265
2024-03-28,03998.HK,波司登,0.10748888
2024-03-28,00087.HK,太古股份公司B,0.10149275
2024-03-28,00004.HK,九龙仓集团,0.09577716
2024-03-28,00780.HK,同程旅行,0.09508390
2024-03-28,00564.HK,中创智领,0.09053149
2024-04-30,00857.HK,中国石油股份,0.15538511
2024-04-30,00780.HK,同程旅行,0.15267029
2024-04-30,CASH,现金,0.14745922
2024-04-30,00728.HK,中国电信,0.14695642
2024-04-30,01288.HK,农业银行,0.14552618
2024-04-30,03993.HK,洛阳钼业,0.13442276
2024-04-30,02099.HK,中国黄金国际,0.11758002
2024-05-31,00883.HK,中国海洋石油,0.16138054
2024-05-31,CASH,现金,0.14669489
2024-05-31,02367.HK,巨子生物,0.14537507
2024-05-31,01258.HK,中国有色矿业,0.14254216
2024-05-31,00921.HK,海信家电,0.13803425
2024-05-31,00005.HK,汇丰控股,0.13540664
2024-05-31,01114.HK,BRILLIANCE CHI,0.13056645
2024-06-28,00883.HK,中国海洋石油,0.20730291
2024-06-28,01378.HK,中国宏桥,0.16790553
2024-06-28,09992.HK,泡泡玛特,0.16382946
2024-06-28,06969.HK,思摩尔国际,0.15949367
2024-06-28,03618.HK,重庆农村商业银行,0.15592894
2024-06-28,00762.HK,中国联通,0.14553949
2024-07-31,01816.HK,中广核电力,0.18675483
2024-07-31,03618.HK,重庆农村商业银行,0.18098012
2024-07-31,01088.HK,中国神华,0.16373932
2024-07-31,00857.HK,中国石油股份,0.16167862
2024-07-31,01963.HK,重庆银行,0.15754526
2024-07-31,03993.HK,洛阳钼业,0.15078643
2024-08-30,09992.HK,泡泡玛特,0.20736626
2024-08-30,03618.HK,重庆农村商业银行,0.18072915
2024-08-30,02601.HK,中国太保,0.17831572
2024-08-30,00005.HK,汇丰控股,0.16252564
2024-08-30,03996.HK,中国能源建设,0.14485934
2024-08-30,02357.HK,中航科工,0.12620388
2024-09-30,03690.HK,美团-W,0.22530067
2024-09-30,00700.HK,腾讯控股,0.16923217
2024-09-30,00883.HK,中国海洋石油,0.15487116
2024-09-30,00220.HK,统一企业中国,0.15189131
2024-09-30,00005.HK,汇丰控股,0.14897679
2024-09-30,02018.HK,瑞声科技,0.14818261
2024-09-30,CASH,现金,0.00154530
2024-10-31,09992.HK,泡泡玛特,0.19560523
2024-10-31,01339.HK,中国人民保险集团,0.17120126
2024-10-31,01336.HK,新华保险,0.16802447
2024-10-31,02208.HK,金风科技,0.16296585
2024-10-31,02628.HK,中国人寿,0.15455040
2024-10-31,00966.HK,中国太平,0.14765280
2024-11-29,01810.HK,小米集团-W,0.27463711
2024-11-29,01336.HK,新华保险,0.18137716
2024-11-29,03800.HK,协鑫科技,0.15174354
2024-11-29,00966.HK,中国太平,0.14380243
2024-11-29,02628.HK,中国人寿,0.13227423
2024-11-29,01339.HK,中国人民保险集团,0.11335208
2024-11-29,CASH,现金,0.00281344
2024-12-31,09992.HK,泡泡玛特,0.20665085
2024-12-31,02268.HK,药明合联,0.17997655
2024-12-31,00753.HK,中国国航,0.17439874
2024-12-31,06969.HK,思摩尔国际,0.15821853
2024-12-31,06160.HK,百济神州,0.14104494
2024-12-31,02208.HK,金风科技,0.13971038
2025-01-28,01810.HK,小米集团-W,0.21683962
2025-01-28,06818.HK,中国光大银行,0.17319448
2025-01-28,01288.HK,农业银行,0.16793095
2025-01-28,01988.HK,民生银行,0.16745435
2025-01-28,03933.HK,联邦制药,0.14092586
2025-01-28,01963.HK,重庆银行,0.13365474
2025-02-28,01810.HK,小米集团-W,0.24171592
2025-02-28,09992.HK,泡泡玛特,0.18428374
2025-02-28,02018.HK,瑞声科技,0.15020942
2025-02-28,03888.HK,金山软件,0.14421787
2025-02-28,03988.HK,中国银行,0.13980781
2025-02-28,00998.HK,中信银行,0.13976524
2025-03-31,03988.HK,中国银行,0.20491231
2025-03-31,00005.HK,汇丰控股,0.18599850
2025-03-31,01810.HK,小米集团-W,0.18385744
2025-03-31,06160.HK,百济神州,0.17582491
2025-03-31,00753.HK,中国国航,0.14046638
2025-03-31,03888.HK,金山软件,0.10894046
2025-04-30,09992.HK,泡泡玛特,0.22042542
2025-04-30,02388.HK,中银香港,0.18037849
2025-04-30,06990.HK,科伦博泰生物,0.16981776
2025-04-30,09926.HK,康方生物,0.15046894
2025-04-30,06160.HK,百济神州,0.14057624
2025-04-30,00288.HK,万洲国际,0.13833317
2025-05-30,02388.HK,中银香港,0.19111889
2025-05-30,01929.HK,周大福,0.18252716
2025-05-30,01385.HK,上海复旦,0.17090960
2025-05-30,06990.HK,科伦博泰生物,0.16640519
2025-05-30,02367.HK,巨子生物,0.15190079
2025-05-30,00241.HK,阿里健康,0.14070042
2025-06-30,01801.HK,信达生物,0.21200248
2025-06-30,01177.HK,中国生物制药,0.17670023
2025-06-30,01093.HK,石药集团,0.16928499
2025-06-30,00998.HK,中信银行,0.15517668
2025-06-30,01385.HK,上海复旦,0.14979470
2025-06-30,02268.HK,药明合联,0.13704092
2025-07-31,01357.HK,美图公司,0.23225614
2025-07-31,00288.HK,万洲国际,0.16554167
2025-07-31,01801.HK,信达生物,0.16060947
2025-07-31,01810.HK,小米集团-W,0.15507331
2025-07-31,02400.HK,心动公司,0.15250644
2025-07-31,06181.HK,老铺黄金,0.13401297
2025-08-29,06869.HK,长飞光纤光缆,0.24912081
2025-08-29,01177.HK,中国生物制药,0.20620178
2025-08-29,06990.HK,科伦博泰生物,0.15650703
2025-08-29,01357.HK,美图公司,0.15515084
2025-08-29,01801.HK,信达生物,0.12095070
2025-08-29,02282.HK,美高梅中国,0.11206885
2025-09-30,09995.HK,荣昌生物,0.19184716
2025-09-30,03993.HK,洛阳钼业,0.19122367
2025-09-30,02359.HK,药明康德,0.17586274
2025-09-30,01378.HK,中国宏桥,0.16257871
2025-09-30,01339.HK,中国人民保险集团,0.14681120
2025-09-30,01833.HK,平安好医生,0.13167652
2025-10-31,03993.HK,洛阳钼业,0.19350698
2025-10-31,00358.HK,江西铜业股份,0.18502986
2025-10-31,01347.HK,华虹半导体,0.17676996
2025-10-31,01776.HK,广发证券,0.15764030
2025-10-31,01860.HK,汇量科技,0.14869783
2025-10-31,02228.HK,晶泰控股,0.13835507
2025-11-28,03993.HK,洛阳钼业,0.21647780
2025-11-28,00358.HK,江西铜业股份,0.20622072
2025-11-28,01347.HK,华虹半导体,0.18611385
2025-11-28,01530.HK,三生制药,0.16126314
2025-11-28,01880.HK,中国中免,0.12670555
2025-11-28,02228.HK,晶泰控股,0.10321894
2025-12-31,00358.HK,江西铜业股份,0.18964638
2025-12-31,03993.HK,洛阳钼业,0.18708296
2025-12-31,02099.HK,中国黄金国际,0.17996744
2025-12-31,00551.HK,裕元集团,0.15550408
2025-12-31,09995.HK,荣昌生物,0.14522581
2025-12-31,01347.HK,华虹半导体,0.14257332
2026-01-30,03993.HK,洛阳钼业,0.18820362
2026-01-30,02600.HK,中国铝业,0.18647755
2026-01-30,02899.HK,紫金矿业,0.17018544
2026-01-30,00358.HK,江西铜业股份,0.15841512
2026-01-30,01208.HK,五矿资源,0.15253852
2026-01-30,00386.HK,中国石油化工股份,0.14504446
2026-02-27,06869.HK,长飞光纤光缆,0.25089549
2026-02-27,00016.HK,新鸿基地产,0.16113948
2026-02-27,00083.HK,信和置业,0.15334319
2026-02-27,01209.HK,华润万象生活,0.15043175
2026-02-27,01157.HK,中联重科,0.14759763
2026-02-27,02388.HK,中银香港,0.13659247
2026-03-31,06869.HK,长飞光纤光缆,0.20342089
2026-03-31,00016.HK,新鸿基地产,0.17332173
2026-03-31,00005.HK,汇丰控股,0.17194914
2026-03-31,00006.HK,电能实业,0.16550320
2026-03-31,01113.HK,长实集团,0.15796683
2026-03-31,06862.HK,海底捞,0.12783821
2026-04-24,06869.HK,长飞光纤光缆,0.18097838
2026-04-24,03698.HK,徽商银行,0.17923516
2026-04-24,01398.HK,工商银行,0.17315200
2026-04-24,00288.HK,万洲国际,0.16612829
2026-04-24,03988.HK,中国银行,0.15397498
2026-04-24,00016.HK,新鸿基地产,0.14653119
