date,portfolio_return,nav,drawdown,trading_cost
2025-02-03,0.00000000,1.00000000,0.00000000,0.00000000
2025-02-28,0.14400300,1.14400300,0.00000000,0.00029991
2025-03-31,0.02395568,1.17140838,0.00000000,0.00047981
2025-04-30,0.02914632,1.20555062,0.00000000,0.00058663
2025-05-30,-0.02119589,1.17999789,-0.02119589,0.00047259
2025-06-30,0.11789857,1.31911795,0.00000000,0.00059653
2025-07-31,0.05419163,1.39060311,0.00000000,0.00069013
2025-08-29,0.17908280,1.63963620,0.00000000,0.00055455
2025-09-30,0.04990908,1.72146894,0.00000000,0.00098759
2025-10-31,-0.05130293,1.63315254,-0.05130293,0.00087239
2025-11-28,-0.02731457,1.58854367,-0.07721619,0.00033490
2025-12-31,0.05940645,1.68291342,-0.02239687,0.00053156
2026-01-30,0.15317541,1.94069438,0.00000000,0.00067754
2026-02-27,0.18032800,2.29065590,0.00000000,0.00109574
2026-03-31,-0.04932646,2.17766597,-0.04932646,0.00093732
2026-04-24,0.08685576,2.36680880,0.00000000,0.00091611
