date,portfolio_return,nav,drawdown,trading_cost
2017-01-09,0.00000000,1.00000000,0.00000000,0.00000000
2017-01-20,0.02910870,1.02910870,0.00000000,0.00029991
2017-02-03,0.01393340,1.04344769,0.00000000,0.00061296
2017-02-17,0.04239940,1.08768924,0.00000000,0.00050996
2017-03-03,0.00882961,1.09729311,0.00000000,0.00056854
2017-03-17,0.02691325,1.12682483,0.00000000,0.00044805
2017-03-31,-0.04431408,1.07689062,-0.04431408,0.00055849
2017-04-13,0.05746322,1.13877222,0.00000000,0.00027058
2017-04-28,-0.03286825,1.10134277,-0.03286825,0.00047461
2017-05-12,-0.01326320,1.08673545,-0.04569551,0.00057110
2017-05-26,0.02564742,1.11460741,-0.02122006,0.00065286
2017-06-09,0.01175906,1.12771415,-0.00971053,0.00054286
2017-06-23,-0.00105625,1.12652300,-0.01075652,0.00043461
2017-07-07,0.02457257,1.15420456,0.00000000,0.00033659
2017-07-21,0.07687266,1.24293134,0.00000000,0.00057518
2017-08-04,-0.00811997,1.23283877,-0.00811997,0.00050845
2017-08-18,-0.04980025,1.17144309,-0.05751584,0.00073888
2017-09-01,0.04450522,1.22357842,-0.01557038,0.00070424
2017-09-15,0.00242174,1.22654162,-0.01318634,0.00072747
2017-09-29,-0.03437651,1.18437740,-0.04710955,0.00073690
2017-10-13,0.05459571,1.24903932,0.00000000,0.00048412
2017-10-27,-0.03825237,1.20126062,-0.03825237,0.00075140
2017-11-10,0.08164178,1.29933367,0.00000000,0.00047612
2017-11-24,-0.01869772,1.27503909,-0.01869772,0.00063459
2017-12-08,-0.04551205,1.21700945,-0.06335880,0.00075259
2017-12-22,0.08774750,1.32379898,0.00000000,0.00075490
2018-01-05,0.11494504,1.47596310,0.00000000,0.00066304
2018-01-19,-0.00932127,1.46220525,-0.00932127,0.00057309
2018-02-02,0.00364473,1.46753460,-0.00571051,0.00073090
2018-02-15,-0.09834117,1.32321553,-0.10349010,0.00070279
2018-03-02,-0.02217491,1.29387335,-0.12337013,0.00037608
2018-03-16,0.02529091,1.32659658,-0.10119936,0.00055415
2018-03-29,-0.01319956,1.30908608,-0.11306314,0.00078267
2018-04-13,0.01882984,1.33373596,-0.09636226,0.00048310
2018-04-27,-0.00830508,1.32265918,-0.10386705,0.00066685
2018-05-11,0.02911440,1.36116760,-0.07777668,0.00053385
2018-05-25,0.02132332,1.39019221,-0.05811182,0.00038551
2018-06-08,0.08990484,1.51517722,0.00000000,0.00056928
2018-06-22,-0.01583071,1.49119089,-0.01583071,0.00094210
2018-07-06,-0.05088614,1.41530993,-0.06591129,0.00052072
2018-07-20,0.01970384,1.44319697,-0.04750616,0.00068878
2018-08-03,-0.04085591,1.38423385,-0.08642116,0.00049401
2018-08-17,-0.02424738,1.35066980,-0.10857305,0.00028152
2018-08-31,0.01449582,1.37024887,-0.09565109,0.00056740
2018-09-14,0.01444837,1.39004673,-0.08258472,0.00043703
2018-09-28,0.03005658,1.43182678,-0.05501036,0.00044435
2018-10-12,-0.07055795,1.33080002,-0.12168689,0.00032674
2018-10-26,-0.02478336,1.29781832,-0.14345444,0.00027176
2018-11-09,0.00704195,1.30695750,-0.13742269,0.00017987
2018-11-23,-0.00581361,1.29935936,-0.14243737,0.00050567
2018-12-07,-0.00168700,1.29716734,-0.14388408,0.00027936
2018-12-21,-0.00439230,1.29146979,-0.14764440,0.00038687
2019-01-04,-0.00248139,1.28826515,-0.14975943,0.00027989
2019-01-18,0.00487369,1.29454375,-0.14561562,0.00033877
2019-02-01,0.01008250,1.30759599,-0.13700129,0.00018423
2019-02-15,0.00372086,1.31246136,-0.13379020,0.00044605
2019-03-01,0.08290692,1.42127350,-0.06197540,0.00028678
2019-03-15,-0.02724099,1.38255660,-0.08752813,0.00058161
2019-03-29,0.03807461,1.43519690,-0.05278611,0.00067982
2019-04-12,0.03666187,1.48781391,-0.01805948,0.00052724
2019-04-26,-0.01626079,1.46362088,-0.03402661,0.00042240
2019-05-10,-0.06504978,1.36841267,-0.09686296,0.00048925
2019-05-24,-0.07836398,1.26117841,-0.16763637,0.00034481
2019-06-06,0.03623588,1.30687831,-0.13747495,0.00051890
2019-06-21,0.01718130,1.32933218,-0.12265565,0.00061080
2019-07-05,0.04402101,1.38785071,-0.08403407,0.00052315
2019-07-19,0.00463183,1.39427900,-0.07979147,0.00053194
2019-08-02,-0.03658906,1.34326364,-0.11346104,0.00068202
2019-08-16,-0.00712850,1.33368818,-0.11978073,0.00031190
2019-08-30,0.05463225,1.40655057,-0.07169237,0.00062549
2019-09-13,-0.01871109,1.38023247,-0.08906202,0.00048366
2019-09-27,-0.06508525,1.29039970,-0.14835065,0.00063301
2019-10-11,0.05169619,1.35710844,-0.10432362,0.00053984
2019-10-25,0.02754343,1.39448787,-0.07965362,0.00047775
2019-11-08,0.08290203,1.51009375,-0.00335503,0.00043592
2019-11-22,-0.04628641,1.44019694,-0.04948615,0.00047058
2019-12-06,0.00870469,1.45273341,-0.04121222,0.00070634
2019-12-20,0.01573289,1.47558910,-0.02612771,0.00086647
2020-01-03,0.02516863,1.51272766,-0.00161668,0.00074845
2020-01-17,0.04112962,1.57494556,0.00000000,0.00073653
2020-01-31,-0.07986210,1.44916711,-0.07986210,0.00045685
2020-02-14,0.10521686,1.60164393,0.00000000,0.00008925
2020-02-28,-0.10137473,1.43927770,-0.10137473,0.00077441
2020-03-13,-0.05497975,1.36014657,-0.15078093,0.00009077
2020-03-27,-0.07510771,1.25798908,-0.21456382,0.00006898
2020-04-09,0.01238846,1.27357362,-0.20483348,0.00039163
2020-04-24,0.04003553,1.32456182,-0.17299857,0.00027371
2020-05-08,0.00675699,1.33351187,-0.16741053,0.00026919
2020-05-22,-0.00216138,1.33062964,-0.16921007,0.00026596
2020-06-05,-0.00672317,1.32168359,-0.17479561,0.00018462
2020-06-19,0.04857371,1.38588267,-0.13471237,0.00062116
2020-07-03,0.07960273,1.49620272,-0.06583311,0.00064833
2020-07-17,-0.05371164,1.41583922,-0.11600875,0.00067563
2020-07-31,0.03890699,1.47092526,-0.08161531,0.00084784
2020-08-14,-0.07042538,1.36733480,-0.14629290,0.00071789
2020-08-28,0.12353674,1.53625088,-0.04082871,0.00074093
2020-09-11,-0.08707156,1.40248711,-0.12434525,0.00060804
2020-09-25,-0.05260378,1.32871098,-0.17040800,0.00051558
2020-10-09,0.12355363,1.49287805,-0.06790890,0.00010457
2020-10-23,-0.01205480,1.47488171,-0.07914507,0.00092714
2020-11-06,0.07694601,1.58836797,-0.00828896,0.00088945
2020-11-20,0.10801933,1.75994242,0.00000000,0.00081021
2020-12-04,-0.02014655,1.72448564,-0.02014655,0.00054940
2020-12-18,0.03571823,1.78608122,0.00000000,0.00101298
2020-12-31,0.09729693,1.95986143,0.00000000,0.00089129
2021-01-15,0.03977972,2.03782416,0.00000000,0.00058729
2021-01-29,-0.02080837,1.99542036,-0.02080837,0.00127162
2021-02-11,0.12906147,2.25295224,0.00000000,0.00043834
2021-02-26,-0.22236880,1.75196596,-0.22236880,0.00105709
2021-03-12,-0.07712485,1.61684585,-0.28234349,0.00024263
2021-03-26,-0.06281745,1.51527972,-0.32742484,0.00071009
2021-04-09,0.01762161,1.54198139,-0.31557298,0.00070267
2021-04-23,0.02806528,1.58525753,-0.29636434,0.00081383
2021-05-07,0.06150589,1.68276021,-0.25308660,0.00080606
2021-05-21,-0.06164525,1.57902603,-0.29913027,0.00067721
2021-06-04,0.03481852,1.63400539,-0.27472702,0.00092757
2021-06-18,0.05310290,1.72077582,-0.23621292,0.00098565
2021-07-02,0.02011783,1.75539409,-0.22084718,0.00101985
2021-07-16,0.01817809,1.78730381,-0.20668367,0.00088887
2021-07-30,-0.06262379,1.67537607,-0.25636415,0.00106363
2021-08-13,-0.03266645,1.62064748,-0.28065609,0.00080908
2021-08-27,0.03578996,1.67865039,-0.25491080,0.00080731
2021-09-10,0.10208154,1.85000960,-0.17885094,0.00088280
2021-09-24,-0.08656423,1.68986495,-0.24993308,0.00092496
2021-10-08,-0.12766034,1.47413621,-0.34568688,0.00081398
2021-10-22,-0.01182270,1.45670794,-0.35342263,0.00060135
2021-11-05,-0.03053457,1.41222798,-0.37316559,0.00077029
2021-11-19,-0.00834656,1.40044074,-0.37839750,0.00065484
2021-12-03,0.03309492,1.44678821,-0.35782562,0.00077857
2021-12-17,0.06607066,1.54237847,-0.31539673,0.00075780
2021-12-31,0.00857824,1.55560936,-0.30952404,0.00073259
2022-01-14,0.02832520,1.59967231,-0.28996617,0.00062742
2022-01-28,-0.01186045,1.58069948,-0.29838749,0.00062082
2022-02-11,0.05136143,1.66188647,-0.26235167,0.00036779
2022-02-25,-0.04749881,1.58294883,-0.29738909,0.00079830
2022-03-11,-0.02062353,1.55030283,-0.31187941,0.00054151
2022-03-25,0.00543251,1.55872487,-0.30814119,0.00041785
2022-04-08,-0.01271637,1.53890354,-0.31693912,0.00073589
2022-04-22,-0.01252303,1.51963181,-0.32549311,0.00059950
2022-05-06,-0.01211628,1.50121952,-0.33366562,0.00025381
2022-05-20,0.01060489,1.51713979,-0.32659922,0.00017464
2022-06-02,0.01774607,1.54406307,-0.31464900,0.00030735
2022-06-17,-0.04010216,1.48214279,-0.34213306,0.00030483
2022-06-30,0.02010057,1.51193471,-0.32890956,0.00037413
2022-07-15,-0.03480144,1.45931720,-0.35226447,0.00059307
2022-07-29,0.01210929,1.47698851,-0.34442085,0.00046534
2022-08-12,-0.00183355,1.47428037,-0.34562289,0.00048707
2022-08-26,0.00368920,1.47971928,-0.34320877,0.00048456
2022-09-09,0.03525451,1.53188607,-0.32005391,0.00036884
2022-09-23,-0.01308099,1.51184747,-0.32894828,0.00036940
2022-10-07,-0.01304925,1.49211899,-0.33770501,0.00036891
2022-10-21,-0.05770704,1.40601322,-0.37592409,0.00044303
2022-11-04,0.02477374,1.44084543,-0.36046339,0.00039828
2022-11-18,0.01046845,1.45592885,-0.35376844,0.00037472
2022-12-02,0.04114811,1.51583756,-0.32717723,0.00049481
2022-12-16,0.02208654,1.54931717,-0.31231690,0.00060757
2022-12-30,-0.01986543,1.51853932,-0.32597803,0.00070356
2023-01-13,0.04483573,1.58662413,-0.29575776,0.00061327
2023-01-27,0.00732487,1.59824595,-0.29059928,0.00072529
2023-02-10,-0.09126260,1.45238587,-0.35534103,0.00061060
2023-02-24,-0.01234126,1.43446159,-0.36329694,0.00071041
2023-03-10,0.04535216,1.49951752,-0.33442108,0.00024477
2023-03-24,-0.02443843,1.46287166,-0.35068679,0.00005330
2023-04-06,0.01228795,1.48084736,-0.34270806,0.00087329
2023-04-21,-0.00759247,1.46960407,-0.34769853,0.00073213
2023-05-05,0.03354122,1.51889638,-0.32581954,0.00058834
2023-05-19,-0.04100221,1.45661828,-0.35346242,0.00063573
2023-06-02,-0.02882133,1.41463660,-0.37209650,0.00025545
2023-06-16,0.05560140,1.49329238,-0.33718418,0.00072454
2023-06-30,-0.00326878,1.48841114,-0.33935078,0.00076478
2023-07-14,0.02216244,1.52139796,-0.32470918,0.00069499
2023-07-28,0.00390360,1.52733689,-0.32207312,0.00000000
2023-08-11,-0.05586050,1.44201908,-0.35994246,0.00082648
2023-08-25,-0.03615357,1.38988494,-0.38308282,0.00074376
2023-09-08,0.02083110,1.41883777,-0.37023176,0.00053479
2023-10-06,-0.03058232,1.37544642,-0.38949153,0.00056325
2023-10-20,-0.00397883,1.36997375,-0.39192064,0.00046051
2023-11-03,0.04525278,1.43196886,-0.36440336,0.00039186
2023-11-17,-0.06734471,1.33553334,-0.40720743,0.00037077
2023-12-01,-0.01686018,1.31301601,-0.41720202,0.00064276
2023-12-15,-0.02391151,1.28161981,-0.43113760,0.00061909
2023-12-29,0.00493103,1.28793952,-0.42833252,0.00061148
2024-01-12,-0.03818283,1.23876234,-0.45016041,0.00030228
2024-01-26,-0.00897919,1.22763926,-0.45509752,0.00041341
2024-02-09,-0.01247658,1.21232252,-0.46189604,0.00036799
2024-02-23,0.03810322,1.25851591,-0.44139255,0.00025699
2024-03-08,0.00015874,1.25871569,-0.44130387,0.00018583
2024-03-22,-0.01155495,1.24417129,-0.44775958,0.00031979
2024-04-05,0.05412213,1.31150850,-0.41787115,0.00048614
2024-04-19,0.02353577,1.34237586,-0.40417030,0.00063730
2024-05-03,-0.01459451,1.32278453,-0.41286615,0.00043940
2024-05-17,0.01895162,1.34785345,-0.40173901,0.00045439
2024-05-31,-0.03814261,1.29644280,-0.42455824,0.00052928
2024-06-14,0.03175094,1.33760608,-0.40628742,0.00057286
2024-06-28,-0.02620165,1.30255859,-0.42184367,0.00039050
2024-07-12,-0.00506701,1.29595851,-0.42477320,0.00078611
2024-07-26,-0.03518820,1.25035606,-0.44501440,0.00066319
2024-08-09,0.00937425,1.26207721,-0.43981182,0.00053001
2024-08-23,-0.00291409,1.25839941,-0.44144426,0.00076464
2024-09-05,-0.05470163,1.18956292,-0.47199817,0.00076326
2024-09-20,0.02880403,1.22382712,-0.45678958,0.00057545
2024-10-04,0.31857589,1.61370894,-0.28373584,0.00035051
2024-10-18,-0.40423395,0.96139301,-0.57327413,0.00101129
2024-11-01,-0.03091780,0.93166886,-0.58646755,0.00039761
2024-11-15,0.00543549,0.93673293,-0.58421980,0.00033549
2024-11-29,0.01944318,0.95494600,-0.57613571,0.00019435
2024-12-13,0.02550761,0.97930439,-0.56532395,0.00028178
2024-12-27,0.01657191,0.99553334,-0.55812053,0.00049502
2025-01-10,-0.05781200,0.93797956,-0.58366647,0.00050406
2025-01-24,0.12386328,1.05416078,-0.53209803,0.00028111
2025-02-07,0.05289043,1.10991581,-0.50735050,0.00040990
2025-02-21,0.13548949,1.26029773,-0.44060166,0.00043195
2025-03-07,-0.06243429,1.18161194,-0.47552730,0.00036444
2025-03-21,-0.03526611,1.13994108,-0.49402341,0.00069587
2025-04-03,0.06778208,1.21720866,-0.45972727,0.00013975
2025-04-17,-0.07595660,1.12475363,-0.50076455,0.00049367
2025-05-02,0.05108781,1.18221483,-0.47525970,0.00059375
2025-05-16,-0.00129484,1.18068405,-0.47593916,0.00058139
2025-05-30,0.01314860,1.19620839,-0.46904849,0.00073771
2025-06-13,0.14992861,1.37555424,-0.38944367,0.00071484
2025-06-27,-0.05675926,1.29747881,-0.42409840,0.00067237
2025-07-11,0.01714084,1.31971869,-0.41422696,0.00079187
2025-07-25,0.05033650,1.38614870,-0.38474120,0.00067736
2025-08-08,0.04098422,1.44295893,-0.35952529,0.00086246
2025-08-22,0.08441508,1.56476642,-0.30545957,0.00075205
2025-09-05,0.07410479,1.68072312,-0.25399079,0.00083787
2025-09-19,-0.02840238,1.63298658,-0.27517923,0.00079094
2025-10-03,0.08577730,1.77305976,-0.21300606,0.00099352
2025-10-17,-0.15673097,1.49516639,-0.33635238,0.00070273
2025-10-31,0.05034082,1.57043429,-0.30294382,0.00037164
2025-11-14,0.00064694,1.57145027,-0.30249286,0.00034501
2025-11-28,-0.07208533,1.45817175,-0.35277290,0.00064791
2025-12-12,-0.00863509,1.44558031,-0.35836176,0.00074728
2025-12-24,0.00580825,1.45397659,-0.35463497,0.00087460
2026-01-09,0.08009400,1.57043139,-0.30294510,0.00087747
2026-01-23,0.03946066,1.63240165,-0.27543886,0.00078343
2026-02-06,-0.04807649,1.55392151,-0.31027321,0.00083606
2026-02-20,0.04866267,1.62953949,-0.27670926,0.00098413
2026-03-06,-0.02616178,1.58690783,-0.29563184,0.00065443
2026-03-20,-0.00814913,1.57397592,-0.30137182,0.00092853
2026-04-02,-0.04939367,1.49623147,-0.33587963,0.00043409
2026-04-17,-0.02550826,1.45806520,-0.35282019,0.00074050
2026-04-30,0.08042071,1.57532384,-0.30077353,0.00043587
