date,ts_code,name,weight
2017-01-20,00522.HK,ASMPT,0.28791021
2017-01-20,06808.HK,高鑫零售,0.26116969
2017-01-20,00338.HK,上海石油化工股份,0.24709723
2017-01-20,00857.HK,中国石油股份,0.20382287
2017-02-03,00175.HK,吉利汽车,0.19584526
2017-02-03,02388.HK,中银香港,0.16843105
2017-02-03,01114.HK,BRILLIANCE CHI,0.16733832
2017-02-03,01093.HK,石药集团,0.16312209
2017-02-03,00914.HK,海螺水泥,0.15617892
2017-02-03,03993.HK,洛阳钼业,0.14908436
2017-02-17,00175.HK,吉利汽车,0.22439656
2017-02-17,00338.HK,上海石油化工股份,0.18669377
2017-02-17,03323.HK,中国建材,0.15507402
2017-02-17,03311.HK,中国建筑国际,0.15355492
2017-02-17,00101.HK,恒隆地产,0.14797152
2017-02-17,00010.HK,恒隆集团,0.13230921
2017-03-03,06808.HK,高鑫零售,0.19286099
2017-03-03,03993.HK,洛阳钼业,0.18374667
2017-03-03,00522.HK,ASMPT,0.18189359
2017-03-03,02689.HK,玖龙纸业,0.16525223
2017-03-03,00101.HK,恒隆地产,0.14319449
2017-03-03,00005.HK,汇丰控股,0.13366016
2017-03-17,01114.HK,BRILLIANCE CHI,0.26528383
2017-03-17,00135.HK,昆仑能源,0.21378217
2017-03-17,00168.HK,青岛啤酒股份,0.20025378
2017-03-17,03993.HK,洛阳钼业,0.14892228
2017-03-17,00522.HK,ASMPT,0.09067533
2017-03-17,02689.HK,玖龙纸业,0.08108261
2017-03-31,01093.HK,石药集团,0.18857949
2017-03-31,00135.HK,昆仑能源,0.17581286
2017-03-31,00914.HK,海螺水泥,0.17534189
2017-03-31,01800.HK,中国交通建设,0.15805010
2017-03-31,01528.HK,红星美凯龙,0.15798005
2017-03-31,00902.HK,华能国际电力股份,0.14423562
2017-04-13,01929.HK,周大福,0.24067502
2017-04-13,01093.HK,石药集团,0.20108086
2017-04-13,00991.HK,大唐发电,0.16548875
2017-04-13,00135.HK,昆仑能源,0.13925294
2017-04-13,00914.HK,海螺水泥,0.13645693
2017-04-13,01800.HK,中国交通建设,0.11704550
2017-04-28,02007.HK,碧桂园,0.19286187
2017-04-28,00914.HK,海螺水泥,0.17391391
2017-04-28,01929.HK,周大福,0.16998825
2017-04-28,00004.HK,九龙仓集团,0.16219639
2017-04-28,00101.HK,恒隆地产,0.15111437
2017-04-28,01918.HK,融创中国,0.14992521
2017-05-12,02382.HK,舜宇光学科技,0.18550888
2017-05-12,00522.HK,ASMPT,0.18302746
2017-05-12,00460.HK,四环医药,0.18154343
2017-05-12,02018.HK,瑞声科技,0.15020970
2017-05-12,03888.HK,金山软件,0.15010161
2017-05-12,02007.HK,碧桂园,0.14960893
2017-05-26,00700.HK,腾讯控股,0.20867052
2017-05-26,01093.HK,石药集团,0.18607720
2017-05-26,01114.HK,BRILLIANCE CHI,0.16652696
