date,portfolio_return,gross_return,net_return,trading_cost,eligible_count,candidate_family,market_risk_off,risk_stage,market_momentum,cash_weight_target,cash_after_trade,selected_count,buy_candidate_count,keep_candidate_count
2020-12-18,0.00000000,0.00000000,0.00000000,0.00000000,398,weekly_rebalance_aggressive,False,risk_on,,1.00000000,1.00000000,0,0,43
2020-12-24,0.00000000,0.00000000,0.00000000,0.00000000,400,weekly_rebalance_aggressive,False,risk_on,,1.00000000,1.00000000,0,0,44
2020-12-31,0.00000000,0.00000000,0.00000000,0.00000000,401,weekly_rebalance_aggressive,False,risk_on,,1.00000000,1.00000000,0,0,42
2021-01-08,0.00000000,0.00000000,0.00000000,0.00000000,402,weekly_rebalance_aggressive,False,risk_on,,1.00000000,1.00000000,0,0,36
2021-01-15,0.00000000,0.00000000,0.00000000,0.00000000,402,weekly_rebalance_aggressive,False,risk_on,,1.00000000,1.00000000,0,0,44
2021-01-22,0.00000000,0.00000000,0.00000000,0.00000000,402,weekly_rebalance_aggressive,False,risk_on,,1.00000000,1.00000000,0,0,40
2021-01-29,0.00000000,0.00000000,0.00000000,0.00000000,402,weekly_rebalance_aggressive,False,risk_on,,1.00000000,1.00000000,0,0,34
2021-02-05,0.03817387,0.03847378,0.03817387,0.00029991,401,weekly_rebalance_aggressive,False,risk_on,,0.00000000,0.00000000,5,5,34
2021-02-11,0.10311291,0.10360975,0.10311291,0.00051580,400,weekly_rebalance_aggressive,False,risk_on,,0.00000000,0.00000000,5,18,36
2021-02-19,-0.08569695,-0.08523139,-0.08569695,0.00053317,402,weekly_rebalance_aggressive,False,risk_on,,0.00000000,0.00000000,5,17,43
2021-02-26,-0.21095466,-0.21040830,-0.21095466,0.00057209,402,weekly_rebalance_aggressive,False,risk_on,,0.00000000,0.00000000,5,12,31
2021-03-05,0.04105759,0.04168417,0.04105759,0.00051767,402,weekly_rebalance_aggressive,False,risk_on,,0.00000000,0.00000000,5,12,30
2021-03-12,-0.00009395,0.00050147,-0.00009395,0.00051213,402,weekly_rebalance_aggressive,False,risk_on,,0.00000000,0.00000000,5,16,32
2021-03-19,-0.00595054,-0.00558876,-0.00595054,0.00031114,402,weekly_rebalance_aggressive,False,risk_on,,0.00000000,0.00000000,5,10,25
2021-03-26,-0.00768430,-0.00729638,-0.00768430,0.00033164,402,weekly_rebalance_aggressive,False,risk_on,,0.00000000,0.00000000,5,16,28
2021-04-01,-0.00972589,-0.00911635,-0.00972589,0.00051710,403,weekly_rebalance_aggressive,False,risk_on,,0.00000000,0.00000000,5,7,25
2021-04-09,0.02613906,0.02674590,0.02613906,0.00050980,400,weekly_rebalance_aggressive,False,risk_on,,0.00000000,0.00000000,5,15,38
2021-04-16,0.00488055,0.00535306,0.00488055,0.00040733,400,weekly_rebalance_aggressive,False,risk_on,,0.00000000,-0.00684068,5,13,28
2021-04-23,0.00381168,0.00428965,0.00381168,0.00041405,400,weekly_rebalance_aggressive,False,risk_on,,0.00000000,0.00000000,5,14,30
2021-04-30,-0.00172467,-0.00124616,-0.00172467,0.00041609,400,weekly_rebalance_aggressive,False,risk_on,,0.00000000,0.00000000,5,14,33
2021-05-07,-0.04810188,-0.04761694,-0.04810188,0.00042096,401,weekly_rebalance_aggressive,False,risk_on,,0.00000000,0.00000000,5,15,34
2021-05-14,-0.09131386,-0.09081995,-0.09131386,0.00040812,401,weekly_rebalance_aggressive,False,risk_on,,0.00000000,0.00000000,5,17,34
2021-05-21,0.03947133,0.04009248,0.03947133,0.00046640,401,weekly_rebalance_aggressive,False,risk_on,,0.00000000,0.00000000,5,13,33
2021-05-28,0.05002587,0.05051534,0.05002587,0.00038203,401,weekly_rebalance_aggressive,False,risk_on,,0.00000000,0.00000000,5,13,27
2021-06-04,0.02891641,0.02940610,0.02891641,0.00040132,401,weekly_rebalance_aggressive,False,risk_on,,0.00000000,0.00000000,5,13,39
2021-06-11,0.05684457,0.05733909,0.05684457,0.00041699,400,weekly_rebalance_aggressive,False,risk_on,,0.00000000,0.00000000,5,15,36
2021-06-18,-0.01793596,-0.01768794,-0.01793596,0.00022103,401,weekly_rebalance_aggressive,False,risk_on,,0.00000000,-0.00449302,5,17,39
2021-06-25,0.01588053,0.01635379,0.01588053,0.00041419,401,weekly_rebalance_aggressive,False,risk_on,,0.00000000,0.00000000,5,17,39
2021-07-02,0.03949834,0.04000257,0.03949834,0.00044830,401,weekly_rebalance_aggressive,False,risk_on,,0.00000000,0.00000000,5,16,37
2021-07-09,-0.01152367,-0.01091569,-0.01152367,0.00056189,402,weekly_rebalance_aggressive,False,risk_on,,0.00000000,0.00000000,5,6,36
2021-07-16,0.01336078,0.01379384,0.01336078,0.00039562,403,weekly_rebalance_aggressive,False,risk_on,,0.00000000,0.00000000,5,3,34
2021-07-23,-0.03804946,-0.03756862,-0.03804946,0.00044514,404,weekly_rebalance_aggressive,False,risk_on,,0.00000000,0.00000000,5,12,33
2021-07-30,-0.02770122,-0.02713344,-0.02770122,0.00050562,404,weekly_rebalance_aggressive,False,risk_on,,0.00000000,0.00000000,5,6,34
2021-08-06,0.02493053,0.02555319,0.02493053,0.00053914,403,weekly_rebalance_aggressive,False,risk_on,,0.00000000,0.00000000,5,9,39
2021-08-13,-0.03380269,-0.03320298,-0.03380269,0.00053221,404,weekly_rebalance_aggressive,False,risk_on,,0.00000000,0.00000000,5,8,38
2021-08-20,-0.03518755,-0.03471025,-0.03518755,0.00040926,405,weekly_rebalance_aggressive,False,risk_on,,0.00000000,0.00000000,5,14,39
2021-08-27,0.03308352,0.03348524,0.03308352,0.00033234,405,weekly_rebalance_aggressive,False,risk_on,,0.00000000,0.00000000,5,4,37
2021-09-03,0.06547164,0.06609734,0.06547164,0.00053475,405,weekly_rebalance_aggressive,False,risk_on,,0.00000000,0.00000000,5,14,35
2021-09-10,0.01051299,0.01087701,0.01051299,0.00033148,405,weekly_rebalance_aggressive,False,risk_on,,0.00000000,0.00046039,5,16,36
2021-09-17,-0.03509182,-0.03460456,-0.03509182,0.00044836,407,weekly_rebalance_aggressive,False,risk_on,,0.00000000,0.00000000,5,18,44
2021-09-24,-0.05882856,-0.05825071,-0.05882856,0.00051307,407,weekly_rebalance_aggressive,False,risk_on,,0.00000000,0.00000000,5,6,35
2021-09-30,0.02100552,0.02161398,0.02100552,0.00050846,407,weekly_rebalance_aggressive,False,risk_on,,0.00000000,0.00000000,5,9,39
2021-10-08,-0.09496773,-0.09459974,-0.09496773,0.00031397,410,weekly_rebalance_aggressive,False,risk_on,,0.00000000,0.00000000,5,6,38
2021-10-15,-0.04477513,-0.04442673,-0.04477513,0.00026903,409,weekly_rebalance_aggressive,False,risk_on,,0.00000000,-0.00292877,5,5,34
2021-10-22,0.01114946,0.01162265,0.01114946,0.00034903,409,weekly_rebalance_aggressive,False,risk_on,,0.00000000,0.00529778,5,5,36
2021-10-29,-0.02201973,-0.02177573,-0.02201973,0.00018198,411,weekly_rebalance_aggressive,False,risk_on,,0.00000000,-0.00000000,5,8,38
2021-11-05,-0.02635785,-0.02576024,-0.02635785,0.00043591,413,weekly_rebalance_aggressive,False,risk_on,,0.00000000,0.00000000,5,7,42
2021-11-12,0.01821071,0.01869920,0.01821071,0.00034692,414,weekly_rebalance_aggressive,False,risk_on,,0.00000000,0.00000000,5,5,40
2021-11-19,0.06703369,0.06763956,0.06703369,0.00043811,415,weekly_rebalance_aggressive,False,risk_on,,0.00000000,0.00000000,5,7,36
2021-11-26,-0.02219876,-0.02193789,-0.02219876,0.00020129,415,weekly_rebalance_aggressive,False,risk_on,,0.00000000,0.00000000,5,12,38
2021-12-03,0.01160300,0.01189619,0.01160300,0.00022120,415,weekly_rebalance_aggressive,False,risk_on,,0.00000000,-0.00000000,5,2,36
2021-12-10,-0.02037341,-0.01979984,-0.02037341,0.00043776,415,weekly_rebalance_aggressive,False,risk_on,,0.00000000,0.00000000,5,14,36
2021-12-17,0.03306244,0.03368982,0.03306244,0.00046907,417,weekly_rebalance_aggressive,False,risk_on,,0.00000000,0.00000000,5,9,39
2021-12-24,0.02769433,0.02828609,0.02769433,0.00045707,419,weekly_rebalance_aggressive,False,risk_on,,0.00000000,0.00000000,5,8,38
2021-12-31,-0.01076391,-0.01027892,-0.01076391,0.00038498,420,weekly_rebalance_aggressive,False,risk_on,,0.00000000,0.00000000,5,15,41
2022-01-07,0.04991113,0.05048038,0.04991113,0.00044699,420,weekly_rebalance_aggressive,False,caution,0.18818174,0.18000000,0.14731556,5,10,31
2022-01-14,0.00977912,0.01008267,0.00977912,0.00025026,421,weekly_rebalance_aggressive,False,caution,0.15755437,0.18000000,0.15375043,5,17,39
2022-01-21,0.00850380,0.00888739,0.00850380,0.00031933,421,weekly_rebalance_aggressive,False,caution,0.11452283,0.18000000,0.14880552,5,17,38
2022-01-28,-0.04552875,-0.04518436,-0.04552875,0.00028913,422,weekly_rebalance_aggressive,False,risk_on,0.06671761,0.00000000,0.00000000,5,19,41
