date,portfolio_return,gross_return,net_return,trading_cost,eligible_count,candidate_family,market_risk_off,risk_stage,market_momentum,cash_weight_target,cash_after_trade,selected_count,buy_candidate_count,keep_candidate_count
2020-11-20,0.00000000,0.00000000,0.00000000,0.00000000,396,weekly_rebalance_aggressive,False,risk_on,,1.00000000,1.00000000,0,0,34
2020-11-27,0.00000000,0.00000000,0.00000000,0.00000000,396,weekly_rebalance_aggressive,False,risk_on,,1.00000000,1.00000000,0,0,28
2020-12-04,0.00000000,0.00000000,0.00000000,0.00000000,397,weekly_rebalance_aggressive,False,risk_on,,1.00000000,1.00000000,0,0,35
2020-12-11,0.00000000,0.00000000,0.00000000,0.00000000,398,weekly_rebalance_aggressive,False,risk_on,,1.00000000,1.00000000,0,0,35
2020-12-18,0.00000000,0.00000000,0.00000000,0.00000000,398,weekly_rebalance_aggressive,False,risk_on,,1.00000000,1.00000000,0,0,36
2020-12-24,0.00000000,0.00000000,0.00000000,0.00000000,400,weekly_rebalance_aggressive,False,risk_on,,1.00000000,1.00000000,0,0,44
2020-12-31,0.00000000,0.00000000,0.00000000,0.00000000,401,weekly_rebalance_aggressive,False,risk_on,,1.00000000,1.00000000,0,0,46
2021-01-08,0.06440260,0.06470251,0.06440260,0.00029991,402,weekly_rebalance_aggressive,False,risk_on,,0.00000000,0.00000000,5,19,43
2021-01-15,-0.10877021,-0.10853432,-0.10877021,0.00025108,402,weekly_rebalance_aggressive,False,risk_on,,0.00000000,0.00386522,5,22,42
2021-01-22,0.07879183,0.07941829,0.07879183,0.00059428,402,weekly_rebalance_aggressive,False,risk_on,,0.00000000,0.00000000,5,23,39
2021-01-29,-0.09917397,-0.09880218,-0.09917397,0.00038048,402,weekly_rebalance_aggressive,False,risk_on,,0.00000000,0.00000000,5,16,31
2021-02-05,0.08388565,0.08451519,0.08388565,0.00058037,401,weekly_rebalance_aggressive,False,risk_on,,0.00000000,0.00000000,5,5,34
2021-02-11,0.04943723,0.04992974,0.04943723,0.00049212,400,weekly_rebalance_aggressive,False,risk_on,,0.00000000,0.00000000,5,16,27
2021-02-19,-0.01049870,-0.01011896,-0.01049870,0.00039820,402,weekly_rebalance_aggressive,False,risk_on,,0.00000000,0.00371164,5,13,41
2021-02-26,-0.09520303,-0.09463962,-0.09520303,0.00058459,402,weekly_rebalance_aggressive,False,risk_on,,0.00000000,0.00000000,5,11,32
2021-03-05,0.05259342,0.05309419,0.05259342,0.00047013,402,weekly_rebalance_aggressive,False,risk_on,,0.00000000,0.00000000,5,7,22
2021-03-12,-0.00861803,-0.00803056,-0.00861803,0.00058054,402,weekly_rebalance_aggressive,False,risk_on,,0.00000000,0.00000000,5,10,25
2021-03-19,-0.00714718,-0.00676920,-0.00714718,0.00037030,402,weekly_rebalance_aggressive,False,risk_on,,0.00000000,0.00000000,5,7,27
2021-03-26,-0.01458770,-0.01423155,-0.01458770,0.00034642,402,weekly_rebalance_aggressive,False,risk_on,,0.00000000,0.00505673,5,9,27
2021-04-01,0.00220025,0.00281465,0.00220025,0.00058889,403,weekly_rebalance_aggressive,False,risk_on,,0.00000000,0.00000000,5,6,27
2021-04-09,0.02421276,0.02482219,0.02421276,0.00058542,400,weekly_rebalance_aggressive,False,risk_on,,0.00000000,0.00000000,5,16,37
2021-04-16,0.02193660,0.02239629,0.02193660,0.00045227,400,weekly_rebalance_aggressive,False,risk_on,,0.00000000,0.00000000,5,12,29
2021-04-23,-0.00273009,-0.00238818,-0.00273009,0.00034377,400,weekly_rebalance_aggressive,False,risk_on,,0.00000000,-0.00648677,5,14,30
2021-04-30,0.00779686,0.00826974,0.00779686,0.00047415,400,weekly_rebalance_aggressive,False,risk_on,,0.00000000,0.00000000,5,12,33
2021-05-07,-0.04686977,-0.04638560,-0.04686977,0.00048926,401,weekly_rebalance_aggressive,False,risk_on,,0.00000000,0.00000000,5,14,33
2021-05-14,-0.05748855,-0.05687900,-0.05748855,0.00058709,401,weekly_rebalance_aggressive,False,risk_on,,0.00000000,0.00000000,5,17,34
2021-05-21,0.03271636,0.03321193,0.03271636,0.00044987,401,weekly_rebalance_aggressive,False,risk_on,,0.00000000,0.00000000,5,13,33
2021-05-28,0.04256188,0.04304644,0.04256188,0.00045426,401,weekly_rebalance_aggressive,False,risk_on,,0.00000000,0.00000000,5,13,27
2021-06-04,0.02165995,0.02203576,0.02165995,0.00036730,401,weekly_rebalance_aggressive,False,risk_on,,0.00000000,-0.00429586,5,13,39
2021-06-11,0.05906807,0.05956392,0.05906807,0.00049513,400,weekly_rebalance_aggressive,False,risk_on,,0.00000000,0.00000000,5,11,38
2021-06-18,-0.03101132,-0.03064465,-0.03101132,0.00038777,401,weekly_rebalance_aggressive,False,risk_on,,0.00000000,-0.01333521,5,14,36
