date,ts_code,name,weight
2017-01-06,03606.HK,福耀玻璃,0.26247531
2017-01-06,00763.HK,中兴通讯,0.24373363
2017-01-06,02020.HK,安踏体育,0.19772574
2017-01-06,01618.HK,中国中冶,0.18904351
2017-01-06,02208.HK,金风科技,0.10702180
2017-01-13,00522.HK,ASMPT,0.23076896
2017-01-13,00338.HK,上海石油化工股份,0.22567857
2017-01-13,06808.HK,高鑫零售,0.22184046
2017-01-13,00857.HK,中国石油股份,0.20145692
2017-01-13,03606.HK,福耀玻璃,0.12025508
2017-01-20,00175.HK,吉利汽车,0.23789230
2017-01-20,01929.HK,周大福,0.21371056
2017-01-20,00857.HK,中国石油股份,0.19357311
2017-01-20,00338.HK,上海石油化工股份,0.18721021
2017-01-20,01918.HK,融创中国,0.17648553
2017-01-27,00175.HK,吉利汽车,0.22070797
2017-01-27,02388.HK,中银香港,0.20558635
2017-01-27,01114.HK,BRILLIANCE CHI,0.19756070
2017-01-27,01093.HK,石药集团,0.19339029
2017-01-27,00914.HK,海螺水泥,0.18275470
2017-02-03,00522.HK,ASMPT,0.22007254
2017-02-03,00358.HK,江西铜业股份,0.21050735
2017-02-03,00027.HK,银河娱乐,0.19502366
2017-02-03,00005.HK,汇丰控股,0.19402435
2017-02-03,02689.HK,玖龙纸业,0.18037210
2017-02-10,00175.HK,吉利汽车,0.23860693
2017-02-10,00338.HK,上海石油化工股份,0.21458651
2017-02-10,03323.HK,中国建材,0.18735760
2017-02-10,03311.HK,中国建筑国际,0.18677191
2017-02-10,00101.HK,恒隆地产,0.17267705
2017-02-17,00358.HK,江西铜业股份,0.21505341
2017-02-17,00522.HK,ASMPT,0.21444011
2017-02-17,03993.HK,洛阳钼业,0.20325084
2017-02-17,01336.HK,新华保险,0.18538803
2017-02-17,02628.HK,中国人寿,0.18186762
2017-02-24,06808.HK,高鑫零售,0.22489768
2017-02-24,03993.HK,洛阳钼业,0.22447078
2017-02-24,00522.HK,ASMPT,0.20990685
2017-02-24,02689.HK,玖龙纸业,0.17763132
2017-02-24,00101.HK,恒隆地产,0.16652200
2017-03-03,01093.HK,石药集团,0.26780328
2017-03-03,01918.HK,融创中国,0.22670020
2017-03-03,03618.HK,重庆农村商业银行,0.21216569
2017-03-03,03993.HK,洛阳钼业,0.16553898
2017-03-03,00522.HK,ASMPT,0.12779184
2017-03-10,01114.HK,BRILLIANCE CHI,0.28680107
2017-03-10,00135.HK,昆仑能源,0.22621612
2017-03-10,00168.HK,青岛啤酒股份,0.21080759
2017-03-10,03993.HK,洛阳钼业,0.15184903
2017-03-10,00522.HK,ASMPT,0.13303643
2017-03-17,00522.HK,ASMPT,0.20779417
