date,portfolio_return,nav,drawdown,trading_cost
2025-01-01,0.00000000,1.00000000,0.00000000,0.00000000
2025-01-03,0.00991189,1.00991189,0.00000000,0.00029991
2025-01-10,-0.03862908,0.97089992,-0.03862908,0.00048027
2025-01-17,0.02821785,0.99829663,-0.01150126,0.00058770
2025-01-24,0.01287786,1.01115256,0.00000000,0.00036614
2025-01-28,-0.01176015,0.99926125,-0.01176015,0.00025546
2025-02-07,0.06926747,1.06847756,0.00000000,0.00040381
2025-02-14,0.02254726,1.09256880,0.00000000,0.00052503
2025-02-21,0.02092097,1.11542640,0.00000000,0.00039565
2025-02-28,-0.08878094,1.01639780,-0.08878094,0.00050821
2025-03-07,0.00968116,1.02623772,-0.07995927,0.00048587
2025-03-14,0.01547844,1.04212228,-0.06571848,0.00048523
2025-03-21,-0.00259807,1.03941477,-0.06814581,0.00037740
2025-03-28,0.01746612,1.05756931,-0.05186993,0.00042944
2025-04-03,0.00471807,1.06255900,-0.04739659,0.00052385
2025-04-11,-0.14259529,0.91104308,-0.18323335,0.00052178
2025-04-17,0.03636963,0.94417739,-0.15352785,0.00046898
2025-04-25,0.00579595,0.94964979,-0.14862174,0.00046874
2025-05-02,0.04261656,0.99012060,-0.11233893,0.00058317
2025-05-09,0.01726699,1.00721700,-0.09701169,0.00000000
2025-05-16,0.04695684,1.05451273,-0.05461021,0.00025322
2025-05-23,0.03368667,1.09003575,-0.02276318,0.00037194
2025-05-30,0.14243940,1.24529979,0.00000000,0.00028461
2025-06-06,0.02860981,1.28092758,0.00000000,0.00074017
2025-06-13,0.11595378,1.42945597,0.00000000,0.00061795
2025-06-20,-0.08509166,1.30782118,-0.08509166,0.00049872
2025-06-27,0.04397107,1.36532748,-0.04486216,0.00079706
2025-07-04,-0.00804836,1.35433884,-0.05254945,0.00080287
2025-07-11,0.07804815,1.46004248,0.00000000,0.00079588
2025-07-18,0.05567583,1.54133156,0.00000000,0.00054388
2025-07-25,0.01404943,1.56298638,0.00000000,0.00074363
2025-08-01,0.01745895,1.59027448,0.00000000,0.00079089
2025-08-08,0.05208921,1.67311062,0.00000000,0.00030115
2025-08-15,0.04083801,1.74143712,0.00000000,0.00086502
2025-08-22,-0.01416219,1.71677456,-0.01416219,0.00086949
2025-08-29,-0.00922117,1.70094389,-0.02325277,0.00079683
2025-09-05,-0.01166557,1.68110140,-0.03464709,0.00083051
2025-09-12,0.01039499,1.69857644,-0.02461225,0.00081881
2025-09-19,-0.02618241,1.65410361,-0.05015025,0.00059639
2025-09-26,-0.08531027,1.51299159,-0.13118219,0.00078802
2025-10-03,0.13745586,1.72096115,-0.01175809,0.00092039
2025-10-10,-0.06107760,1.61584897,-0.07211753,0.00060965
2025-10-17,-0.07495121,1.49473914,-0.14166345,0.00069302
2025-10-24,0.02829611,1.53703444,-0.11737586,0.00050558
2025-10-31,0.03192618,1.58610608,-0.08919705,0.00095323
2025-11-07,0.03791944,1.64625033,-0.05465991,0.00051496
2025-11-14,0.03268558,1.70005898,-0.02376092,0.00055782
2025-11-21,-0.08585627,1.55409825,-0.10757717,0.00067093
2025-11-28,0.03038604,1.60132114,-0.08045997,0.00026561
2025-12-05,0.06043766,1.69810125,-0.02488512,0.00060383
2025-12-12,-0.05754842,1.60037820,-0.08100144,0.00078985
2025-12-19,-0.02356766,1.56266103,-0.10266009,0.00055438
2025-12-24,0.03352394,1.61504758,-0.07257772,0.00076797
2025-12-31,-0.00322268,1.60984281,-0.07556650,0.00059891
