date,portfolio_return,nav,drawdown,trading_cost
2020-11-23,0.00000000,1.00000000,0.00000000,0.00000000
2020-12-04,0.00000000,1.00000000,0.00000000,0.00000000
2020-12-18,0.00000000,1.00000000,0.00000000,0.00000000
2020-12-31,0.00000000,1.00000000,0.00000000,0.00000000
2021-01-15,0.08039980,1.08039980,0.00000000,0.00013198
2021-01-29,0.00405032,1.08477577,0.00000000,0.00034901
2021-02-11,0.06903470,1.15966294,0.00000000,0.00048254
2021-02-26,-0.17590900,0.95566780,-0.17590900,0.00033694
2021-03-12,0.00711770,0.96246996,-0.17004336,0.00030855
2021-03-26,-0.05256461,0.91187810,-0.21366971,0.00029134
2021-04-09,0.06351292,0.96979414,-0.16372757,0.00019728
2021-04-23,0.00788475,0.97744073,-0.15713377,0.00026498
2021-05-07,0.04201466,1.01850757,-0.12172103,0.00042838
2021-05-21,-0.04019155,0.97757217,-0.15702043,0.00030829
2021-06-04,0.04743280,1.02394115,-0.11703555,0.00023896
2021-06-18,0.04272267,1.06768665,-0.07931295,0.00037983
2021-07-02,0.04450183,1.11520066,-0.03834069,0.00052691
2021-07-16,0.02189451,1.13961743,-0.01728563,0.00040089
2021-07-30,-0.07666660,1.05224683,-0.09262701,0.00045996
2021-08-13,-0.02038307,1.03079881,-0.11112205,0.00028537
2021-08-27,0.05402706,1.08648984,-0.06309859,0.00037813
2021-09-10,0.11711726,1.21373655,0.00000000,0.00039435
2021-09-24,-0.06296154,1.13731782,-0.06296154,0.00042948
2021-10-08,-0.13142100,0.98785038,-0.18610807,0.00044438
2021-10-22,-0.01898158,0.96909941,-0.20155703,0.00016828
2021-11-05,-0.02963197,0.94038309,-0.22521647,0.00017407
2021-11-19,0.00388528,0.94403674,-0.22220622,0.00039748
2021-12-03,0.00157638,0.94552490,-0.22098012,0.00035873
2021-12-17,0.05731307,0.99971583,-0.17633211,0.00046272
2021-12-31,0.03637202,1.03607751,-0.14637364,0.00034979
2022-01-14,0.00041022,1.03650253,-0.14602346,0.00039921
2022-01-28,-0.03866030,0.99643103,-0.17903846,0.00029335
2022-02-11,0.06305823,1.05926420,-0.12727008,0.00019355
2022-02-25,-0.04848226,1.00790868,-0.16958200,0.00033138
2022-03-11,-0.02478450,0.98292816,-0.19016350,0.00016184
2022-03-25,0.00634880,0.98916857,-0.18502201,0.00029956
2022-04-08,0.01059621,0.99965001,-0.17638634,0.00045357
2022-04-22,-0.03384084,0.96582101,-0.20425812,0.00035404
2022-05-06,-0.01483159,0.95149634,-0.21606024,0.00023337
2022-05-20,0.03001209,0.98005273,-0.19253257,0.00017458
2022-06-02,0.01325200,0.99304039,-0.18183201,0.00027724
2022-06-17,-0.06259973,0.93087632,-0.23304911,0.00028647
2022-06-30,0.03527131,0.96370955,-0.20599775,0.00030982
2022-07-15,-0.04475387,0.92057982,-0.24153242,0.00038084
2022-07-29,0.00838619,0.92829997,-0.23517177,0.00034515
2022-08-12,-0.02800278,0.90230499,-0.25658909,0.00018837
2022-08-26,0.01570498,0.91647567,-0.24491384,0.00023809
2022-09-09,0.08991924,0.99888447,-0.17701706,0.00018542
2022-09-23,-0.03565782,0.96326643,-0.20636284,0.00021786
2022-10-07,0.00290904,0.96606861,-0.20405412,0.00015548
2022-10-21,-0.04048479,0.92695752,-0.23627782,0.00027857
2022-11-04,0.01398051,0.93991687,-0.22560059,0.00029310
2022-11-18,0.02223777,0.96081852,-0.20837967,0.00023172
2022-12-02,0.02934616,0.98901486,-0.18514866,0.00028315
2022-12-16,0.04154741,1.03010587,-0.15129369,0.00030187
2022-12-30,-0.00517321,1.02477691,-0.15568423,0.00020955
2023-01-13,0.12325305,1.15108379,-0.05161973,0.00034454
2023-01-27,-0.01534493,1.13342049,-0.06617256,0.00034993
2023-02-10,-0.10453523,1.01493813,-0.16379042,0.00047701
2023-02-24,-0.03049563,0.98398695,-0.18929116,0.00023301
2023-03-10,-0.04634975,0.93837940,-0.22686731,0.00020692
2023-03-24,0.02459960,0.96146316,-0.20784855,0.00028651
2023-04-06,0.00497694,0.96624831,-0.20390606,0.00050563
2023-04-21,-0.00118739,0.96510099,-0.20485134,0.00040006
2023-05-05,0.00813069,0.97294792,-0.19838624,0.00038269
2023-05-19,-0.05235393,0.92201027,-0.24035387,0.00044399
2023-06-02,-0.01326807,0.90977697,-0.25043291,0.00026626
2023-06-16,0.03606132,0.94258473,-0.22340253,0.00023747
2023-06-30,0.00348740,0.94587190,-0.22069423,0.00049841
2023-07-14,0.03068468,0.97489568,-0.19678147,0.00037671
2023-07-28,0.02317218,0.99748614,-0.17816915,0.00000000
2023-08-11,-0.06100288,0.93663662,-0.22830319,0.00038755
2023-08-25,-0.04235345,0.89696682,-0.26098722,0.00026110
2023-09-08,0.04566902,0.93793041,-0.22723723,0.00024069
2023-10-06,-0.01266074,0.92605553,-0.23702098,0.00021126
2023-10-20,-0.03851422,0.89038922,-0.26640652,0.00017898
2023-11-03,0.02457818,0.91227336,-0.24837613,0.00024003
2023-11-17,-0.05089082,0.86584702,-0.28662689,0.00027642
2023-12-01,-0.01125042,0.85610587,-0.29465264,0.00039737
2023-12-15,-0.01561694,0.84273612,-0.30566801,0.00038030
2023-12-29,0.01415435,0.85466450,-0.29584019,0.00035342
2024-01-12,-0.03257928,0.82682015,-0.31878121,0.00021190
2024-01-26,-0.01920870,0.81093800,-0.33186654,0.00021084
2024-02-09,-0.02089548,0.79399306,-0.34582751,0.00024891
2024-02-23,0.05099404,0.83448198,-0.31246861,0.00026458
2024-03-08,-0.00246155,0.83242786,-0.31416100,0.00013498
2024-03-22,-0.03768653,0.80105654,-0.34000789,0.00031582
2024-04-05,0.06547884,0.85350879,-0.29679238,0.00038310
2024-04-19,0.03686957,0.88497729,-0.27086542,0.00037171
2024-05-03,-0.01274318,0.87369987,-0.28015691,0.00028312
2024-05-17,0.04210033,0.91048292,-0.24985128,0.00032293
2024-05-31,-0.04751636,0.86722009,-0.28549562,0.00033004
2024-06-14,-0.04817487,0.82544187,-0.31991677,0.00017157
2024-06-28,-0.02872494,0.80173110,-0.33945213,0.00042735
2024-07-12,0.09532940,0.87815964,-0.27648249,0.00031161
2024-07-26,-0.02981489,0.85197741,-0.29805409,0.00026640
2024-08-09,0.00304000,0.85456741,-0.29592018,0.00022017
2024-08-23,-0.03647000,0.82340134,-0.32159797,0.00045523
2024-09-05,-0.05078013,0.78158892,-0.35604731,0.00040348
