date,portfolio_return,gross_return,net_return,trading_cost,eligible_count,candidate_family,market_risk_off,risk_stage,market_momentum,cash_weight_target,cash_after_trade,selected_count,buy_candidate_count,keep_candidate_count,weekly_overlay_trade_count,weekly_overlay_trading_cost,weekly_overlay_avg_one_way_turnover
2017-01-20,0.01341194,0.01354393,0.01341194,0.00013198,326,momentum_equal_weight_elastic,False,risk_on,0.25561570,0.56000000,0.55992609,2,2,16,0,0.00000000,0.00000000
2017-02-03,0.03442855,0.03462900,0.03442855,0.00020314,326,momentum_equal_weight_elastic,False,risk_on,0.30952476,0.00000000,-0.00517865,5,4,20,0,0.00000000,0.00000000
2017-02-17,0.07420161,0.07451174,0.07420161,0.00032512,326,momentum_equal_weight_elastic,False,risk_on,0.36262039,0.00000000,0.00000000,7,4,20,0,0.00000000,0.00000000
2017-03-03,0.01295894,0.01326518,0.01295894,0.00034486,326,momentum_equal_weight_elastic,False,risk_on,0.34770952,0.00000000,0.00000000,9,7,21,0,0.00000000,0.00000000
2017-03-17,0.04121268,0.04146884,0.04121268,0.00029220,325,momentum_equal_weight_elastic,False,risk_on,0.30727582,0.00000000,-0.00000000,9,3,20,0,0.00000000,0.00000000
2017-03-31,-0.01869813,-0.01850916,-0.01869813,0.00022444,326,momentum_equal_weight_elastic,False,risk_on,0.32205852,0.00000000,0.00000000,8,4,17,0,0.00000000,0.00000000
2017-04-13,0.02440737,0.02458273,0.02440737,0.00020438,326,momentum_equal_weight_elastic,False,risk_on,0.31998239,0.00000000,-0.01072783,9,4,21,0,0.00000000,0.00000000
2017-04-28,-0.02081041,-0.02053791,-0.02081041,0.00032535,326,momentum_equal_weight_elastic,False,risk_on,0.30971699,0.00000000,0.00481083,8,5,25,0,0.00000000,0.00000000
2017-05-12,-0.00842811,-0.00817236,-0.00842811,0.00029899,326,momentum_equal_weight_elastic,False,risk_on,0.32400030,0.00000000,-0.00000000,9,7,19,0,0.00000000,0.00000000
2017-05-26,0.01397053,0.01426455,0.01397053,0.00034084,326,momentum_equal_weight_elastic,False,risk_on,0.41133012,0.00000000,0.00347256,9,11,29,0,0.00000000,0.00000000
2017-06-09,0.06287963,0.06341995,0.06287963,0.00063511,326,momentum_equal_weight_elastic,False,risk_on,0.35541027,0.00000000,0.00000000,9,11,34,0,0.00000000,0.00000000
2017-06-23,-0.00499050,-0.00470516,-0.00499050,0.00035648,329,momentum_equal_weight_elastic,False,risk_on,0.30390091,0.00000000,0.01552776,9,13,32,0,0.00000000,0.00000000
2017-07-07,0.04270329,0.04310678,0.04270329,0.00050158,329,momentum_equal_weight_elastic,False,risk_on,0.35142594,0.00000000,-0.00415595,9,13,30,0,0.00000000,0.00000000
2017-07-21,0.08136243,0.08169351,0.08136243,0.00042914,329,momentum_equal_weight_elastic,False,risk_on,0.35244216,0.00000000,0.00981347,9,12,31,0,0.00000000,0.00000000
2017-08-04,-0.02950014,-0.02915892,-0.02950014,0.00047827,332,momentum_equal_weight_elastic,False,risk_on,0.30181183,0.00000000,0.00104307,9,10,34,0,0.00000000,0.00000000
2017-08-18,-0.01607335,-0.01570926,-0.01607335,0.00049527,332,momentum_equal_weight_elastic,False,risk_on,0.31047887,0.00000000,-0.00678325,9,9,28,0,0.00000000,0.00000000
2017-09-01,0.07150408,0.07180627,0.07150408,0.00040446,332,momentum_equal_weight_elastic,False,risk_on,0.30943706,0.00000000,-0.02240175,9,9,30,0,0.00000000,0.00000000
2017-09-15,0.04962671,0.05002755,0.04962671,0.00057486,333,momentum_equal_weight_elastic,False,risk_on,0.30368462,0.00000000,-0.01502608,9,13,33,0,0.00000000,0.00000000
2017-09-29,-0.02005307,-0.01950975,-0.02005307,0.00081786,333,momentum_equal_weight_elastic,False,risk_on,0.26936997,0.00000000,0.00845962,9,10,32,0,0.00000000,0.00000000
2017-10-13,0.03422695,0.03456949,0.03422695,0.00050529,333,momentum_equal_weight_elastic,False,risk_on,0.31635266,0.00000000,0.01107893,9,10,25,0,0.00000000,0.00000000
2017-10-27,-0.06587479,-0.06556149,-0.06587479,0.00047798,334,momentum_equal_weight_elastic,False,risk_on,0.32947371,0.00000000,-0.01129158,9,5,26,0,0.00000000,0.00000000
2017-11-10,-0.02399433,-0.02380849,-0.02399433,0.00026484,335,momentum_equal_weight_elastic,False,risk_on,0.33396074,0.00000000,0.00000000,7,1,27,0,0.00000000,0.00000000
2017-11-24,-0.05420158,-0.05379215,-0.05420158,0.00056948,339,momentum_equal_weight_elastic,False,risk_on,0.38439964,0.00000000,-0.01240218,8,6,24,0,0.00000000,0.00000000
2017-12-08,-0.04780667,-0.04747034,-0.04780667,0.00044245,339,momentum_equal_weight_elastic,False,risk_on,0.35796928,0.00000000,0.00000000,9,4,27,0,0.00000000,0.00000000
2017-12-22,0.06907702,0.06943628,0.06907702,0.00045003,340,momentum_equal_weight_elastic,False,risk_on,0.38171317,0.00000000,0.00524440,9,6,29,0,0.00000000,0.00000000
2018-01-05,0.05807915,0.05856678,0.05807915,0.00065302,341,momentum_equal_weight_elastic,False,risk_on,0.45884755,0.00000000,0.00000000,9,13,29,0,0.00000000,0.00000000
2018-01-19,-0.01577692,-0.01554877,-0.01577692,0.00032329,342,momentum_equal_weight_elastic,False,risk_on,0.36306313,0.00000000,0.00189679,9,6,32,0,0.00000000,0.00000000
2018-02-02,0.03126003,0.03169682,0.03126003,0.00060914,342,momentum_equal_weight_elastic,False,risk_on,0.39093012,0.00000000,0.01197115,9,8,36,0,0.00000000,0.00000000
2018-02-15,-0.10208008,-0.10162592,-0.10208008,0.00065317,342,momentum_equal_weight_elastic,False,risk_on,0.44181716,0.00000000,0.00000000,9,12,30,0,0.00000000,0.00000000
2018-03-02,0.00257569,0.00282053,0.00257569,0.00031618,342,momentum_equal_weight_elastic,False,risk_on,0.43652894,0.00000000,0.00000000,9,7,29,0,0.00000000,0.00000000
2018-03-16,0.04665673,0.04693954,0.04665673,0.00036615,342,momentum_equal_weight_elastic,False,risk_on,0.44444638,0.00000000,0.00713678,9,5,22,0,0.00000000,0.00000000
2018-03-29,-0.04176064,-0.04149365,-0.04176064,0.00036179,341,momentum_equal_weight_elastic,False,risk_on,0.31780050,0.00000000,-0.00332268,9,4,24,0,0.00000000,0.00000000
2018-04-13,0.04594224,0.04606451,0.04594224,0.00015876,342,momentum_equal_weight_elastic,False,risk_on,0.35433122,0.00000000,-0.00853262,9,4,26,0,0.00000000,0.00000000
2018-04-27,-0.04859571,-0.04842198,-0.04859571,0.00023596,343,momentum_equal_weight_elastic,False,risk_on,0.37312648,0.00000000,-0.02484597,9,5,22,0,0.00000000,0.00000000
2018-05-11,0.00591304,0.00625486,0.00591304,0.00044169,342,momentum_equal_weight_elastic,False,risk_on,0.33881003,0.00000000,-0.00519346,9,5,26,0,0.00000000,0.00000000
2018-05-25,0.05666599,0.05687633,0.05666599,0.00027340,342,momentum_equal_weight_elastic,False,risk_on,0.38525707,0.00000000,-0.00933262,8,4,24,0,0.00000000,0.00000000
2018-06-08,0.08373509,0.08404342,0.08373509,0.00042349,342,momentum_equal_weight_elastic,False,risk_on,0.33265101,0.00000000,0.00000000,9,9,20,0,0.00000000,0.00000000
2018-06-22,-0.03054391,-0.03024159,-0.03054391,0.00045001,342,momentum_equal_weight_elastic,False,risk_on,0.33813406,0.00000000,-0.01446923,9,7,20,0,0.00000000,0.00000000
