date,one_way_turnover,two_way_turnover,buy_amount,sell_amount,trading_cost,buy_cost,sell_commission,sell_stamp_duty,event_type
2020-12-21,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2021-01-04,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2021-01-18,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2021-02-01,0.21997096,0.43994193,0.43994193,0.00000000,0.00013198,0.00013198,0.00000000,0.00000000,rebalance
2021-02-16,0.53685251,1.07370502,0.84911917,0.28953468,0.00034160,0.00025474,0.00008686,0.00000000,rebalance
2021-03-01,0.71990497,1.43980995,0.41227330,0.93738966,0.00040490,0.00012368,0.00028122,0.00000000,rebalance
2021-03-15,0.55397793,1.10795586,0.62736304,0.42615465,0.00031606,0.00018821,0.00012785,0.00000000,rebalance
2021-03-29,0.32552189,0.65104379,0.00000000,0.60296648,0.00018089,0.00000000,0.00018089,0.00000000,rebalance
2021-04-12,0.49985004,0.99970009,0.92569490,0.00000000,0.00027771,0.00027771,0.00000000,0.00000000,rebalance
2021-04-26,0.61796801,1.23593601,0.59922064,0.60307330,0.00036069,0.00017977,0.00018092,0.00000000,rebalance
2021-05-10,0.47441890,0.94883781,0.48887488,0.48567528,0.00029237,0.00014666,0.00014570,0.00000000,rebalance
2021-05-24,0.61074671,1.22149342,0.56935253,0.56969425,0.00034171,0.00017081,0.00017091,0.00000000,rebalance
2021-06-07,0.60243210,1.20486419,0.59751097,0.59786958,0.00035861,0.00017925,0.00017936,0.00000000,rebalance
2021-06-21,0.99970009,1.99940018,1.03446207,1.03508293,0.00062086,0.00031034,0.00031052,0.00000000,rebalance
2021-07-05,0.79606774,1.59213547,0.83746927,0.83797190,0.00050263,0.00025124,0.00025139,0.00000000,rebalance
2021-07-19,0.68036699,1.36073398,0.72172037,0.72549888,0.00043417,0.00021652,0.00021765,0.00000000,rebalance
2021-08-02,0.45854060,0.91708119,0.44364338,0.44944543,0.00026793,0.00013309,0.00013483,0.00000000,rebalance
2021-08-16,0.62013356,1.24026712,0.59606765,0.58754427,0.00035508,0.00017882,0.00017626,0.00000000,rebalance
2021-08-30,0.58023931,1.16047862,0.62256977,0.61179989,0.00037031,0.00018677,0.00018354,0.00000000,rebalance
2021-09-13,0.57805927,1.15611853,0.66767419,0.67666475,0.00040330,0.00020030,0.00020300,0.00000000,rebalance
2021-09-27,0.68937110,1.37874219,0.69314340,0.69782814,0.00041729,0.00020794,0.00020935,0.00000000,rebalance
2021-10-11,0.29686382,0.59372764,0.26058860,0.26615917,0.00015802,0.00007818,0.00007985,0.00000000,rebalance
2021-10-25,0.28997573,0.57995146,0.27942340,0.26545071,0.00016346,0.00008383,0.00007964,0.00000000,rebalance
2021-11-08,0.72100054,1.44200108,0.62051074,0.62365531,0.00037325,0.00018615,0.00018710,0.00000000,rebalance
2021-11-22,0.63442190,1.26884380,0.55916201,0.56373667,0.00033687,0.00016775,0.00016912,0.00000000,rebalance
2021-12-06,0.87800371,1.75600742,0.75664152,0.75395597,0.00045318,0.00022699,0.00022619,0.00000000,rebalance
2021-12-20,0.65667291,1.31334583,0.61419938,0.60617011,0.00036611,0.00018426,0.00018185,0.00000000,rebalance
2022-01-03,0.65106210,1.30212421,0.61314217,0.72803778,0.00040235,0.00018394,0.00021841,0.00000000,rebalance
2022-01-17,0.47783715,0.95567430,0.46794080,0.46663474,0.00028037,0.00014038,0.00013999,0.00000000,rebalance
2022-01-31,0.32327545,0.64655091,0.30461455,0.31201727,0.00018499,0.00009138,0.00009361,0.00000000,rebalance
2022-02-14,0.52936079,1.05872157,0.53309680,0.52263294,0.00031672,0.00015993,0.00015679,0.00000000,rebalance
2022-02-28,0.26325945,0.52651889,0.26312602,0.25248376,0.00015468,0.00007894,0.00007575,0.00000000,rebalance
2022-03-14,0.52361772,1.04723543,0.48137300,0.47298280,0.00028631,0.00014441,0.00014189,0.00000000,rebalance
2022-03-28,0.76800714,1.53601427,0.71443608,0.73056451,0.00043350,0.00021433,0.00021917,0.00000000,rebalance
2022-04-11,0.59922434,1.19844868,0.46968052,0.65822823,0.00033837,0.00014090,0.00019747,0.00000000,rebalance
2022-04-25,0.41304056,0.82608112,0.37907364,0.36442056,0.00022305,0.00011372,0.00010933,0.00000000,rebalance
2022-05-10,0.30828866,0.61657731,0.27337054,0.28281759,0.00016686,0.00008201,0.00008485,0.00000000,rebalance
2022-05-23,0.46700911,0.93401823,0.44117430,0.44206927,0.00026497,0.00013235,0.00013262,0.00000000,rebalance
2022-06-06,0.47893642,0.95787284,0.45244091,0.46021976,0.00027380,0.00013573,0.00013807,0.00000000,rebalance
2022-06-20,0.55439745,1.10879491,0.50227960,0.48476616,0.00029611,0.00015068,0.00014543,0.00000000,rebalance
2022-07-04,0.66027946,1.32055892,0.69671455,0.51658708,0.00036399,0.00020901,0.00015498,0.00000000,rebalance
2022-07-18,0.60907288,1.21814576,0.45751903,0.64207466,0.00032988,0.00013726,0.00019262,0.00000000,rebalance
2022-08-01,0.33784289,0.67568578,0.39156563,0.20856927,0.00018004,0.00011747,0.00006257,0.00000000,rebalance
2022-08-15,0.44947155,0.89894310,0.29637953,0.46215173,0.00022756,0.00008891,0.00013865,0.00000000,rebalance
2022-08-29,0.33455815,0.66911629,0.37767969,0.21305175,0.00017722,0.00011330,0.00006392,0.00000000,rebalance
2022-09-13,0.36350818,0.72701635,0.24789318,0.44617572,0.00020822,0.00007437,0.00013385,0.00000000,rebalance
2022-09-26,0.26897564,0.53795129,0.25244893,0.24287920,0.00014860,0.00007573,0.00007286,0.00000000,rebalance
2022-10-10,0.49584871,0.99169743,0.45154022,0.43594903,0.00026625,0.00013546,0.00013078,0.00000000,rebalance
2022-10-24,0.54743959,1.09487918,0.47099060,0.46280198,0.00028014,0.00014130,0.00013884,0.00000000,rebalance
2022-11-07,0.40797274,0.81594548,0.35947634,0.37876399,0.00022147,0.00010784,0.00011363,0.00000000,rebalance
2022-11-21,0.49210599,0.98421199,0.54077011,0.36130461,0.00027062,0.00016223,0.00010839,0.00000000,rebalance
2022-12-05,0.49374125,0.98748250,0.48117257,0.48055640,0.00028852,0.00014435,0.00014417,0.00000000,rebalance
2022-12-19,0.35451208,0.70902417,0.32867820,0.33890414,0.00020027,0.00009860,0.00010167,0.00000000,rebalance
2023-01-03,0.54713209,1.09426418,0.54820735,0.54944440,0.00032930,0.00016446,0.00016483,0.00000000,rebalance
2023-01-16,0.51286398,1.02572796,0.60433053,0.51048618,0.00033445,0.00018130,0.00015315,0.00000000,rebalance
2023-01-30,0.73360902,1.46721803,0.76736211,0.75232191,0.00045591,0.00023021,0.00022570,0.00000000,rebalance
2023-02-13,0.37984415,0.75968830,0.36749604,0.37485266,0.00022270,0.00011025,0.00011246,0.00000000,rebalance
2023-02-27,0.35603402,0.71206804,0.32616479,0.33304521,0.00019776,0.00009785,0.00009991,0.00000000,rebalance
2023-03-13,0.49702751,0.99405502,0.46265228,0.45012905,0.00027383,0.00013880,0.00013504,0.00000000,rebalance
2023-03-27,0.89189448,1.78378897,0.79742403,0.81343033,0.00048326,0.00023923,0.00024403,0.00000000,rebalance
2023-04-11,0.68770254,1.37540509,0.64134510,0.63320363,0.00038236,0.00019240,0.00018996,0.00000000,rebalance
2023-04-24,0.66677568,1.33355136,0.60941626,0.60978201,0.00036576,0.00018282,0.00018293,0.00000000,rebalance
2023-05-08,0.75572456,1.51144912,0.70703584,0.70746019,0.00042435,0.00021211,0.00021224,0.00000000,rebalance
