date,ts_code,name,weight
2025-01-24,02268.HK,药明合联,0.20726187
2025-01-24,00981.HK,中芯国际,0.19074874
2025-01-24,01114.HK,BRILLIANCE CHI,0.17503569
2025-01-24,01810.HK,小米集团-W,0.16239526
2025-01-24,00270.HK,粤海投资,0.15818046
2025-01-24,03888.HK,金山软件,0.10637799
2025-02-07,00763.HK,中兴通讯,0.13837108
2025-02-07,01810.HK,小米集团-W,0.13703196
2025-02-07,03888.HK,金山软件,0.13120901
2025-02-07,02382.HK,舜宇光学科技,0.12077499
2025-02-07,06680.HK,金力永磁,0.11865712
2025-02-07,00268.HK,金蝶国际,0.09899346
2025-02-07,02018.HK,瑞声科技,0.09000649
2025-02-07,06088.HK,FIT HON TENG,0.08717351
2025-02-07,06818.HK,中国光大银行,0.07778237
2025-02-21,02498.HK,速腾聚创,0.13049525
2025-02-21,01810.HK,小米集团-W,0.12453578
2025-02-21,02382.HK,舜宇光学科技,0.12108207
2025-02-21,00268.HK,金蝶国际,0.12076802
2025-02-21,09868.HK,小鹏集团-W,0.11315298
2025-02-21,00285.HK,比亚迪电子,0.11239584
2025-02-21,02018.HK,瑞声科技,0.10357864
2025-02-21,00175.HK,吉利汽车,0.08922271
2025-02-21,02269.HK,药明生物,0.08293286
2025-02-21,CASH,现金,0.00183584
2025-03-07,09868.HK,小鹏集团-W,0.14351535
2025-03-07,02252.HK,微创机器人-B,0.12214850
2025-03-07,02382.HK,舜宇光学科技,0.12060985
2025-03-07,02498.HK,速腾聚创,0.11849081
2025-03-07,02268.HK,药明合联,0.10913252
2025-03-07,01347.HK,华虹半导体,0.10604621
2025-03-07,01833.HK,平安好医生,0.10376220
2025-03-07,01810.HK,小米集团-W,0.09819567
2025-03-07,00981.HK,中芯国际,0.09542446
2025-03-21,01952.HK,云顶新耀,0.14889695
2025-03-21,09868.HK,小鹏集团-W,0.14066443
2025-03-21,09863.HK,零跑汽车,0.13644492
2025-03-21,00268.HK,金蝶国际,0.12596010
2025-03-21,01385.HK,上海复旦,0.11861273
2025-03-21,02498.HK,速腾聚创,0.10039705
2025-03-21,01347.HK,华虹半导体,0.08239891
2025-03-21,02423.HK,贝壳-W,0.07850323
2025-03-21,02252.HK,微创机器人-B,0.07438983
2025-04-03,09868.HK,小鹏集团-W,0.13793822
2025-04-03,02498.HK,速腾聚创,0.12703232
2025-04-03,01530.HK,三生制药,0.12075475
2025-04-03,01357.HK,美图公司,0.12034700
2025-04-03,01385.HK,上海复旦,0.10579076
2025-04-03,01952.HK,云顶新耀,0.10457521
2025-04-03,09863.HK,零跑汽车,0.10305181
2025-04-03,00268.HK,金蝶国际,0.08785516
2025-04-03,00425.HK,敏实集团,0.08673126
2025-04-03,CASH,现金,0.00592351
2025-04-17,01530.HK,三生制药,0.20820810
2025-04-17,01385.HK,上海复旦,0.15823897
2025-04-17,01357.HK,美图公司,0.14272586
2025-04-17,09863.HK,零跑汽车,0.13293077
2025-04-17,09868.HK,小鹏集团-W,0.12886161
2025-04-17,00268.HK,金蝶国际,0.11794145
2025-04-17,00425.HK,敏实集团,0.05920345
2025-04-17,02498.HK,速腾聚创,0.05188979
2025-05-02,09992.HK,泡泡玛特,0.16325123
