date,portfolio_return,nav,drawdown,trading_cost
2020-01-06,0.00000000,1.00000000,0.00000000,0.00000000
2020-01-17,0.06163311,1.06163311,0.00000000,0.00029991
2020-01-31,-0.08342730,0.97306392,-0.08342730,0.00025026
2020-02-14,0.14687873,1.11598631,0.00000000,0.00018903
2020-02-28,-0.06255857,1.04617181,-0.06255857,0.00038272
2020-03-13,-0.06454402,0.97864767,-0.12306481,0.00036634
2020-03-27,-0.02726229,0.95196749,-0.14697207,0.00017675
2020-04-09,-0.01795811,0.93487195,-0.16229085,0.00021352
2020-04-24,0.00000000,0.93487195,-0.16229085,0.00000000
2020-05-08,0.00000000,0.93487195,-0.16229085,0.00000000
2020-05-22,0.00000000,0.93487195,-0.16229085,0.00000000
2020-06-05,-0.00447467,0.93068871,-0.16603932,0.00021030
2020-06-19,0.07432129,0.99985870,-0.10405828,0.00023681
2020-07-03,0.09380778,1.09365322,-0.02001198,0.00038167
2020-07-17,-0.02306549,1.06842757,-0.04261588,0.00038949
2020-07-31,0.04979214,1.12162687,0.00000000,0.00030139
2020-08-14,-0.07844461,1.03364129,-0.07844461,0.00032670
2020-08-28,0.07405737,1.11019004,-0.01019664,0.00035044
2020-09-11,-0.05306907,1.05127328,-0.06272459,0.00033150
2020-09-25,-0.05183538,0.99678014,-0.11130861,0.00033321
2020-10-09,0.21420531,1.21029574,0.00000000,0.00019589
2020-10-23,-0.07310183,1.12182090,-0.07310183,0.00041638
2020-11-06,0.07283920,1.20353344,-0.00558731,0.00033299
2020-11-20,0.09200986,1.31427038,0.00000000,0.00066576
2020-12-04,-0.01276780,1.29749005,-0.01276780,0.00041317
2020-12-18,0.07892290,1.39989173,0.00000000,0.00045993
2020-12-31,0.08297970,1.51605432,0.00000000,0.00048607
2021-01-15,0.08058699,1.63822857,0.00000000,0.00060517
2021-01-29,0.02811972,1.68429511,0.00000000,0.00079906
2021-02-11,0.20973807,2.03755592,0.00000000,0.00030800
2021-02-26,-0.17435462,1.68229863,-0.17435462,0.00090892
2021-03-12,-0.08011856,1.54751528,-0.24050414,0.00036286
2021-03-26,-0.06127873,1.45268551,-0.28704509,0.00054972
2021-04-09,0.03879067,1.50903615,-0.25938908,0.00024916
2021-04-23,0.01142363,1.52627482,-0.25092862,0.00047490
2021-05-07,0.04623745,1.59684588,-0.21629347,0.00043940
2021-05-21,-0.05362646,1.51121269,-0.25832088,0.00036046
2021-06-04,0.03326929,1.56148966,-0.23364574,0.00036850
2021-06-18,0.02753428,1.60448415,-0.21254473,0.00047624
2021-07-02,0.04183215,1.67160316,-0.17960378,0.00071699
2021-07-16,0.01997560,1.70499444,-0.16321588,0.00054627
2021-07-30,-0.06977582,1.58602705,-0.22160318,0.00062630
2021-08-13,-0.01841357,1.55682264,-0.23593624,0.00038857
2021-08-27,0.04870880,1.63265361,-0.19871961,0.00051487
2021-09-10,0.10612406,1.80591744,-0.11368448,0.00053696
2021-09-24,-0.05761868,1.70186287,-0.16475280,0.00058479
2021-10-08,-0.11958684,1.49834246,-0.26463738,0.00060508
2021-10-22,-0.01704017,1.47281045,-0.27716808,0.00022914
2021-11-05,0.02134821,1.50425232,-0.26173691,0.00023702
2021-11-19,-0.00954040,1.48990116,-0.26878023,0.00051178
2021-12-03,0.00245683,1.49356160,-0.26698375,0.00047157
2021-12-17,0.04254185,1.55710047,-0.23579988,0.00067820
2021-12-31,0.03025543,1.60421121,-0.21267868,0.00045832
2022-01-14,0.00089006,1.60563906,-0.21197792,0.00051634
2022-01-28,-0.03201398,1.55423617,-0.23720564,0.00037731
2022-02-11,0.05241831,1.63570660,-0.19722125,0.00024988
2022-02-25,-0.04057799,1.56933292,-0.22979639,0.00042796
2022-03-11,-0.02203308,1.53475568,-0.24676635,0.00020469
2022-03-25,0.00527316,1.54284869,-0.24279443,0.00039268
2022-04-08,0.00872328,1.55630738,-0.23618912,0.00059061
2022-04-22,-0.01271405,1.53652041,-0.24590025,0.00034588
2022-05-06,0.00000000,1.53652041,-0.24590025,0.00000000
2022-05-20,0.00000000,1.53652041,-0.24590025,0.00000000
2022-06-02,0.00000000,1.53652041,-0.24590025,0.00000000
2022-06-17,0.00000000,1.53652041,-0.24590025,0.00000000
2022-06-30,0.00000000,1.53652041,-0.24590025,0.00000000
2022-07-15,-0.03422163,1.48393818,-0.27170677,0.00034564
2022-07-29,0.02042892,1.51425343,-0.25682853,0.00033916
2022-08-12,-0.02519476,1.47610218,-0.27555256,0.00034063
2022-08-26,-0.02482797,1.43945355,-0.29353912,0.00031839
2022-09-09,0.07422939,1.54630330,-0.24109896,0.00032380
2022-09-23,-0.00311400,1.54148812,-0.24346218,0.00035462
2022-10-07,0.00000000,1.54148812,-0.24346218,0.00000000
2022-10-21,0.00000000,1.54148812,-0.24346218,0.00000000
2022-11-04,0.00000000,1.54148812,-0.24346218,0.00000000
2022-11-18,0.00000000,1.54148812,-0.24346218,0.00000000
2022-12-02,-0.00359478,1.53594681,-0.24618176,0.00034676
2022-12-16,0.03062346,1.58298282,-0.22309724,0.00046930
2022-12-30,-0.00422125,1.57630066,-0.22637674,0.00026871
2023-01-13,0.10228784,1.73753705,-0.14724448,0.00043517
2023-01-27,-0.01400960,1.71319486,-0.15919124,0.00052605
2023-02-10,-0.10471214,1.53380256,-0.24723412,0.00072410
2023-02-24,-0.03049237,1.48703329,-0.27018774,0.00035249
2023-03-10,-0.04635018,1.41810903,-0.30401467,0.00031270
2023-03-24,0.02459992,1.45299440,-0.28689349,0.00043299
2023-04-06,0.00497694,1.46022586,-0.28334440,0.00076412
2023-04-21,-0.00118739,1.45849200,-0.28419535,0.00060459
2023-05-05,0.00813069,1.47035054,-0.27837537,0.00057833
2023-05-19,-0.05235393,1.39337191,-0.31615525,0.00067097
2023-06-02,-0.01326807,1.37488455,-0.32522856,0.00040238
2023-06-16,0.03606132,1.42446469,-0.30089541,0.00035887
2023-06-30,0.00348740,1.42943238,-0.29845735,0.00075321
2023-07-14,0.03094649,1.47366829,-0.27674707,0.00054929
2023-07-28,0.01948392,1.50238112,-0.26265527,0.00000000
2023-08-11,-0.06088689,1.41090581,-0.30754989,0.00054242
2023-08-25,-0.04246906,1.35098597,-0.33695760,0.00039606
2023-09-08,0.04136101,1.40686411,-0.30953350,0.00037441
2023-10-06,-0.01124628,1.39104213,-0.31729867,0.00025934
