date,portfolio_return,gross_return,net_return,trading_cost,eligible_count,candidate_family,market_risk_off,risk_stage,market_momentum,cash_weight_target,cash_after_trade,selected_count,buy_candidate_count,keep_candidate_count,weekly_overlay_trade_count,weekly_overlay_trading_cost,weekly_overlay_avg_one_way_turnover
2020-01-17,0.06163311,0.06193302,0.06163311,0.00029991,378,momentum_equal_weight_elastic,False,risk_on,0.21444888,0.00000000,0.00000000,8,8,28,0,0.00000000,0.00000000
2020-01-31,-0.08342730,-0.08319158,-0.08342730,0.00025026,379,momentum_equal_weight_elastic,False,risk_on,0.17798276,0.00000000,-0.00255081,9,7,32,0,0.00000000,0.00000000
2020-02-14,0.14687873,0.14707299,0.14687873,0.00018903,379,momentum_equal_weight_elastic,False,caution,0.16308298,0.25000000,0.24599102,9,4,33,0,0.00000000,0.00000000
2020-02-28,-0.06255857,-0.06221562,-0.06255857,0.00038272,380,momentum_equal_weight_elastic,False,risk_on,0.18161616,0.00000000,0.00000000,9,13,33,0,0.00000000,0.00000000
2020-03-13,-0.06454402,-0.06419385,-0.06454402,0.00036634,380,momentum_equal_weight_elastic,False,caution,-0.01009971,0.25000000,0.26713986,9,8,31,0,0.00000000,0.00000000
2020-03-27,-0.02726229,-0.02708169,-0.02726229,0.00017675,380,momentum_equal_weight_elastic,False,caution,0.06156585,0.25000000,0.22335405,9,7,30,0,0.00000000,0.00000000
2020-04-09,-0.01795811,-0.01773382,-0.01795811,0.00021352,381,momentum_equal_weight_elastic,True,risk_off,-0.00176644,1.00000000,0.93487195,9,9,37,0,0.00000000,0.00000000
2020-04-24,0.00000000,0.00000000,0.00000000,0.00000000,383,momentum_equal_weight_elastic,True,risk_off,-0.10595073,1.00000000,0.93487195,9,10,42,0,0.00000000,0.00000000
2020-05-08,0.00000000,0.00000000,0.00000000,0.00000000,383,momentum_equal_weight_elastic,True,risk_off,-0.12165329,1.00000000,0.93487195,9,9,33,0,0.00000000,0.00000000
2020-05-22,0.00000000,0.00000000,0.00000000,0.00000000,383,momentum_equal_weight_elastic,True,risk_off,-0.03317956,1.00000000,0.93487195,9,13,39,0,0.00000000,0.00000000
2020-06-05,-0.00447467,-0.00424972,-0.00447467,0.00021030,384,momentum_equal_weight_elastic,False,caution,0.01440552,0.25000000,0.23366541,9,9,34,0,0.00000000,0.00000000
2020-06-19,0.07432129,0.07457574,0.07432129,0.00023681,385,momentum_equal_weight_elastic,False,risk_on,0.04292077,0.00000000,-0.00241995,9,7,30,0,0.00000000,0.00000000
2020-07-03,0.09380778,0.09418950,0.09380778,0.00038167,389,momentum_equal_weight_elastic,False,caution,-0.04772701,0.25000000,0.25397994,9,15,38,0,0.00000000,0.00000000
2020-07-17,-0.02306549,-0.02270935,-0.02306549,0.00038949,390,momentum_equal_weight_elastic,False,risk_on,0.00752124,0.00000000,0.00444336,9,18,39,0,0.00000000,0.00000000
2020-07-31,0.04979214,0.05007422,0.04979214,0.00030139,389,momentum_equal_weight_elastic,False,risk_on,0.03603117,0.00000000,0.00796445,9,9,40,0,0.00000000,0.00000000
2020-08-14,-0.07844461,-0.07815333,-0.07844461,0.00032670,390,momentum_equal_weight_elastic,False,risk_on,0.14602399,0.00000000,0.01217136,9,11,39,0,0.00000000,0.00000000
2020-08-28,0.07405737,0.07439641,0.07405737,0.00035044,390,momentum_equal_weight_elastic,False,risk_on,0.22718427,0.00000000,0.00000000,9,5,30,0,0.00000000,0.00000000
2020-09-11,-0.05306907,-0.05277047,-0.05306907,0.00033150,390,momentum_equal_weight_elastic,False,risk_on,0.22292608,0.00000000,-0.00000000,9,9,31,0,0.00000000,0.00000000
2020-09-25,-0.05183538,-0.05151842,-0.05183538,0.00033321,390,momentum_equal_weight_elastic,False,risk_on,0.18325583,0.00000000,-0.00000000,9,7,23,0,0.00000000,0.00000000
2020-10-09,0.21420531,0.21440183,0.21420531,0.00019589,390,momentum_equal_weight_elastic,False,risk_on,0.25409560,0.00000000,0.00336110,9,6,25,0,0.00000000,0.00000000
2020-10-23,-0.07310183,-0.07275780,-0.07310183,0.00041638,391,momentum_equal_weight_elastic,False,risk_on,0.20043481,0.00000000,-0.00229203,9,10,27,0,0.00000000,0.00000000
2020-11-06,0.07283920,0.07313604,0.07283920,0.00033299,392,momentum_equal_weight_elastic,False,risk_on,0.14419969,0.00000000,0.00000000,7,6,23,0,0.00000000,0.00000000
2020-11-20,0.09200986,0.09256303,0.09200986,0.00066576,394,momentum_equal_weight_elastic,False,risk_on,0.15943643,0.00000000,0.00000000,9,10,31,0,0.00000000,0.00000000
2020-12-04,-0.01276780,-0.01245342,-0.01276780,0.00041317,396,momentum_equal_weight_elastic,False,risk_on,0.21285626,0.00000000,0.02513425,9,8,31,0,0.00000000,0.00000000
2020-12-18,0.07892290,0.07927738,0.07892290,0.00045993,398,momentum_equal_weight_elastic,False,risk_on,0.23593336,0.00000000,0.00000000,9,9,31,0,0.00000000,0.00000000
2020-12-31,0.08297970,0.08332692,0.08297970,0.00048607,400,momentum_equal_weight_elastic,False,risk_on,0.25780044,0.00000000,0.01286955,9,15,34,0,0.00000000,0.00000000
2021-01-15,0.08058699,0.08098616,0.08058699,0.00060517,402,momentum_equal_weight_elastic,False,risk_on,0.23681602,0.00000000,0.02079155,9,12,39,0,0.00000000,0.00000000
2021-01-29,0.02811972,0.02860749,0.02811972,0.00079906,402,momentum_equal_weight_elastic,False,risk_on,0.21390192,0.00000000,0.00204122,9,14,32,0,0.00000000,0.00000000
2021-02-11,0.20973807,0.20992094,0.20973807,0.00030800,401,momentum_equal_weight_elastic,False,risk_on,0.40483685,0.00000000,-0.01557111,9,4,34,0,0.00000000,0.00000000
2021-02-26,-0.17435462,-0.17390854,-0.17435462,0.00090892,402,momentum_equal_weight_elastic,False,risk_on,0.37972645,0.00000000,0.00000000,9,13,30,0,0.00000000,0.00000000
2021-03-12,-0.08011856,-0.07990287,-0.08011856,0.00036286,402,momentum_equal_weight_elastic,False,risk_on,0.44338539,0.00000000,-0.00496338,9,4,23,0,0.00000000,0.00000000
2021-03-26,-0.06127873,-0.06092350,-0.06127873,0.00054972,402,momentum_equal_weight_elastic,False,risk_on,0.69673661,0.00000000,0.00000000,8,5,21,0,0.00000000,0.00000000
2021-04-09,0.03879067,0.03896219,0.03879067,0.00024916,403,momentum_equal_weight_elastic,False,risk_on,0.75016370,0.00000000,0.00000000,7,4,25,0,0.00000000,0.00000000
2021-04-23,0.01142363,0.01173833,0.01142363,0.00047490,400,momentum_equal_weight_elastic,False,risk_on,0.66518539,0.00000000,0.00328137,9,6,24,0,0.00000000,0.00000000
2021-05-07,0.04623745,0.04652534,0.04623745,0.00043940,400,momentum_equal_weight_elastic,False,risk_on,0.64944899,0.00000000,0.00534316,9,7,31,0,0.00000000,0.00000000
2021-05-21,-0.05362646,-0.05340073,-0.05362646,0.00036046,401,momentum_equal_weight_elastic,False,risk_on,0.64812384,0.00000000,-0.01259096,9,6,29,0,0.00000000,0.00000000
2021-06-04,0.03326929,0.03351314,0.03326929,0.00036850,401,momentum_equal_weight_elastic,False,risk_on,0.75508031,0.00000000,-0.00876372,9,6,28,0,0.00000000,0.00000000
2021-06-18,0.02753428,0.02783926,0.02753428,0.00047624,400,momentum_equal_weight_elastic,False,risk_on,0.59521985,0.00000000,0.00324317,9,7,28,0,0.00000000,0.00000000
2021-07-02,0.04183215,0.04227901,0.04183215,0.00071699,401,momentum_equal_weight_elastic,False,risk_on,0.58853478,0.00000000,0.00000000,9,13,32,0,0.00000000,0.00000000
2021-07-16,0.01997560,0.02030239,0.01997560,0.00054627,402,momentum_equal_weight_elastic,False,risk_on,0.55471734,0.00000000,0.01142940,9,9,27,0,0.00000000,0.00000000
2021-07-30,-0.06977582,-0.06940849,-0.06977582,0.00062630,404,momentum_equal_weight_elastic,False,risk_on,0.50542750,0.00000000,0.00514708,9,12,27,0,0.00000000,0.00000000
2021-08-13,-0.01841357,-0.01816857,-0.01841357,0.00038857,403,momentum_equal_weight_elastic,False,risk_on,0.49590755,0.00000000,0.01287789,8,7,27,0,0.00000000,0.00000000
2021-08-27,0.04870880,0.04903952,0.04870880,0.00051487,405,momentum_equal_weight_elastic,False,risk_on,0.45608602,0.00000000,0.00000000,9,10,34,0,0.00000000,0.00000000
2021-09-10,0.10612406,0.10645295,0.10612406,0.00053696,405,momentum_equal_weight_elastic,False,risk_on,0.35799868,0.00000000,-0.01615344,9,11,34,0,0.00000000,0.00000000
2021-09-24,-0.05761868,-0.05729486,-0.05761868,0.00058479,407,momentum_equal_weight_elastic,False,risk_on,0.44086967,0.00000000,-0.00370179,9,11,34,0,0.00000000,0.00000000
2021-10-08,-0.11958684,-0.11923131,-0.11958684,0.00060508,407,momentum_equal_weight_elastic,False,risk_on,0.46628070,0.00000000,0.00248607,9,12,31,0,0.00000000,0.00000000
2021-10-22,-0.01704017,-0.01688724,-0.01704017,0.00022914,409,momentum_equal_weight_elastic,False,risk_on,0.48514224,0.00000000,0.01033432,9,6,28,0,0.00000000,0.00000000
2021-11-05,0.02134821,0.02150914,0.02134821,0.00023702,411,momentum_equal_weight_elastic,False,risk_on,0.37699332,0.00000000,-0.01016329,9,5,27,0,0.00000000,0.00000000
2021-11-19,-0.00954040,-0.00920017,-0.00954040,0.00051178,414,momentum_equal_weight_elastic,False,caution,0.34589688,0.25000000,0.36494114,9,7,27,0,0.00000000,0.00000000
2021-12-03,0.00245683,0.00277334,0.00245683,0.00047157,415,momentum_equal_weight_elastic,False,risk_on,0.30700886,0.00000000,0.01090027,9,8,29,0,0.00000000,0.00000000
2021-12-17,0.04254185,0.04299593,0.04254185,0.00067820,415,momentum_equal_weight_elastic,False,caution,0.21037883,0.25000000,0.36159797,9,11,27,0,0.00000000,0.00000000
2021-12-31,0.03025543,0.03054977,0.03025543,0.00045832,419,momentum_equal_weight_elastic,False,caution,0.24672125,0.25000000,0.36797014,9,10,31,0,0.00000000,0.00000000
2022-01-14,0.00089006,0.00121192,0.00089006,0.00051634,420,momentum_equal_weight_elastic,False,caution,0.18818174,0.25000000,0.41447441,8,5,18,0,0.00000000,0.00000000
2022-01-28,-0.03201398,-0.03177899,-0.03201398,0.00037731,421,momentum_equal_weight_elastic,False,caution,0.11452283,0.25000000,0.40484668,9,7,29,0,0.00000000,0.00000000
2022-02-11,0.05241831,0.05257909,0.05241831,0.00024988,422,momentum_equal_weight_elastic,False,caution,0.12946915,0.25000000,0.40833410,9,7,31,0,0.00000000,0.00000000
2022-02-25,-0.04057799,-0.04031635,-0.04057799,0.00042796,423,momentum_equal_weight_elastic,False,caution,0.05266848,0.25000000,0.40072180,9,13,40,0,0.00000000,0.00000000
2022-03-11,-0.02203308,-0.02190265,-0.02203308,0.00020469,423,momentum_equal_weight_elastic,False,caution,0.00270455,0.25000000,0.36967625,9,6,34,0,0.00000000,0.00000000
2022-03-25,0.00527316,0.00552902,0.00527316,0.00039268,425,momentum_equal_weight_elastic,False,caution,0.06558143,0.25000000,0.36055701,9,11,35,0,0.00000000,0.00000000
2022-04-08,0.00872328,0.00910608,0.00872328,0.00059061,424,momentum_equal_weight_elastic,False,caution,0.03988485,0.25000000,0.38393508,9,12,38,0,0.00000000,0.00000000
2022-04-22,-0.01271405,-0.01249181,-0.01271405,0.00034588,424,momentum_equal_weight_elastic,True,risk_off,-0.09519501,1.00000000,1.53652041,9,9,37,0,0.00000000,0.00000000
2022-05-06,0.00000000,0.00000000,0.00000000,0.00000000,424,momentum_equal_weight_elastic,True,risk_off,-0.09481661,1.00000000,1.53652041,6,6,35,0,0.00000000,0.00000000
2022-05-20,0.00000000,0.00000000,0.00000000,0.00000000,424,momentum_equal_weight_elastic,True,risk_off,-0.03791682,1.00000000,1.53652041,8,8,32,0,0.00000000,0.00000000
2022-06-02,0.00000000,0.00000000,0.00000000,0.00000000,423,momentum_equal_weight_elastic,True,risk_off,-0.10019766,1.00000000,1.53652041,9,13,42,0,0.00000000,0.00000000
2022-06-17,0.00000000,0.00000000,0.00000000,0.00000000,424,momentum_equal_weight_elastic,True,risk_off,-0.15754478,1.00000000,1.53652041,9,10,35,0,0.00000000,0.00000000
2022-06-30,0.00000000,0.00000000,0.00000000,0.00000000,425,momentum_equal_weight_elastic,True,risk_off,-0.11954582,1.00000000,1.53652041,9,9,29,0,0.00000000,0.00000000
2022-07-15,-0.03422163,-0.03399668,-0.03422163,0.00034564,429,momentum_equal_weight_elastic,False,caution,-0.10326260,0.25000000,0.38404369,9,12,36,0,0.00000000,0.00000000
2022-07-29,0.02042892,0.02065747,0.02042892,0.00033916,432,momentum_equal_weight_elastic,True,risk_off,-0.09584719,1.00000000,1.51425343,9,9,37,0,0.00000000,0.00000000
2022-08-12,-0.02519476,-0.02496981,-0.02519476,0.00034063,432,momentum_equal_weight_elastic,False,caution,0.02233928,0.25000000,0.37847820,5,5,34,0,0.00000000,0.00000000
2022-08-26,-0.02482797,-0.02461228,-0.02482797,0.00031839,433,momentum_equal_weight_elastic,True,risk_off,-0.06211794,1.00000000,1.43945355,9,8,38,0,0.00000000,0.00000000
2022-09-09,0.07422939,0.07445434,0.07422939,0.00032380,434,momentum_equal_weight_elastic,False,caution,-0.05153993,0.25000000,0.35978244,9,9,36,0,0.00000000,0.00000000
2022-09-23,-0.00311400,-0.00288466,-0.00311400,0.00035462,434,momentum_equal_weight_elastic,True,risk_off,-0.10735791,1.00000000,1.54148812,9,10,36,0,0.00000000,0.00000000
2022-10-07,0.00000000,0.00000000,0.00000000,0.00000000,434,momentum_equal_weight_elastic,True,risk_off,-0.04865828,1.00000000,1.54148812,9,14,35,0,0.00000000,0.00000000
2022-10-21,0.00000000,0.00000000,0.00000000,0.00000000,435,momentum_equal_weight_elastic,True,risk_off,-0.05821902,1.00000000,1.54148812,9,14,39,0,0.00000000,0.00000000
2022-11-04,0.00000000,0.00000000,0.00000000,0.00000000,435,momentum_equal_weight_elastic,True,risk_off,-0.15449029,1.00000000,1.54148812,9,12,40,0,0.00000000,0.00000000
2022-11-18,0.00000000,0.00000000,0.00000000,0.00000000,436,momentum_equal_weight_elastic,True,risk_off,-0.13746698,1.00000000,1.54148812,9,12,30,0,0.00000000,0.00000000
2022-12-02,-0.00359478,-0.00336983,-0.00359478,0.00034676,436,momentum_equal_weight_elastic,False,caution,-0.19310806,0.25000000,0.38528534,9,12,34,0,0.00000000,0.00000000
2022-12-16,0.03062346,0.03092900,0.03062346,0.00046930,437,momentum_equal_weight_elastic,False,caution,-0.16448299,0.25000000,0.37862018,9,11,35,0,0.00000000,0.00000000
2022-12-30,-0.00422125,-0.00405150,-0.00422125,0.00026871,441,momentum_equal_weight_elastic,False,caution,-0.05930011,0.25000000,0.38546545,9,9,36,0,0.00000000,0.00000000
2023-01-13,0.10228784,0.10256392,0.10228784,0.00043517,443,momentum_equal_weight_elastic,False,caution,-0.03150574,0.25000000,0.41662349,9,11,33,0,0.00000000,0.00000000
2023-01-27,-0.01400960,-0.01370684,-0.01400960,0.00052605,443,momentum_equal_weight_elastic,False,risk_on,0.01276661,0.00000000,0.00000000,9,12,36,0,0.00000000,0.00000000
2023-02-10,-0.10471214,-0.10428948,-0.10471214,0.00072410,444,momentum_equal_weight_elastic,False,risk_on,0.07716415,0.00000000,-0.01393162,9,11,32,0,0.00000000,0.00000000
2023-02-24,-0.03049237,-0.03026255,-0.03049237,0.00035249,444,momentum_equal_weight_elastic,False,risk_on,0.10329230,0.00000000,-0.00141027,9,5,29,0,0.00000000,0.00000000
2023-03-10,-0.04635018,-0.04613989,-0.04635018,0.00031270,445,momentum_equal_weight_elastic,False,risk_on,0.19407151,0.00000000,0.00915661,8,4,25,0,0.00000000,0.00000000
2023-03-24,0.02459992,0.02490524,0.02459992,0.00043299,447,momentum_equal_weight_elastic,False,risk_on,0.25734656,0.00000000,-0.01106705,9,4,32,0,0.00000000,0.00000000
2023-04-06,0.00497694,0.00550283,0.00497694,0.00076412,447,momentum_equal_weight_elastic,False,risk_on,0.18548065,0.00000000,0.01347776,9,9,34,0,0.00000000,0.00000000
2023-04-21,-0.00118739,-0.00077335,-0.00118739,0.00060459,448,momentum_equal_weight_elastic,False,risk_on,0.09531327,0.00000000,0.00000000,9,13,40,0,0.00000000,0.00000000
2023-05-05,0.00813069,0.00852721,0.00813069,0.00057833,448,momentum_equal_weight_elastic,False,risk_on,0.17135922,0.00000000,0.00000000,9,11,37,0,0.00000000,0.00000000
2023-05-19,-0.05235393,-0.05189759,-0.05235393,0.00067097,448,momentum_equal_weight_elastic,False,risk_on,0.22146731,0.00000000,0.00000000,9,14,42,0,0.00000000,0.00000000
2023-06-02,-0.01326807,-0.01297930,-0.01326807,0.00040238,449,momentum_equal_weight_elastic,False,risk_on,0.18221586,0.00000000,0.00834813,9,8,37,0,0.00000000,0.00000000
2023-06-16,0.03606132,0.03632234,0.03606132,0.00035887,449,momentum_equal_weight_elastic,False,risk_on,0.15422629,0.00000000,-0.00849184,9,5,37,0,0.00000000,0.00000000
2023-06-30,0.00348740,0.00401617,0.00348740,0.00075321,449,momentum_equal_weight_elastic,False,risk_on,0.08509564,0.00000000,0.00000000,9,13,39,0,0.00000000,0.00000000
2023-07-14,0.03094649,0.03133076,0.03094649,0.00054929,449,momentum_equal_weight_elastic,False,caution,-0.00444392,0.25000000,0.36879177,9,10,36,0,0.00000000,0.00000000
