date,ts_code,name,weight
2020-01-17,00981.HK,中芯国际,0.18565379
2020-01-17,01833.HK,平安好医生,0.14887487
2020-01-17,00285.HK,比亚迪电子,0.14662555
2020-01-17,02883.HK,中海油田服务,0.13604990
2020-01-17,02269.HK,药明生物,0.11436703
2020-01-17,00968.HK,信义光能,0.09743098
2020-01-17,00548.HK,深圳高速公路股份,0.09727837
2020-01-17,02899.HK,紫金矿业,0.07371951
2020-01-31,00981.HK,中芯国际,0.15508714
2020-01-31,03888.HK,金山软件,0.15484352
2020-01-31,01833.HK,平安好医生,0.14649417
2020-01-31,00968.HK,信义光能,0.11844790
2020-01-31,02269.HK,药明生物,0.11707761
2020-01-31,06060.HK,众安在线,0.10891467
2020-01-31,01157.HK,中联重科,0.08564563
2020-01-31,02883.HK,中海油田服务,0.07009476
2020-01-31,00285.HK,比亚迪电子,0.04601603
2020-02-14,CASH,现金,0.22042476
2020-02-14,01772.HK,赣锋锂业,0.14142909
2020-02-14,00968.HK,信义光能,0.11059029
2020-02-14,00981.HK,中芯国际,0.09993514
2020-02-14,02128.HK,中国联塑,0.09627739
2020-02-14,01833.HK,平安好医生,0.08219586
2020-02-14,03888.HK,金山软件,0.08158617
2020-02-14,02883.HK,中海油田服务,0.06499450
2020-02-14,06060.HK,众安在线,0.06038849
2020-02-14,00285.HK,比亚迪电子,0.04217831
2020-02-28,00968.HK,信义光能,0.12221868
2020-02-28,02128.HK,中国联塑,0.12001827
2020-02-28,01801.HK,信达生物,0.11715980
2020-02-28,01772.HK,赣锋锂业,0.11524859
2020-02-28,00322.HK,康师傅控股,0.11297625
2020-02-28,06098.HK,碧桂园服务,0.11189971
2020-02-28,00586.HK,海螺创业,0.11087969
2020-02-28,02269.HK,药明生物,0.10047058
2020-02-28,03993.HK,洛阳钼业,0.08912844
2020-03-13,CASH,现金,0.27296837
2020-03-13,00981.HK,中芯国际,0.09956620
2020-03-13,01772.HK,赣锋锂业,0.09736649
2020-03-13,00241.HK,阿里健康,0.09214308
2020-03-13,03888.HK,金山软件,0.08951361
