date,one_way_turnover,two_way_turnover,buy_amount,sell_amount,trading_cost,buy_cost,sell_commission,sell_stamp_duty,event_type
2020-12-14,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2020-12-21,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2020-12-28,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2021-01-04,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2021-01-11,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2021-01-18,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2021-01-25,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2021-02-01,0.23996544,0.47993089,0.47993089,0.00000000,0.00014398,0.00014398,0.00000000,0.00000000,rebalance
2021-02-08,0.74351375,1.48702750,1.01398328,0.49451069,0.00045255,0.00030419,0.00014835,0.00000000,rebalance
2021-02-16,0.43446994,0.86893987,0.47937248,0.47655027,0.00028678,0.00014381,0.00014297,0.00000000,rebalance
2021-02-22,0.46739035,0.93478071,0.21298546,0.75433489,0.00029020,0.00006390,0.00022630,0.00000000,rebalance
2021-03-01,0.46167413,0.92334826,0.46385604,0.42868425,0.00026776,0.00013916,0.00012861,0.00000000,rebalance
2021-03-08,0.59764276,1.19528552,0.68962461,0.45564483,0.00034358,0.00020689,0.00013669,0.00000000,rebalance
2021-03-15,0.48834840,0.97669681,0.48889110,0.50618875,0.00029852,0.00014667,0.00015186,0.00000000,rebalance
2021-03-22,0.35458545,0.70917091,0.24339914,0.47596887,0.00021581,0.00007302,0.00014279,0.00000000,rebalance
2021-03-29,0.24393164,0.48786329,0.00000000,0.49301085,0.00014790,0.00000000,0.00014790,0.00000000,rebalance
2021-04-07,0.49985004,0.99970009,1.01010030,0.00000000,0.00030303,0.00030303,0.00000000,0.00000000,rebalance
2021-04-12,0.81810036,1.63620072,0.81120361,0.81169048,0.00048687,0.00024336,0.00024351,0.00000000,rebalance
2021-04-19,0.42870449,0.85740899,0.43227834,0.44586356,0.00026344,0.00012968,0.00013376,0.00000000,rebalance
2021-04-26,0.54379122,1.08758245,0.57874995,0.55386361,0.00033978,0.00017362,0.00016616,0.00000000,rebalance
2021-05-03,0.57839689,1.15679378,0.60257873,0.60718079,0.00036293,0.00018077,0.00018215,0.00000000,rebalance
2021-05-10,0.69742500,1.39485001,0.72550751,0.73361045,0.00043774,0.00021765,0.00022008,0.00000000,rebalance
2021-05-17,0.60584667,1.21169335,0.58673462,0.59529614,0.00035461,0.00017602,0.00017859,0.00000000,rebalance
2021-05-24,0.48021478,0.96042957,0.46935665,0.46142898,0.00027924,0.00014081,0.00013843,0.00000000,rebalance
2021-05-31,0.38747189,0.77494378,0.40387283,0.40528331,0.00024275,0.00012116,0.00012158,0.00000000,rebalance
2021-06-07,0.53936759,1.07873517,0.57545724,0.56842919,0.00034317,0.00017264,0.00017053,0.00000000,rebalance
2021-06-15,0.35247293,0.70494587,0.38753347,0.39397140,0.00023445,0.00011626,0.00011819,0.00000000,rebalance
2021-06-21,0.86015502,1.72031003,0.94281963,0.94392817,0.00056602,0.00028285,0.00028318,0.00000000,rebalance
2021-06-28,0.73127992,1.46255983,0.84339781,0.85268354,0.00050882,0.00025302,0.00025581,0.00000000,rebalance
2021-07-05,0.58215110,1.16430219,0.71973360,0.71084336,0.00042917,0.00021592,0.00021325,0.00000000,rebalance
2021-07-12,0.34234387,0.68468775,0.41983698,0.40882347,0.00024860,0.00012595,0.00012265,0.00000000,rebalance
2021-07-19,0.74352612,1.48705225,0.88751595,0.89677003,0.00053529,0.00026625,0.00026903,0.00000000,rebalance
2021-07-26,0.67468935,1.34937870,0.74707308,0.75006554,0.00044914,0.00022412,0.00022502,0.00000000,rebalance
2021-08-02,0.48259608,0.96519217,0.55069345,0.55102396,0.00033052,0.00016521,0.00016531,0.00000000,rebalance
2021-08-09,0.66806126,1.33612253,0.76692868,0.76738898,0.00046030,0.00023008,0.00023022,0.00000000,rebalance
2021-08-16,0.61502904,1.23005809,0.71089458,0.72100137,0.00042957,0.00021327,0.00021630,0.00000000,rebalance
2021-08-23,0.53396025,1.06792050,0.64220130,0.63173717,0.00038218,0.00019266,0.00018952,0.00000000,rebalance
2021-08-30,0.80355866,1.60711732,0.97990036,0.98165791,0.00058847,0.00029397,0.00029450,0.00000000,rebalance
2021-09-06,0.64113788,1.28227576,0.79330841,0.79378454,0.00047613,0.00023799,0.00023814,0.00000000,rebalance
2021-09-13,0.77476126,1.54952252,0.97435238,0.97493717,0.00058479,0.00029231,0.00029248,0.00000000,rebalance
2021-09-20,0.64254565,1.28509130,0.75854422,0.75899948,0.00045526,0.00022756,0.00022770,0.00000000,rebalance
2021-09-27,0.60508610,1.21017219,0.69060422,0.68224290,0.00041185,0.00020718,0.00020467,0.00000000,rebalance
2021-10-04,0.33552293,0.67104585,0.36254116,0.37153456,0.00022022,0.00010876,0.00011146,0.00000000,rebalance
2021-10-11,0.31425340,0.62850681,0.30713740,0.32531213,0.00018973,0.00009214,0.00009759,0.00000000,rebalance
2021-10-18,0.27678449,0.55356898,0.28737402,0.27743124,0.00016944,0.00008621,0.00008323,0.00000000,rebalance
2021-10-25,0.34888727,0.69777455,0.37735817,0.36057310,0.00022138,0.00011321,0.00010817,0.00000000,rebalance
2021-11-01,0.52545780,1.05091560,0.53113373,0.54058893,0.00032152,0.00015934,0.00016218,0.00000000,rebalance
