date,portfolio_return,gross_return,net_return,trading_cost,eligible_count,candidate_family,market_risk_off,risk_stage,market_momentum,cash_weight_target,cash_after_trade,selected_count,buy_candidate_count,keep_candidate_count
2023-01-13,0.04242627,0.04272618,0.04242627,0.00029991,443,momentum_equal_weight_elastic,False,risk_on,0.05526806,0.00000000,0.00000000,8,11,32
2023-01-20,-0.01377821,-0.01352791,-0.01377821,0.00026092,443,momentum_equal_weight_elastic,False,risk_on,0.01276661,0.00000000,-0.00000000,8,12,32
2023-01-27,0.01535057,0.01562805,0.01535057,0.00028527,444,momentum_equal_weight_elastic,False,caution,-0.01705734,0.22000000,0.22922205,8,12,29
2023-02-03,-0.05207159,-0.05172948,-0.05207159,0.00035711,444,momentum_equal_weight_elastic,False,risk_on,0.07716415,0.00000000,0.00000000,8,11,28
2023-02-10,-0.06156151,-0.06139597,-0.06156151,0.00016380,444,momentum_equal_weight_elastic,False,risk_on,0.09411154,0.00000000,0.00519983,7,3,24
2023-02-17,-0.01636102,-0.01610209,-0.01636102,0.00024044,444,momentum_equal_weight_elastic,False,risk_on,0.10329230,0.00000000,0.00000000,7,5,24
2023-02-24,-0.03617071,-0.03599908,-0.03617071,0.00015676,444,momentum_equal_weight_elastic,False,risk_on,0.12461795,0.00000000,0.00000000,7,3,25
2023-03-03,0.04175448,0.04187934,0.04175448,0.00010991,445,momentum_equal_weight_elastic,False,risk_on,0.19407151,0.00000000,-0.01091161,6,4,20
2023-03-10,-0.06234939,-0.06190978,-0.06234939,0.00040317,445,momentum_equal_weight_elastic,False,risk_on,0.20613944,0.00000000,0.00236854,8,9,28
2023-03-17,0.03069968,0.03094996,0.03069968,0.00021522,447,momentum_equal_weight_elastic,False,risk_on,0.25734656,0.00000000,-0.00143566,8,4,28
2023-03-24,-0.01387513,-0.01352228,-0.01387513,0.00031274,447,momentum_equal_weight_elastic,False,risk_on,0.20733959,0.00000000,0.00518392,8,12,33
2023-03-31,-0.01598082,-0.01555388,-0.01598082,0.00037316,447,momentum_equal_weight_elastic,False,risk_on,0.18548065,0.00000000,0.01579304,8,9,30
2023-04-06,0.02122351,0.02178393,0.02122351,0.00048199,448,momentum_equal_weight_elastic,False,risk_on,0.16657148,0.00000000,0.00000000,8,9,26
2023-04-14,0.03426710,0.03471215,0.03426710,0.00039089,448,momentum_equal_weight_elastic,False,risk_on,0.09531327,0.00000000,-0.00520838,8,13,34
2023-04-21,-0.03364081,-0.03334903,-0.03364081,0.00026505,448,momentum_equal_weight_elastic,False,risk_on,0.12219484,0.00000000,0.00109774,8,12,34
2023-04-28,0.00693562,0.00732623,0.00693562,0.00034289,448,momentum_equal_weight_elastic,False,risk_on,0.17135922,0.00000000,0.00000000,8,11,32
2023-05-05,0.00615334,0.00660902,0.00615334,0.00040280,448,momentum_equal_weight_elastic,False,risk_on,0.16204860,0.00000000,0.00000000,8,11,28
