date,portfolio_return,nav,drawdown,trading_cost
2020-12-01,0.00000000,1.00000000,0.00000000,0.00000000
2020-12-31,0.00000000,1.00000000,0.00000000,0.00000000
2021-01-29,0.06195286,1.06195286,0.00000000,0.00029991
2021-02-26,0.05002707,1.11507926,0.00000000,0.00059805
2021-03-31,-0.03876839,1.07184943,-0.03876839,0.00041531
2021-04-30,-0.01584950,1.05486114,-0.05400344,0.00006935
2021-05-31,0.00114918,1.05607337,-0.05291632,0.00036073
2021-06-30,0.10962653,1.17184702,0.00000000,0.00054289
2021-07-30,-0.09915913,1.05564769,-0.09915913,0.00028782
2021-08-31,0.08696813,1.14745539,-0.02081469,0.00036556
2021-09-30,-0.06204354,1.07626319,-0.08156682,0.00039988
2021-10-29,-0.07185699,0.99892616,-0.14756266,0.00037999
2021-11-30,0.10481953,1.10363312,-0.05821058,0.00041953
2021-12-31,0.17704057,1.29902096,0.00000000,0.00015934
2022-01-31,-0.02123734,1.27143321,-0.02123734,0.00031662
2022-02-28,0.04102616,1.32359523,0.00000000,0.00024043
2022-03-31,-0.06204690,1.24147025,-0.06204690,0.00039431
2022-04-29,-0.00507572,1.23516890,-0.06680768,0.00052315
2022-05-31,0.05648373,1.30493585,-0.01409749,0.00044184
2022-06-30,-0.02630169,1.27061384,-0.04002839,0.00040593
2022-07-29,-0.02648447,1.23696231,-0.06545273,0.00054725
2022-08-31,0.01657596,1.25746615,-0.04996171,0.00034510
2022-09-30,-0.02054083,1.23163675,-0.06947628,0.00037940
2022-10-31,-0.04074071,1.18145900,-0.10738648,0.00020994
2022-11-30,0.09374278,1.29221225,-0.02371040,0.00018283
2022-12-30,0.02096884,1.31930845,-0.00323874,0.00045767
2023-01-31,0.04460559,1.37815698,0.00000000,0.00056814
2023-02-28,-0.12205544,1.20994542,-0.12205544,0.00052670
2023-03-31,-0.02829177,1.17571393,-0.14689405,0.00024817
2023-04-28,-0.01180516,1.16183443,-0.15696510,0.00063527
2023-05-31,-0.09191790,1.05504105,-0.23445510,0.00053537
2023-06-30,0.05347475,1.11145911,-0.19351778,0.00020251
2023-07-31,0.02681199,1.14125953,-0.17189439,0.00044661
2023-08-31,-0.04412076,1.09090630,-0.20843103,0.00050505
2023-09-29,-0.01431638,1.07528847,-0.21976344,0.00000000
2023-10-31,-0.03488015,1.03778224,-0.24697821,0.00046789
2023-11-30,-0.06183219,0.97361390,-0.29353919,0.00032690
2023-12-29,0.00657103,0.98001154,-0.28889702,0.00041103
2024-01-31,-0.11061677,0.87160584,-0.36755693,0.00030300
2024-02-29,0.05075454,0.91584379,-0.33545757,0.00019258
2024-03-28,-0.00155229,0.91442214,-0.33648913,0.00031686
2024-04-30,0.04672750,0.95715080,-0.30548493,0.00023191
2024-05-31,0.05269569,1.00758852,-0.26888698,0.00047193
2024-06-28,-0.01798526,0.98946678,-0.28203623,0.00026950
2024-07-31,0.04241336,1.03143339,-0.25158498,0.00047608
2024-08-30,-0.01270980,1.01832408,-0.26109718,0.00024925
2024-09-30,0.11768830,1.13816891,-0.17413697,0.00051761
2024-10-31,0.03864180,1.18214980,-0.14222413,0.00053195
2024-11-29,-0.03676335,1.13869002,-0.17375884,0.00042493
2024-12-31,-0.01900549,1.11704867,-0.18946196,0.00042392
2025-01-28,-0.00709663,1.10912138,-0.19521405,0.00036280
2025-02-28,0.13855406,1.26279466,-0.08370768,0.00052358
2025-03-31,-0.03812816,1.21464662,-0.11864422,0.00039838
2025-04-30,0.03197055,1.25347953,-0.09046680,0.00028064
2025-05-30,0.02193135,1.28097003,-0.07051951,0.00046016
2025-06-30,0.11669449,1.43045218,0.00000000,0.00056236
2025-07-31,0.13943018,1.62990039,0.00000000,0.00063735
2025-08-29,0.14477383,1.86586731,0.00000000,0.00042815
2025-09-30,0.05287931,1.96453309,0.00000000,0.00088169
2025-10-31,-0.07034854,1.82633106,-0.07034854,0.00073898
2025-11-28,-0.01473293,1.79942385,-0.08404503,0.00032729
2025-12-31,0.10624826,1.99060951,0.00000000,0.00041824
2026-01-30,0.14245902,2.27418980,0.00000000,0.00041771
2026-02-27,0.10574754,2.51467978,0.00000000,0.00084605
2026-03-31,-0.05636940,2.37292878,-0.05636940,0.00121196
2026-04-30,0.03212386,2.44915642,-0.02605634,0.00079559
