date,portfolio_return,gross_return,net_return,trading_cost,eligible_count,candidate_family,market_risk_off,risk_stage,market_momentum,cash_weight_target,cash_after_trade,selected_count,buy_candidate_count,keep_candidate_count,weekly_overlay_trade_count,weekly_overlay_trading_cost,weekly_overlay_avg_one_way_turnover
2020-02-28,0.18515605,0.18542597,0.18515605,0.00026993,379,momentum_equal_weight_elastic,False,caution,0.15911120,0.10000000,0.09997301,6,6,35,0,0.00000000,0.00000000
2020-03-31,-0.12042519,-0.12024860,-0.12042519,0.00020929,380,momentum_equal_weight_elastic,False,risk_on,0.00529256,0.00000000,-0.00473514,10,11,35,0,0.00000000,0.00000000
2020-04-29,0.11083049,0.11111103,0.11083049,0.00029244,383,momentum_equal_weight_elastic,True,risk_off,-0.00176644,0.30000000,0.30911070,10,6,31,0,0.00000000,0.00000000
2020-05-29,-0.02402920,-0.02370089,-0.02402920,0.00038017,384,momentum_equal_weight_elastic,True,risk_off,-0.11711971,0.30000000,0.34677204,10,20,37,0,0.00000000,0.00000000
2020-06-30,0.11027345,0.11070791,0.11027345,0.00049100,385,momentum_equal_weight_elastic,False,caution,0.03288048,0.10000000,0.12663059,10,16,42,0,0.00000000,0.00000000
2020-07-31,0.12110887,0.12137979,0.12110887,0.00033994,390,momentum_equal_weight_elastic,False,caution,-0.04432075,0.10000000,0.13883648,10,16,39,0,0.00000000,0.00000000
2020-08-31,-0.05783240,-0.05752584,-0.05783240,0.00043124,390,momentum_equal_weight_elastic,False,risk_on,0.05028755,0.00000000,0.00000000,10,13,42,0,0.00000000,0.00000000
2020-09-30,-0.00804887,-0.00762435,-0.00804887,0.00056265,390,momentum_equal_weight_elastic,False,risk_on,0.22292608,0.00000000,0.00000000,10,10,30,0,0.00000000,0.00000000
2020-10-30,0.08432665,0.08471322,0.08432665,0.00050823,390,momentum_equal_weight_elastic,False,risk_on,0.24498347,0.00000000,0.00000000,10,9,30,0,0.00000000,0.00000000
2020-11-30,0.14867679,0.14883701,0.14867679,0.00022840,394,momentum_equal_weight_elastic,False,risk_on,0.15888487,0.00000000,-0.03835356,10,11,30,0,0.00000000,0.00000000
2020-12-31,0.14132277,0.14181855,0.14132277,0.00081185,398,momentum_equal_weight_elastic,False,risk_on,0.18257764,0.00000000,0.00000000,10,14,31,0,0.00000000,0.00000000
2021-01-29,-0.01099850,-0.01064348,-0.01099850,0.00066352,402,momentum_equal_weight_elastic,False,risk_on,0.23783324,0.00000000,0.01200872,10,18,42,0,0.00000000,0.00000000
2021-02-26,0.02027736,0.02065988,0.02027736,0.00070706,401,momentum_equal_weight_elastic,False,risk_on,0.40483685,0.00000000,-0.01710124,10,9,37,0,0.00000000,0.00000000
2021-03-31,-0.09106043,-0.09081599,-0.09106043,0.00046097,402,momentum_equal_weight_elastic,False,risk_on,0.44338539,0.00000000,-0.00000000,10,7,25,0,0.00000000,0.00000000
2021-04-30,0.09031079,0.09061418,0.09031079,0.00052004,402,momentum_equal_weight_elastic,False,risk_on,0.74245970,0.00000000,-0.00000000,10,5,24,0,0.00000000,0.00000000
2021-05-31,0.00660654,0.00691428,0.00660654,0.00057515,401,momentum_equal_weight_elastic,False,risk_on,0.61508294,0.00000000,-0.00547339,10,11,30,0,0.00000000,0.00000000
2021-06-30,0.11832802,0.11887009,0.11832802,0.00101979,401,momentum_equal_weight_elastic,False,risk_on,0.72208644,0.00000000,0.00000000,10,14,31,0,0.00000000,0.00000000
2021-07-30,-0.10359202,-0.10333635,-0.10359202,0.00053790,402,momentum_equal_weight_elastic,False,risk_on,0.64687963,0.00000000,0.00975958,10,11,33,0,0.00000000,0.00000000
2021-08-31,0.08920083,0.08956742,0.08920083,0.00069138,403,momentum_equal_weight_elastic,False,risk_on,0.51272869,0.00000000,0.00845211,10,8,31,0,0.00000000,0.00000000
2021-09-30,-0.06546119,-0.06510004,-0.06546119,0.00074187,405,momentum_equal_weight_elastic,False,risk_on,0.36834078,0.00000000,0.00400033,10,16,37,0,0.00000000,0.00000000
2021-10-29,-0.07535642,-0.07498603,-0.07535642,0.00071103,410,momentum_equal_weight_elastic,False,risk_on,0.47681871,0.00000000,0.00000000,10,10,35,0,0.00000000,0.00000000
2021-11-30,0.06716561,0.06755782,0.06716561,0.00069618,413,momentum_equal_weight_elastic,False,risk_on,0.42840722,0.00000000,0.00095454,10,5,34,0,0.00000000,0.00000000
2021-12-31,0.17448169,0.17462757,0.17448169,0.00027633,413,momentum_equal_weight_elastic,False,caution,0.26549297,0.10000000,0.20188361,8,6,27,0,0.00000000,0.00000000
2022-01-31,-0.02199840,-0.02175890,-0.02199840,0.00053285,420,momentum_equal_weight_elastic,False,caution,0.17773849,0.10000000,0.20331567,9,7,23,0,0.00000000,0.00000000
2022-02-28,0.04103353,0.04122291,0.04103353,0.00041205,422,momentum_equal_weight_elastic,False,caution,0.12946915,0.10000000,0.22237031,9,3,32,0,0.00000000,0.00000000
2022-03-31,-0.06204690,-0.06174898,-0.06204690,0.00067481,424,momentum_equal_weight_elastic,False,caution,0.01400553,0.10000000,0.22680288,10,11,31,0,0.00000000,0.00000000
2022-04-29,-0.00507572,-0.00465432,-0.00507572,0.00089529,425,momentum_equal_weight_elastic,False,caution,0.02228173,0.10000000,0.20959763,10,9,43,0,0.00000000,0.00000000
2022-05-31,0.05648373,0.05684145,0.05648373,0.00075614,423,momentum_equal_weight_elastic,True,risk_off,-0.05217091,0.30000000,0.62688674,10,9,34,0,0.00000000,0.00000000
2022-06-30,-0.02630169,-0.02599062,-0.02630169,0.00069468,424,momentum_equal_weight_elastic,True,risk_off,-0.11919756,0.30000000,0.68810483,10,15,38,0,0.00000000,0.00000000
2022-07-29,-0.02648447,-0.02605377,-0.02648447,0.00093653,429,momentum_equal_weight_elastic,False,caution,-0.11155543,0.10000000,0.20969149,10,13,40,0,0.00000000,0.00000000
2022-08-31,0.01657596,0.01685495,0.01657596,0.00059058,432,momentum_equal_weight_elastic,False,caution,0.02233928,0.10000000,0.20836727,10,5,37,0,0.00000000,0.00000000
2022-09-30,-0.02054083,-0.02023911,-0.02054083,0.00064928,434,momentum_equal_weight_elastic,True,risk_off,-0.07366873,0.30000000,0.65496825,10,10,32,0,0.00000000,0.00000000
2022-10-31,-0.04074071,-0.04057025,-0.04074071,0.00035928,433,momentum_equal_weight_elastic,True,risk_off,-0.06180289,0.30000000,0.63821181,10,5,37,0,0.00000000,0.00000000
2022-11-30,0.09374278,0.09389753,0.09374278,0.00031288,435,momentum_equal_weight_elastic,True,risk_off,-0.17507025,0.30000000,0.61575934,10,5,44,0,0.00000000,0.00000000
2022-12-30,0.02096884,0.02132302,0.02096884,0.00078323,435,momentum_equal_weight_elastic,False,caution,-0.23817574,0.10000000,0.22012795,10,15,42,0,0.00000000,0.00000000
2023-01-31,0.04460559,0.04503623,0.04460559,0.00097229,443,momentum_equal_weight_elastic,False,caution,-0.03034424,0.10000000,0.22581822,10,13,36,0,0.00000000,0.00000000
2023-02-28,-0.12205544,-0.12167326,-0.12205544,0.00090137,444,momentum_equal_weight_elastic,False,risk_on,0.06515927,0.00000000,-0.00569521,10,12,36,0,0.00000000,0.00000000
2023-03-31,-0.02829177,-0.02808666,-0.02829177,0.00042471,445,momentum_equal_weight_elastic,False,risk_on,0.15647283,0.00000000,0.00000000,10,2,30,0,0.00000000,0.00000000
2023-04-28,-0.01180516,-0.01126484,-0.01180516,0.00108717,448,momentum_equal_weight_elastic,False,risk_on,0.12267986,0.00000000,0.00000000,10,11,32,0,0.00000000,0.00000000
2023-05-31,-0.09191790,-0.09145710,-0.09191790,0.00091621,448,momentum_equal_weight_elastic,False,risk_on,0.16204860,0.00000000,-0.00884736,10,12,33,0,0.00000000,0.00000000
2023-06-30,0.05347475,0.05366670,0.05347475,0.00034656,449,momentum_equal_weight_elastic,False,caution,0.14370153,0.10000000,0.16976851,10,3,43,0,0.00000000,0.00000000
2023-07-31,0.02681199,0.02721381,0.02681199,0.00076431,449,momentum_equal_weight_elastic,False,caution,-0.03581717,0.10000000,0.19219887,10,12,41,0,0.00000000,0.00000000
2023-08-31,-0.04412076,-0.04367822,-0.04412076,0.00086431,452,momentum_equal_weight_elastic,False,risk_on,0.07869138,0.00000000,-0.01282838,10,15,45,0,0.00000000,0.00000000
2023-09-29,-0.01431638,-0.01431638,-0.01431638,0.00000000,453,momentum_equal_weight_elastic,False,caution,0.17516078,0.10000000,-0.01282838,10,6,37,0,0.00000000,0.00000000
2023-10-31,-0.03488015,-0.03444503,-0.03488015,0.00080071,456,momentum_equal_weight_elastic,False,caution,0.24321655,0.10000000,0.17996121,10,7,30,0,0.00000000,0.00000000
2023-11-30,-0.06183219,-0.06151719,-0.06183219,0.00055943,457,momentum_equal_weight_elastic,False,caution,0.36976567,0.10000000,0.17756916,10,7,31,0,0.00000000,0.00000000
2023-12-29,0.00657103,0.00699320,0.00657103,0.00070341,459,momentum_equal_weight_elastic,False,caution,0.03255460,0.10000000,0.16556085,10,13,38,0,0.00000000,0.00000000
2024-01-31,-0.11061677,-0.11030758,-0.11061677,0.00051854,462,momentum_equal_weight_elastic,False,caution,-0.00353167,0.10000000,0.18043308,10,8,32,0,0.00000000,0.00000000
2024-02-29,0.05075454,0.05097549,0.05075454,0.00032957,466,momentum_equal_weight_elastic,True,risk_off,-0.06982058,0.30000000,0.43741271,10,4,40,0,0.00000000,0.00000000
2024-03-28,-0.00157137,-0.00122539,-0.00157137,0.00054226,466,momentum_equal_weight_elastic,True,risk_off,-0.12445615,0.30000000,0.48456934,10,12,42,0,0.00000000,0.00000000
2024-04-30,0.04685900,0.04711312,0.04685900,0.00039766,468,momentum_equal_weight_elastic,False,caution,-0.04754363,0.10000000,0.16688252,10,6,42,0,0.00000000,0.00000000
2024-05-31,0.05271127,0.05320482,0.05271127,0.00080852,469,momentum_equal_weight_elastic,False,caution,-0.04367122,0.10000000,0.16657178,10,11,42,0,0.00000000,0.00000000
2024-06-28,-0.01798549,-0.01771802,-0.01798549,0.00046126,469,momentum_equal_weight_elastic,False,risk_on,0.11117712,0.00000000,-0.01473676,10,13,36,0,0.00000000,0.00000000
2024-07-31,0.04241337,0.04289452,0.04241337,0.00081484,469,momentum_equal_weight_elastic,False,risk_on,0.10725640,0.00000000,0.00142754,10,11,42,0,0.00000000,0.00000000
2024-08-30,-0.01270980,-0.01246816,-0.01270980,0.00042660,471,momentum_equal_weight_elastic,False,risk_on,0.00928023,0.00000000,0.00000000,10,7,35,0,0.00000000,0.00000000
2024-09-30,0.11768830,0.11819660,0.11768830,0.00088592,471,momentum_equal_weight_elastic,False,risk_on,0.07155690,0.00000000,0.00000000,10,10,43,0,0.00000000,0.00000000
2024-10-31,0.03864180,0.03910918,0.03864180,0.00091047,474,momentum_equal_weight_elastic,False,risk_on,0.07535769,0.00000000,0.00000000,10,12,31,0,0.00000000,0.00000000
2024-11-29,-0.03676335,-0.03640389,-0.03676335,0.00072729,476,momentum_equal_weight_elastic,False,risk_on,0.36310303,0.00000000,0.01162215,10,14,40,0,0.00000000,0.00000000
2024-12-31,-0.01900549,-0.01863320,-0.01900549,0.00072556,479,momentum_equal_weight_elastic,False,risk_on,0.30424560,0.00000000,0.01192005,10,8,39,0,0.00000000,0.00000000
2025-01-28,-0.00709663,-0.00677185,-0.00709663,0.00062096,482,momentum_equal_weight_elastic,False,risk_on,0.27470827,0.00000000,0.00483710,10,7,35,0,0.00000000,0.00000000
2025-02-28,0.13855406,0.13902613,0.13855406,0.00089613,484,momentum_equal_weight_elastic,False,risk_on,0.49767451,0.00000000,0.00000000,10,11,29,0,0.00000000,0.00000000
2025-03-31,-0.03812816,-0.03781269,-0.03812816,0.00068185,484,momentum_equal_weight_elastic,False,risk_on,0.35401516,0.00000000,0.02011929,10,11,34,0,0.00000000,0.00000000
2025-04-30,0.03197055,0.03220159,0.03197055,0.00048033,484,momentum_equal_weight_elastic,False,risk_on,0.48161478,0.00000000,-0.01316814,10,6,30,0,0.00000000,0.00000000
2025-05-30,0.02193135,0.02229846,0.02193135,0.00078759,485,momentum_equal_weight_elastic,False,risk_on,0.45470692,0.00000000,-0.01617459,10,12,34,0,0.00000000,0.00000000
2025-06-30,0.11669449,0.11713351,0.11669449,0.00096251,487,momentum_equal_weight_elastic,False,risk_on,0.36815634,0.00000000,-0.00400177,10,14,34,0,0.00000000,0.00000000
2025-07-31,0.13886281,0.13930837,0.13886281,0.00109085,489,momentum_equal_weight_elastic,False,risk_on,0.52572583,0.00000000,0.00000000,10,15,39,0,0.00000000,0.00000000
2025-08-29,0.14481987,0.14508476,0.14481987,0.00073857,490,momentum_equal_weight_elastic,False,risk_on,0.69319599,0.00000000,-0.01895124,10,15,38,0,0.00000000,0.00000000
2025-09-30,0.05323798,0.05370880,0.05323798,0.00150288,492,momentum_equal_weight_elastic,False,risk_on,0.85408993,0.00000000,0.00000000,10,13,37,0,0.00000000,0.00000000
2025-10-31,-0.07110410,-0.07072794,-0.07110410,0.00126466,493,momentum_equal_weight_elastic,False,risk_on,0.59836025,0.00000000,0.00000000,10,22,52,0,0.00000000,0.00000000
2025-11-28,-0.01466013,-0.01448015,-0.01466013,0.00056206,496,momentum_equal_weight_elastic,False,risk_on,0.72001827,0.00000000,-0.02704236,10,7,43,0,0.00000000,0.00000000
2025-12-31,0.10679462,0.10702377,0.10679462,0.00070512,499,momentum_equal_weight_elastic,False,risk_on,0.74292762,0.00000000,-0.05487971,10,6,46,0,0.00000000,0.00000000
2026-01-30,0.14223105,0.14243730,0.14223105,0.00070245,508,momentum_equal_weight_elastic,False,risk_on,0.67463473,0.00000000,0.00832434,10,15,46,0,0.00000000,0.00000000
2026-02-27,0.10722908,0.10760238,0.10722908,0.00145222,510,momentum_equal_weight_elastic,False,risk_on,0.65583202,0.00000000,0.00000000,10,20,49,0,0.00000000,0.00000000
2026-03-31,-0.05629842,-0.05581657,-0.05629842,0.00207550,511,momentum_equal_weight_elastic,False,risk_on,0.62534374,0.00000000,-0.02684562,10,27,56,0,0.00000000,0.00000000
2026-04-30,0.03214281,0.03247829,0.03214281,0.00136368,514,momentum_equal_weight_elastic,False,risk_on,1.20403335,0.00000000,0.00000000,10,8,55,0,0.00000000,0.00000000
