date,ts_code,name,weight
2020-01-31,02883.HK,中海油田服务,0.13347813
2020-01-31,01313.HK,华润建材科技,0.12937349
2020-01-31,02018.HK,瑞声科技,0.12468334
2020-01-31,02338.HK,潍柴动力,0.10377193
2020-01-31,00981.HK,中芯国际,0.10054374
2020-01-31,00868.HK,信义玻璃,0.10027363
2020-01-31,00586.HK,海螺创业,0.09172738
2020-01-31,00881.HK,中升控股,0.07698899
2020-01-31,01157.HK,中联重科,0.07661216
2020-01-31,03323.HK,中国建材,0.06254720
2020-02-28,01772.HK,赣锋锂业,0.13021766
2020-02-28,00241.HK,阿里健康,0.12471527
2020-02-28,02128.HK,中国联塑,0.10022702
2020-02-28,00981.HK,中芯国际,0.09570287
2020-02-28,CASH,现金,0.09313333
2020-02-28,03888.HK,金山软件,0.08608665
2020-02-28,01833.HK,平安好医生,0.08263395
2020-02-28,00868.HK,信义玻璃,0.07883504
2020-02-28,02338.HK,潍柴动力,0.07508142
2020-02-28,02883.HK,中海油田服务,0.07163412
2020-02-28,02018.HK,瑞声科技,0.06173268
2020-03-31,03888.HK,金山软件,0.13064977
2020-03-31,00241.HK,阿里健康,0.12362091
2020-03-31,01772.HK,赣锋锂业,0.12220553
2020-03-31,00981.HK,中芯国际,0.11720732
2020-03-31,00772.HK,阅文集团,0.10176208
2020-03-31,00268.HK,金蝶国际,0.08968205
2020-03-31,01833.HK,平安好医生,0.08964886
2020-03-31,01810.HK,小米集团-W,0.08884246
2020-03-31,02128.HK,中国联塑,0.07659884
2020-03-31,00763.HK,中兴通讯,0.06197209
2020-04-29,CASH,现金,0.26694263
2020-04-29,06808.HK,高鑫零售,0.11322220
2020-04-29,00853.HK,微创医疗,0.08129674
2020-04-29,03888.HK,金山软件,0.07965303
2020-04-29,01833.HK,平安好医生,0.07221681
2020-04-29,00241.HK,阿里健康,0.07139901
2020-04-29,00268.HK,金蝶国际,0.06950855
2020-04-29,01513.HK,丽珠医药,0.06894438
2020-04-29,06098.HK,碧桂园服务,0.06867267
2020-04-29,01772.HK,赣锋锂业,0.05804434
2020-04-29,00772.HK,阅文集团,0.05009965
2020-05-29,CASH,现金,0.30683941
2020-05-29,06185.HK,康希诺生物,0.08181927
2020-05-29,06808.HK,高鑫零售,0.07818576
2020-05-29,01044.HK,恒安国际,0.07390659
2020-05-29,06098.HK,碧桂园服务,0.07096409
2020-05-29,03323.HK,中国建材,0.06919750
2020-05-29,00914.HK,海螺水泥,0.06703642
2020-05-29,00586.HK,海螺创业,0.06612327
2020-05-29,02269.HK,药明生物,0.06469529
2020-05-29,01797.HK,东方甄选,0.06226519
2020-05-29,01211.HK,比亚迪股份,0.05896722
2020-06-30,00853.HK,微创医疗,0.12838246
2020-06-30,00268.HK,金蝶国际,0.10238768
2020-06-30,CASH,现金,0.10091965
2020-06-30,03808.HK,中国重汽,0.09530896
2020-06-30,01066.HK,威高股份,0.09131699
2020-06-30,00168.HK,青岛啤酒股份,0.08897468
2020-06-30,01789.HK,爱康医疗,0.08830893
2020-06-30,06185.HK,康希诺生物,0.08685293
2020-06-30,00780.HK,同程旅行,0.07726207
2020-06-30,02669.HK,中海物业,0.07566212
2020-06-30,02688.HK,新奥能源,0.06462353
2020-07-31,00268.HK,金蝶国际,0.12378761
2020-07-31,00853.HK,微创医疗,0.11652372
2020-07-31,01579.HK,颐海国际,0.10529044
2020-07-31,CASH,现金,0.09869449
2020-07-31,06185.HK,康希诺生物,0.09834129
2020-07-31,00168.HK,青岛啤酒股份,0.09524181
2020-07-31,01513.HK,丽珠医药,0.07918162
2020-07-31,00388.HK,香港交易所,0.07868993
2020-07-31,01066.HK,威高股份,0.07680328
2020-07-31,02013.HK,微盟集团,0.07384504
2020-07-31,06808.HK,高鑫零售,0.05360076
2020-08-31,01093.HK,石药集团,0.13230312
2020-08-31,02013.HK,微盟集团,0.12592808
2020-08-31,02269.HK,药明生物,0.11413743
2020-08-31,00291.HK,华润啤酒,0.10321622
2020-08-31,00853.HK,微创医疗,0.10222931
2020-08-31,00268.HK,金蝶国际,0.09007344
2020-08-31,01833.HK,平安好医生,0.08732966
2020-08-31,01066.HK,威高股份,0.08481766
2020-08-31,06185.HK,康希诺生物,0.08170881
2020-08-31,01347.HK,华虹半导体,0.07825626
2020-09-30,00968.HK,信义光能,0.14233534
2020-09-30,02333.HK,长城汽车,0.13653272
2020-09-30,01929.HK,周大福,0.11359788
2020-09-30,00285.HK,比亚迪电子,0.11071607
2020-09-30,01999.HK,敏华控股,0.10058976
2020-09-30,01093.HK,石药集团,0.09296536
2020-09-30,00388.HK,香港交易所,0.08883604
2020-09-30,02013.HK,微盟集团,0.08769687
2020-09-30,02269.HK,药明生物,0.07584540
2020-09-30,06060.HK,众安在线,0.05088455
2020-10-30,00968.HK,信义光能,0.13395418
2020-10-30,01211.HK,比亚迪股份,0.12618503
2020-10-30,00868.HK,信义玻璃,0.11487324
2020-10-30,03606.HK,福耀玻璃,0.11256500
2020-10-30,06865.HK,福莱特玻璃,0.10841525
2020-10-30,03900.HK,绿城中国,0.09897267
2020-10-30,02333.HK,长城汽车,0.09156855
2020-10-30,00425.HK,敏实集团,0.08046989
2020-10-30,00285.HK,比亚迪电子,0.06896973
2020-10-30,01999.HK,敏华控股,0.06402647
2020-11-30,01919.HK,中远海控,0.17812291
2020-11-30,03606.HK,福耀玻璃,0.13009249
2020-11-30,00868.HK,信义玻璃,0.12948337
2020-11-30,02333.HK,长城汽车,0.09987882
2020-11-30,00968.HK,信义光能,0.09377217
2020-11-30,06865.HK,福莱特玻璃,0.08869304
2020-11-30,01211.HK,比亚迪股份,0.08845473
2020-11-30,00754.HK,合生创展集团,0.08552684
2020-11-30,01999.HK,敏华控股,0.07535300
2020-11-30,03900.HK,绿城中国,0.05273423
2020-12-31,02333.HK,长城汽车,0.13000637
2020-12-31,01347.HK,华虹半导体,0.12042345
2020-12-31,01919.HK,中远海控,0.11882058
2020-12-31,01585.HK,雅迪控股,0.10566263
2020-12-31,02208.HK,金风科技,0.09346592
2020-12-31,01929.HK,周大福,0.09213014
2020-12-31,01378.HK,中国宏桥,0.08870715
2020-12-31,00425.HK,敏实集团,0.08786354
2020-12-31,00358.HK,江西铜业股份,0.08321602
2020-12-31,03360.HK,远东宏信,0.07970419
2025-01-28,02333.HK,长城汽车,0.10859085
2025-01-28,00175.HK,吉利汽车,0.10792010
2025-01-28,01919.HK,中远海控,0.10715338
2025-01-28,02269.HK,药明生物,0.10591946
2025-01-28,02899.HK,紫金矿业,0.10127026
2025-01-28,00968.HK,信义光能,0.09788175
2025-01-28,02208.HK,金风科技,0.09479887
2025-01-28,03606.HK,福耀玻璃,0.09342689
2025-01-28,01585.HK,雅迪控股,0.09325192
2025-01-28,03998.HK,波司登,0.08978653
2025-02-28,01810.HK,小米集团-W,0.16296899
2025-02-28,03800.HK,协鑫科技,0.13117175
2025-02-28,01919.HK,中远海控,0.10057924
2025-02-28,00316.HK,东方海外国际,0.09789455
2025-02-28,01308.HK,海丰国际,0.09077826
2025-02-28,01910.HK,新秀丽,0.08948247
2025-02-28,01585.HK,雅迪控股,0.08870203
2025-02-28,02899.HK,紫金矿业,0.08259249
2025-02-28,01378.HK,中国宏桥,0.08202491
2025-02-28,02333.HK,长城汽车,0.07842852
2025-03-31,00135.HK,昆仑能源,0.15051616
2025-03-31,01308.HK,海丰国际,0.14781082
2025-03-31,00005.HK,汇丰控股,0.13159563
2025-03-31,01357.HK,美图公司,0.12777540
2025-03-31,03988.HK,中国银行,0.12308616
2025-03-31,00316.HK,东方海外国际,0.10250470
2025-03-31,01919.HK,中远海控,0.07641015
2025-03-31,01378.HK,中国宏桥,0.06940671
2025-03-31,03800.HK,协鑫科技,0.06751676
2025-03-31,CASH,现金,0.00337751
2025-04-30,00857.HK,中国石油股份,0.18984790
2025-04-30,01378.HK,中国宏桥,0.18257663
2025-04-30,01308.HK,海丰国际,0.17509621
2025-04-30,09926.HK,康方生物,0.13904434
2025-04-30,01357.HK,美图公司,0.13442988
2025-04-30,00316.HK,东方海外国际,0.10111183
2025-04-30,01919.HK,中远海控,0.07656199
2025-04-30,CASH,现金,0.00133122
2025-05-30,01357.HK,美图公司,0.15201006
2025-05-30,09899.HK,网易云音乐,0.12247071
2025-05-30,01308.HK,海丰国际,0.12147741
2025-05-30,01385.HK,上海复旦,0.11987474
2025-05-30,06990.HK,科伦博泰生物,0.10405188
2025-05-30,01963.HK,重庆银行,0.08967257
2025-05-30,02367.HK,巨子生物,0.07952204
2025-05-30,01735.HK,中环新能源,0.07811967
2025-05-30,01114.HK,BRILLIANCE CHI,0.07503068
2025-05-30,00956.HK,新天绿色能源,0.06314693
2025-06-30,01308.HK,海丰国际,0.13109706
2025-06-30,01385.HK,上海复旦,0.11974111
2025-06-30,03933.HK,联邦制药,0.11672132
