date,portfolio_return,gross_return,net_return,trading_cost,eligible_count,candidate_family,market_risk_off,risk_stage,market_momentum,cash_weight_target,cash_after_trade,selected_count,buy_candidate_count,keep_candidate_count
2020-11-13,0.00000000,0.00000000,0.00000000,0.00000000,394,momentum_equal_weight_elastic,False,risk_on,,1.00000000,1.00000000,0,0,0
2020-11-20,0.00000000,0.00000000,0.00000000,0.00000000,396,momentum_equal_weight_elastic,False,risk_on,,1.00000000,1.00000000,0,0,7
2020-11-27,0.00000000,0.00000000,0.00000000,0.00000000,396,momentum_equal_weight_elastic,False,risk_on,,1.00000000,1.00000000,0,0,9
2020-12-04,0.00000000,0.00000000,0.00000000,0.00000000,397,momentum_equal_weight_elastic,False,risk_on,,1.00000000,1.00000000,0,0,10
2020-12-11,0.00000000,0.00000000,0.00000000,0.00000000,398,momentum_equal_weight_elastic,False,risk_on,,1.00000000,1.00000000,0,0,5
2020-12-18,0.00000000,0.00000000,0.00000000,0.00000000,398,momentum_equal_weight_elastic,False,risk_on,,1.00000000,1.00000000,0,0,4
2020-12-24,0.00000000,0.00000000,0.00000000,0.00000000,400,momentum_equal_weight_elastic,False,risk_on,,1.00000000,1.00000000,0,0,11
2020-12-31,0.00000000,0.00000000,0.00000000,0.00000000,401,momentum_equal_weight_elastic,False,risk_on,,1.00000000,1.00000000,0,0,9
2021-01-08,0.03565403,0.03579801,0.03565403,0.00014398,402,momentum_equal_weight_elastic,False,risk_on,,0.52000000,0.51992513,2,2,21
2021-01-15,0.01693686,0.01708245,0.01693686,0.00015077,402,momentum_equal_weight_elastic,False,risk_on,,0.52000000,0.53162591,2,2,20
2021-01-22,0.06464181,0.06494722,0.06464181,0.00032166,402,momentum_equal_weight_elastic,False,risk_on,,0.00000000,0.00000000,5,5,11
2021-01-29,-0.06588393,-0.06550489,-0.06588393,0.00042500,402,momentum_equal_weight_elastic,False,risk_on,,0.28000000,0.31979744,3,3,13
2021-02-05,0.02532214,0.02561820,0.02532214,0.00031010,401,momentum_equal_weight_elastic,False,risk_on,,0.76000000,0.82934583,1,1,4
2021-02-11,0.01451083,0.01486836,0.01451083,0.00038397,400,momentum_equal_weight_elastic,False,risk_on,,0.04000000,0.04303781,4,4,10
2021-02-19,0.04203149,0.04246060,0.04203149,0.00046752,402,momentum_equal_weight_elastic,False,risk_on,,0.00000000,0.00000000,6,5,15
2021-02-26,-0.03516249,-0.03473952,-0.03516249,0.00048020,402,momentum_equal_weight_elastic,False,risk_on,,0.52000000,0.56222742,2,2,7
2021-03-05,0.02359668,0.02367623,0.02359668,0.00008714,402,momentum_equal_weight_elastic,False,risk_on,,0.76000000,0.85260212,1,1,8
2021-03-12,0.04128087,0.04142354,0.04128087,0.00015997,402,momentum_equal_weight_elastic,False,risk_on,,0.28000000,0.31921469,3,2,8
2021-03-19,0.00685803,0.00715123,0.00685803,0.00034232,402,momentum_equal_weight_elastic,False,risk_on,,0.00000000,0.00000000,6,4,10
