date,portfolio_return,gross_return,net_return,trading_cost,eligible_count,candidate_family,market_risk_off,risk_stage,market_momentum,cash_weight_target,cash_after_trade,selected_count,buy_candidate_count,keep_candidate_count
2020-12-04,0.00000000,0.00000000,0.00000000,0.00000000,396,momentum_equal_weight_elastic,False,risk_on,,1.00000000,1.00000000,0,0,11
2020-12-18,0.00000000,0.00000000,0.00000000,0.00000000,398,momentum_equal_weight_elastic,False,risk_on,,1.00000000,1.00000000,0,0,5
2020-12-31,0.00000000,0.00000000,0.00000000,0.00000000,400,momentum_equal_weight_elastic,False,risk_on,,1.00000000,1.00000000,0,0,9
2021-01-15,0.08770782,0.08785180,0.08770782,0.00014398,402,momentum_equal_weight_elastic,False,risk_on,,0.52000000,0.51992513,2,2,28
2021-01-29,0.00775701,0.00808072,0.00775701,0.00035210,402,momentum_equal_weight_elastic,False,risk_on,,0.00000000,0.00000000,5,5,11
2021-02-11,0.07330294,0.07376041,0.07330294,0.00050146,401,momentum_equal_weight_elastic,False,risk_on,,0.52000000,0.58711376,2,2,4
2021-02-26,-0.17441937,-0.17411594,-0.17441937,0.00035699,402,momentum_equal_weight_elastic,False,risk_on,,0.00000000,0.00000000,6,4,19
2021-03-12,0.00323631,0.00357177,0.00323631,0.00032583,402,momentum_equal_weight_elastic,False,risk_on,,0.52000000,0.53015787,2,1,10
2021-03-26,-0.05462164,-0.05430468,-0.05462164,0.00030886,402,momentum_equal_weight_elastic,False,risk_on,,0.00000000,0.00000000,6,4,15
2021-04-09,0.06754063,0.06776982,0.06754063,0.00021114,403,momentum_equal_weight_elastic,False,risk_on,,0.28000000,0.26268882,3,0,16
2021-04-23,0.00473639,0.00503246,0.00473639,0.00029117,400,momentum_equal_weight_elastic,False,risk_on,,0.00000000,0.00000000,6,6,17
2021-05-07,0.04158138,0.04201812,0.04158138,0.00043154,400,momentum_equal_weight_elastic,False,risk_on,,0.00000000,0.00000000,7,6,20
