date,one_way_turnover,two_way_turnover,buy_amount,sell_amount,trading_cost,buy_cost,sell_commission,sell_stamp_duty,event_type
2020-11-23,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2020-12-07,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2020-12-21,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2021-01-04,0.23996544,0.47993089,0.47993089,0.00000000,0.00014398,0.00014398,0.00000000,0.00000000,rebalance
2021-01-18,0.52662616,1.05325232,0.84661877,0.32704574,0.00035210,0.00025399,0.00009811,0.00000000,rebalance
2021-02-01,0.73989346,1.47978691,0.54195117,1.12956638,0.00050146,0.00016259,0.00033887,0.00000000,rebalance
2021-02-16,0.49427084,0.98854167,0.88835384,0.30159706,0.00035699,0.00026651,0.00009048,0.00000000,rebalance
2021-03-01,0.53246828,1.06493656,0.27780135,0.80828506,0.00032583,0.00008334,0.00024249,0.00000000,rebalance
2021-03-15,0.52800803,1.05601606,0.77969240,0.24984339,0.00030886,0.00023391,0.00007495,0.00000000,rebalance
2021-03-29,0.37499965,0.74999930,0.22044425,0.48334421,0.00021114,0.00006613,0.00014500,0.00000000,rebalance
2021-04-12,0.50927314,1.01854627,0.61648568,0.35408803,0.00029117,0.00018495,0.00010623,0.00000000,rebalance
2021-04-26,0.72164312,1.44328624,0.71902379,0.71945533,0.00043154,0.00021571,0.00021584,0.00000000,rebalance
2021-05-10,0.49336931,0.98673862,0.51904014,0.51935166,0.00031152,0.00015571,0.00015581,0.00000000,rebalance
2021-05-24,0.41699339,0.83398677,0.40231578,0.40255724,0.00024146,0.00012069,0.00012077,0.00000000,rebalance
2021-06-07,0.61628352,1.23256703,0.63947908,0.63986289,0.00038380,0.00019184,0.00019196,0.00000000,rebalance
2021-06-21,0.83126482,1.66252964,0.88712158,0.88765401,0.00053243,0.00026614,0.00026630,0.00000000,rebalance
2021-07-05,0.59715639,1.19431278,0.67069428,0.67959358,0.00040509,0.00020121,0.00020388,0.00000000,rebalance
