date,ts_code,name,weight
2020-01-17,00981.HK,中芯国际,0.18565379
2020-01-17,01833.HK,平安好医生,0.14887487
2020-01-17,00285.HK,比亚迪电子,0.14662555
2020-01-17,02883.HK,中海油田服务,0.13604990
2020-01-17,02269.HK,药明生物,0.11436703
2020-01-17,00968.HK,信义光能,0.09743098
2020-01-17,00548.HK,深圳高速公路股份,0.09727837
2020-01-17,02899.HK,紫金矿业,0.07371951
2020-01-31,00981.HK,中芯国际,0.15508714
2020-01-31,03888.HK,金山软件,0.15484352
2020-01-31,01833.HK,平安好医生,0.14649417
2020-01-31,00968.HK,信义光能,0.11844790
2020-01-31,02269.HK,药明生物,0.11707761
2020-01-31,06060.HK,众安在线,0.10891467
2020-01-31,01157.HK,中联重科,0.08564563
2020-01-31,02883.HK,中海油田服务,0.07009476
2020-01-31,00285.HK,比亚迪电子,0.04601603
2020-02-14,01772.HK,赣锋锂业,0.16580580
2020-02-14,00968.HK,信义光能,0.12247634
2020-02-14,00981.HK,中芯国际,0.11715995
2020-02-14,02128.HK,中国联塑,0.11287175
2020-02-14,01833.HK,平安好医生,0.09636313
2020-02-14,03888.HK,金山软件,0.09564835
2020-02-14,CASH,现金,0.09151492
2020-02-14,02883.HK,中海油田服务,0.07293735
2020-02-14,06060.HK,众安在线,0.07079704
2020-02-14,00285.HK,比亚迪电子,0.05442536
2020-02-28,00968.HK,信义光能,0.12017052
2020-02-28,02128.HK,中国联塑,0.11815912
2020-02-28,01801.HK,信达生物,0.11713558
2020-02-28,01772.HK,赣锋锂业,0.11522477
2020-02-28,00322.HK,康师傅控股,0.11295289
2020-02-28,06098.HK,碧桂园服务,0.11187658
2020-02-28,00586.HK,海螺创业,0.11085677
2020-02-28,02269.HK,药明生物,0.10044981
2020-02-28,03993.HK,洛阳钼业,0.08911001
2020-02-28,CASH,现金,0.00406395
2020-03-13,00981.HK,中芯国际,0.12167419
2020-03-13,01772.HK,赣锋锂业,0.11652139
2020-03-13,CASH,现金,0.11400063
2020-03-13,00241.HK,阿里健康,0.11260282
2020-03-13,03888.HK,金山软件,0.10938950
