date,portfolio_return,gross_return,net_return,trading_cost,eligible_count,candidate_family,market_risk_off,risk_stage,market_momentum,cash_weight_target,cash_after_trade,selected_count,buy_candidate_count,keep_candidate_count,weekly_overlay_trade_count,weekly_overlay_trading_cost,weekly_overlay_avg_one_way_turnover
2023-01-27,-0.00471964,-0.00441973,-0.00471964,0.00029991,443,momentum_equal_weight_elastic,False,risk_on,0.01276661,0.00000000,0.00000000,9,12,36,0,0.00000000,0.00000000
2023-02-10,-0.10478586,-0.10436262,-0.10478586,0.00042125,444,momentum_equal_weight_elastic,False,risk_on,0.07716415,0.00000000,-0.00744776,9,11,32,0,0.00000000,0.00000000
2023-02-24,-0.03038360,-0.03015412,-0.03038360,0.00020447,444,momentum_equal_weight_elastic,False,risk_on,0.10329230,0.00000000,-0.00089818,9,5,29,0,0.00000000,0.00000000
2023-03-10,-0.04635533,-0.04614504,-0.04635533,0.00018167,445,momentum_equal_weight_elastic,False,risk_on,0.19407151,0.00000000,0.00524334,8,4,25,0,0.00000000,0.00000000
2023-03-24,0.02460370,0.02490906,0.02460370,0.00025157,447,momentum_equal_weight_elastic,False,risk_on,0.25734656,0.00000000,-0.00642970,9,4,32,0,0.00000000,0.00000000
2023-04-06,0.00497694,0.00550283,0.00497694,0.00044393,447,momentum_equal_weight_elastic,False,risk_on,0.18548065,0.00000000,0.00783013,9,9,34,0,0.00000000,0.00000000
2023-04-21,-0.00118739,-0.00077335,-0.00118739,0.00035125,448,momentum_equal_weight_elastic,False,risk_on,0.09531327,0.00000000,0.00000000,9,13,40,0,0.00000000,0.00000000
2023-05-05,0.00813069,0.00852721,0.00813069,0.00033599,448,momentum_equal_weight_elastic,False,risk_on,0.17135922,0.00000000,0.00000000,9,11,37,0,0.00000000,0.00000000
2023-05-19,-0.05235393,-0.05189759,-0.05235393,0.00038981,448,momentum_equal_weight_elastic,False,risk_on,0.22146731,0.00000000,0.00000000,9,14,42,0,0.00000000,0.00000000
2023-06-02,-0.01326807,-0.01297930,-0.01326807,0.00023377,449,momentum_equal_weight_elastic,False,risk_on,0.18221586,0.00000000,0.00484998,9,8,37,0,0.00000000,0.00000000
2023-06-16,0.03606132,0.03632234,0.03606132,0.00020849,449,momentum_equal_weight_elastic,False,risk_on,0.15422629,0.00000000,-0.00493347,9,5,37,0,0.00000000,0.00000000
2023-06-30,0.00348740,0.00401617,0.00348740,0.00043759,449,momentum_equal_weight_elastic,False,risk_on,0.08509564,0.00000000,0.00000000,9,13,39,0,0.00000000,0.00000000
2023-07-14,0.03068468,0.03108295,0.03068468,0.00033074,449,momentum_equal_weight_elastic,False,caution,-0.00444392,0.10000000,0.08317083,9,10,36,0,0.00000000,0.00000000
2023-07-28,0.02317218,0.02317218,0.02317218,0.00000000,451,momentum_equal_weight_elastic,False,risk_on,0.09749563,0.00000000,0.08317083,9,9,36,0,0.00000000,0.00000000
2023-08-11,-0.06100288,-0.06061435,-0.06100288,0.00034026,452,momentum_equal_weight_elastic,False,risk_on,0.07869138,0.00000000,0.00000000,9,15,41,0,0.00000000,0.00000000
2023-08-25,-0.04235345,-0.04207469,-0.04235345,0.00022924,452,momentum_equal_weight_elastic,False,risk_on,0.11075809,0.00000000,-0.00375701,9,10,38,0,0.00000000,0.00000000
2023-09-08,0.04566902,0.04593736,0.04566902,0.00021132,453,momentum_equal_weight_elastic,False,caution,0.15676539,0.10000000,0.07269071,9,11,33,0,0.00000000,0.00000000
2023-10-06,-0.01266074,-0.01243549,-0.01266074,0.00018548,454,momentum_equal_weight_elastic,False,caution,0.15993138,0.10000000,0.08113700,9,4,32,0,0.00000000,0.00000000
2023-10-20,-0.03851422,-0.03832094,-0.03851422,0.00015714,457,momentum_equal_weight_elastic,False,caution,0.23785242,0.10000000,0.07500409,9,4,28,0,0.00000000,0.00000000
2023-11-03,0.02457818,0.02484775,0.02457818,0.00021074,457,momentum_equal_weight_elastic,False,caution,0.27069074,0.10000000,0.07915150,9,7,29,0,0.00000000,0.00000000
2023-11-17,-0.05089082,-0.05058782,-0.05089082,0.00024269,457,momentum_equal_weight_elastic,False,caution,0.21177024,0.10000000,0.07605719,9,9,33,0,0.00000000,0.00000000
2023-12-01,-0.01125042,-0.01079148,-0.01125042,0.00034888,459,momentum_equal_weight_elastic,False,caution,0.06454024,0.10000000,0.07709917,9,9,31,0,0.00000000,0.00000000
2023-12-15,-0.01561694,-0.01517272,-0.01561694,0.00033389,459,momentum_equal_weight_elastic,False,caution,0.05625807,0.10000000,0.07430555,9,10,29,0,0.00000000,0.00000000
2023-12-29,0.01415435,0.01457372,0.01415435,0.00031029,461,momentum_equal_weight_elastic,False,caution,0.00307696,0.10000000,0.07334429,9,11,35,0,0.00000000,0.00000000
2024-01-12,-0.03257928,-0.03233135,-0.03257928,0.00018604,462,momentum_equal_weight_elastic,False,caution,-0.00930340,0.10000000,0.06889924,9,7,25,0,0.00000000,0.00000000
2024-01-26,-0.01920870,-0.01895370,-0.01920870,0.00018512,466,momentum_equal_weight_elastic,True,risk_off,-0.09200434,0.30000000,0.22204186,9,7,39,0,0.00000000,0.00000000
2024-02-09,-0.02089548,-0.02058854,-0.02089548,0.00021854,466,momentum_equal_weight_elastic,True,risk_off,-0.10318586,0.30000000,0.21462751,9,14,42,0,0.00000000,0.00000000
2024-02-23,0.05099404,0.05132728,0.05099404,0.00023230,466,momentum_equal_weight_elastic,True,risk_off,-0.09039222,0.30000000,0.21202615,9,11,41,0,0.00000000,0.00000000
2024-03-08,-0.00246155,-0.00229980,-0.00246155,0.00011851,466,momentum_equal_weight_elastic,True,risk_off,-0.10465310,0.30000000,0.21844117,9,10,38,0,0.00000000,0.00000000
2024-03-22,-0.03768653,-0.03730713,-0.03768653,0.00027728,466,momentum_equal_weight_elastic,True,risk_off,-0.10170810,0.30000000,0.21904715,9,13,43,0,0.00000000,0.00000000
2024-04-05,0.06547884,0.06595708,0.06547884,0.00033635,467,momentum_equal_weight_elastic,False,caution,-0.05058085,0.10000000,0.07051973,9,9,38,0,0.00000000,0.00000000
2024-04-19,0.03686957,0.03730508,0.03686957,0.00032635,468,momentum_equal_weight_elastic,False,caution,-0.04694922,0.10000000,0.07586656,9,18,43,0,0.00000000,0.00000000
2024-05-03,-0.01274318,-0.01242326,-0.01274318,0.00024858,468,momentum_equal_weight_elastic,True,risk_off,-0.03742646,0.30000000,0.22601198,9,12,43,0,0.00000000,0.00000000
2024-05-17,0.04210033,0.04246994,0.04210033,0.00028352,469,momentum_equal_weight_elastic,False,caution,-0.05627586,0.10000000,0.07756754,9,11,38,0,0.00000000,0.00000000
2024-05-31,-0.04751636,-0.04715387,-0.04751636,0.00028977,469,momentum_equal_weight_elastic,False,caution,-0.01964228,0.10000000,0.07519021,9,10,34,0,0.00000000,0.00000000
2024-06-14,-0.04817487,-0.04797703,-0.04817487,0.00015063,469,momentum_equal_weight_elastic,False,risk_on,0.10511495,0.00000000,-0.00796827,9,8,32,0,0.00000000,0.00000000
2024-06-28,-0.02872494,-0.02820722,-0.02872494,0.00037520,469,momentum_equal_weight_elastic,False,risk_on,0.14029534,0.00000000,0.00000000,9,9,40,0,0.00000000,0.00000000
2024-07-12,0.09532940,0.09571808,0.09532940,0.00027359,469,momentum_equal_weight_elastic,False,risk_on,0.10725640,0.00000000,-0.00282145,9,7,38,0,0.00000000,0.00000000
2024-07-26,-0.02981489,-0.02951153,-0.02981489,0.00023390,470,momentum_equal_weight_elastic,False,risk_on,0.08257599,0.00000000,-0.00078025,9,8,43,0,0.00000000,0.00000000
2024-08-09,0.00304000,0.00329842,0.00304000,0.00019330,471,momentum_equal_weight_elastic,False,risk_on,0.01439454,0.00000000,0.00724930,9,6,36,0,0.00000000,0.00000000
2024-08-23,-0.03647000,-0.03593729,-0.03647000,0.00039968,471,momentum_equal_weight_elastic,False,risk_on,0.08992056,0.00000000,0.00000000,9,10,33,0,0.00000000,0.00000000
2024-09-05,-0.05078013,-0.05029011,-0.05078013,0.00035425,471,momentum_equal_weight_elastic,False,risk_on,0.07138411,0.00000000,-0.00046196,9,12,42,0,0.00000000,0.00000000
2024-09-20,0.01702084,0.01740318,0.01702084,0.00026237,471,momentum_equal_weight_elastic,False,risk_on,0.05324558,0.00000000,0.00341972,9,12,38,0,0.00000000,0.00000000
2024-10-04,0.21317631,0.21345563,0.21317631,0.00019494,471,momentum_equal_weight_elastic,False,risk_on,0.04187812,0.00000000,-0.01105725,9,13,41,0,0.00000000,0.00000000
2024-10-18,-0.36571281,-0.36516061,-0.36571281,0.00046753,474,momentum_equal_weight_elastic,False,risk_on,0.07960770,0.00000000,0.00000000,9,17,40,0,0.00000000,0.00000000
2024-11-01,0.02038902,0.02079789,0.02038902,0.00021958,474,momentum_equal_weight_elastic,False,risk_on,0.12813499,0.00000000,0.00187228,9,16,40,0,0.00000000,0.00000000
2024-11-15,-0.04165314,-0.04141568,-0.04165314,0.00013013,476,momentum_equal_weight_elastic,False,risk_on,0.44429558,0.00000000,-0.00728624,9,10,35,0,0.00000000,0.00000000
2024-11-29,0.00797870,0.00817614,0.00797870,0.00010369,478,momentum_equal_weight_elastic,False,risk_on,0.30478820,0.00000000,0.00036874,9,5,35,0,0.00000000,0.00000000
2024-12-13,0.03298370,0.03325346,0.03298370,0.00014280,479,momentum_equal_weight_elastic,False,risk_on,0.31494150,0.00000000,-0.00000000,9,6,35,0,0.00000000,0.00000000
2024-12-27,0.00788274,0.00823937,0.00788274,0.00019501,480,momentum_equal_weight_elastic,False,risk_on,0.29910901,0.00000000,-0.00029547,9,8,33,0,0.00000000,0.00000000
2025-01-10,-0.06123241,-0.06075743,-0.06123241,0.00026177,481,momentum_equal_weight_elastic,False,risk_on,0.27470827,0.00000000,0.00000000,9,10,36,0,0.00000000,0.00000000
2025-01-24,0.10582400,0.10599401,0.10582400,0.00008796,483,momentum_equal_weight_elastic,False,risk_on,0.37250397,0.00000000,-0.00013027,9,6,32,0,0.00000000,0.00000000
2025-02-07,0.09840621,0.09879292,0.09840621,0.00022125,484,momentum_equal_weight_elastic,False,risk_on,0.44007614,0.00000000,0.00006343,9,11,36,0,0.00000000,0.00000000
2025-02-21,0.13129392,0.13163996,0.13129392,0.00021746,484,momentum_equal_weight_elastic,False,risk_on,0.39770342,0.00000000,0.00212753,9,14,37,0,0.00000000,0.00000000
2025-03-07,-0.01306107,-0.01274302,-0.01306107,0.00022612,484,momentum_equal_weight_elastic,False,risk_on,0.35504533,0.00000000,-0.01129357,9,14,36,0,0.00000000,0.00000000
2025-03-21,-0.05338951,-0.05303448,-0.05338951,0.00024910,484,momentum_equal_weight_elastic,False,risk_on,0.39417152,0.00000000,-0.00417068,9,9,35,0,0.00000000,0.00000000
2025-04-03,-0.00405105,-0.00382607,-0.00405105,0.00014942,484,momentum_equal_weight_elastic,False,risk_on,0.49235861,0.00000000,0.00391111,9,8,28,0,0.00000000,0.00000000
2025-04-17,-0.12471984,-0.12462019,-0.12471984,0.00006592,484,momentum_equal_weight_elastic,False,risk_on,0.56048248,0.00000000,0.00000000,8,5,27,0,0.00000000,0.00000000
2025-05-02,0.12892459,0.12929108,0.12892459,0.00021219,484,momentum_equal_weight_elastic,False,risk_on,0.59275846,0.00000000,-0.00000000,9,12,31,0,0.00000000,0.00000000
2025-05-16,-0.03053373,-0.03031525,-0.03053373,0.00014281,485,momentum_equal_weight_elastic,False,risk_on,0.42167154,0.00000000,0.00581820,9,15,42,0,0.00000000,0.00000000
2025-05-30,0.07752364,0.07807784,0.07752364,0.00035118,486,momentum_equal_weight_elastic,False,risk_on,0.24678239,0.00000000,0.00000000,9,12,36,0,0.00000000,0.00000000
2025-06-13,0.14510378,0.14552122,0.14510378,0.00028503,487,momentum_equal_weight_elastic,False,risk_on,0.38705230,0.00000000,-0.00033879,9,10,32,0,0.00000000,0.00000000
2025-06-27,-0.07225210,-0.07173177,-0.07225210,0.00040684,488,momentum_equal_weight_elastic,False,risk_on,0.44059265,0.00000000,0.00000000,9,18,38,0,0.00000000,0.00000000
2025-07-11,0.14802590,0.14850761,0.14802590,0.00034943,488,momentum_equal_weight_elastic,False,risk_on,0.52572583,0.00000000,0.00000000,9,16,31,0,0.00000000,0.00000000
2025-07-25,0.05836118,0.05875375,0.05836118,0.00032692,489,momentum_equal_weight_elastic,False,risk_on,0.58691904,0.00000000,0.00000000,9,9,32,0,0.00000000,0.00000000
2025-08-08,-0.04421299,-0.04383002,-0.04421299,0.00033754,490,momentum_equal_weight_elastic,False,risk_on,0.71678534,0.00000000,0.00000000,9,13,36,0,0.00000000,0.00000000
2025-08-22,0.06848195,0.06890163,0.06848195,0.00035354,491,momentum_equal_weight_elastic,False,risk_on,0.79176482,0.00000000,-0.00711743,9,10,33,0,0.00000000,0.00000000
2025-09-05,0.00927596,0.00977291,0.00927596,0.00044729,492,momentum_equal_weight_elastic,False,risk_on,0.93148028,0.00000000,-0.00663930,9,21,44,0,0.00000000,0.00000000
2025-09-19,-0.01735033,-0.01695867,-0.01735033,0.00035580,492,momentum_equal_weight_elastic,False,risk_on,0.92865354,0.00000000,-0.00694151,9,16,43,0,0.00000000,0.00000000
