date,portfolio_return,nav,drawdown,trading_cost
2025-01-13,0.00000000,1.00000000,0.00000000,0.00000000
2025-01-24,0.06742676,1.06742676,0.00000000,0.00029991
2025-02-07,0.10392957,1.17836397,0.00000000,0.00047561
2025-02-21,0.13157145,1.33340303,0.00000000,0.00040895
2025-03-07,-0.01110680,1.31859319,-0.01110680,0.00034081
2025-03-21,-0.04802734,1.25526466,-0.05860071,0.00046112
2025-04-03,0.00299086,1.25901898,-0.05578512,0.00029749
2025-04-17,-0.11571478,1.11333187,-0.16504474,0.00014077
2025-05-02,0.12817960,1.25603831,-0.05802050,0.00040943
2025-05-16,-0.03038811,1.21786968,-0.08664548,0.00027460
2025-05-30,0.07747752,1.31222721,-0.01588103,0.00067503
2025-06-13,0.14515644,1.50270544,0.00000000,0.00054754
2025-06-27,-0.07225170,1.39413241,-0.07225170,0.00078212
2025-07-11,0.14836226,1.60096904,0.00000000,0.00067120
2025-07-25,0.05792717,1.69370865,0.00000000,0.00062780
2025-08-08,-0.04453747,1.61827516,-0.04453747,0.00065006
2025-08-22,0.06832554,1.72884469,0.00000000,0.00067965
2025-09-05,0.00976195,1.74572158,0.00000000,0.00085913
2025-09-19,-0.01746483,1.71523286,-0.01746483,0.00068367
2025-10-03,0.08956661,1.86886046,0.00000000,0.00082562
2025-10-17,-0.13513058,1.61632026,-0.13513058,0.00061211
2025-10-31,0.06071784,1.71445974,-0.08261757,0.00045025
2025-11-14,0.02075578,1.75004470,-0.06357658,0.00025169
2025-11-28,-0.07881754,1.61211048,-0.13738317,0.00060236
2025-12-12,0.05042263,1.69339733,-0.09388776,0.00028947
2025-12-24,0.00045090,1.69416088,-0.09347920,0.00089193
2026-01-09,0.08885895,1.84470225,-0.01292671,0.00079959
2026-01-23,0.03908727,1.91680662,0.00000000,0.00086172
2026-02-06,-0.06490765,1.79239121,-0.06490765,0.00105092
2026-02-20,0.06040252,1.90065615,-0.00842571,0.00100485
2026-03-06,-0.03199458,1.83984545,-0.04015072,0.00065476
2026-03-20,-0.03963304,1.76692678,-0.07819247,0.00085933
2026-04-02,-0.02835153,1.71683170,-0.10432712,0.00067743
2026-04-17,0.00476841,1.72501827,-0.10005618,0.00105253
2026-04-30,0.03655286,1.78807262,-0.06716066,0.00082074
