date,portfolio_return,nav,drawdown,trading_cost
2023-02-01,0.00000000,1.00000000,0.00000000,0.00000000
2023-02-28,-0.14085251,0.85914749,-0.14085251,0.00029991
2023-03-31,-0.03117134,0.83236672,-0.16763328,0.00016746
2023-04-28,-0.01663718,0.81851848,-0.18148152,0.00044968
2023-05-31,-0.09196966,0.74323962,-0.25676038,0.00037742
2023-06-30,0.05349521,0.78299938,-0.21700062,0.00014239
2023-07-31,0.02681187,0.80399306,-0.19600694,0.00031463
2023-08-31,-0.04412076,0.76852028,-0.23147972,0.00035580
2023-09-29,-0.01431638,0.75751785,-0.24248215,0.00000000
2023-10-31,-0.03488015,0.73109551,-0.26890449,0.00032962
2023-11-30,-0.06183219,0.68589028,-0.31410972,0.00023029
2023-12-29,0.00657103,0.69039729,-0.30960271,0.00028956
2024-01-31,-0.11061677,0.61402777,-0.38597223,0.00021346
2024-02-29,0.05075454,0.64519247,-0.35480753,0.00013567
2024-03-28,-0.00155229,0.64419094,-0.35580906,0.00022322
2024-04-30,0.04672750,0.67429237,-0.32570763,0.00016338
2024-05-31,0.05269569,0.70982468,-0.29017532,0.00033247
2024-06-28,-0.01798526,0.69705830,-0.30294170,0.00018986
2024-07-31,0.04241336,0.72662288,-0.27337712,0.00033539
2024-08-30,-0.01270980,0.71738765,-0.28261235,0.00017559
2024-09-30,0.11768830,0.80181578,-0.19818422,0.00036465
2024-10-31,0.03864180,0.83279939,-0.16720061,0.00037475
2024-11-29,-0.03676335,0.80218290,-0.19781710,0.00029935
2024-12-31,-0.01900549,0.78693702,-0.21306298,0.00029864
2025-01-28,-0.00709663,0.78135242,-0.21864758,0.00025559
2025-02-28,0.13855406,0.88961197,-0.11038803,0.00036885
2025-03-31,-0.03812816,0.85569270,-0.14430730,0.00028065
2025-04-30,0.03197055,0.88304966,-0.11695034,0.00019771
2025-05-30,0.02193135,0.90241614,-0.09758386,0.00032418
2025-06-30,0.11669449,1.00772313,0.00000000,0.00039617
2025-07-31,0.13886281,1.14765840,0.00000000,0.00044900
2025-08-29,0.14481987,1.31386214,0.00000000,0.00030400
2025-09-30,0.05323798,1.38380951,0.00000000,0.00061859
2025-10-31,-0.07110410,1.28541498,-0.07110410,0.00052054
2025-11-28,-0.01466013,1.26657062,-0.08472184,0.00023135
2025-12-31,0.10679462,1.40183356,0.00000000,0.00029023
2026-01-30,0.14223105,1.60121782,0.00000000,0.00028913
2026-02-27,0.10722908,1.77291493,0.00000000,0.00059774
2026-03-31,-0.05629842,1.67310261,-0.05629842,0.00085428
2026-04-30,0.03214281,1.72688083,-0.02596520,0.00056130
