date,one_way_turnover,two_way_turnover,buy_amount,sell_amount,trading_cost,buy_cost,sell_commission,sell_stamp_duty,event_type
2020-11-16,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2020-11-23,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2020-11-30,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2020-12-07,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2020-12-14,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2020-12-21,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2020-12-28,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2021-01-04,0.25995945,0.51991889,0.51991889,0.00000000,0.00015598,0.00015598,0.00000000,0.00000000,rebalance
2021-01-11,0.26574933,0.53149866,0.26629729,0.27816126,0.00016334,0.00007989,0.00008345,0.00000000,rebalance
2021-01-18,0.50801280,1.01602561,0.78410986,0.29280717,0.00032308,0.00023523,0.00008784,0.00000000,rebalance
2021-01-25,0.62995086,1.25990173,0.59963981,0.85376960,0.00043602,0.00017989,0.00025613,0.00000000,rebalance
2021-02-01,0.64435628,1.28871256,0.57065130,0.84413701,0.00042444,0.00017120,0.00025324,0.00000000,rebalance
2021-02-08,0.76350328,1.52700657,1.11423147,0.58798709,0.00051067,0.00033427,0.00017640,0.00000000,rebalance
2021-02-16,0.74210575,1.48421150,0.88620875,0.89204415,0.00053348,0.00026586,0.00026761,0.00000000,rebalance
2021-02-22,0.75745866,1.51491732,0.56862214,1.08869939,0.00049720,0.00017059,0.00032661,0.00000000,rebalance
2021-03-01,0.13942026,0.27884051,0.00000000,0.31735540,0.00009521,0.00000000,0.00009521,0.00000000,rebalance
2021-03-08,0.25995945,0.51991889,0.58551567,0.00000000,0.00017565,0.00017565,0.00000000,0.00000000,rebalance
2021-03-15,0.53669678,1.07339355,0.77211527,0.51605088,0.00038645,0.00023163,0.00015482,0.00000000,rebalance
2021-03-22,0.31452274,0.62904548,0.37714716,0.37434156,0.00022545,0.00011314,0.00011230,0.00000000,rebalance
2021-03-29,0.43030306,0.86060611,0.50778886,0.51112558,0.00030567,0.00015234,0.00015334,0.00000000,rebalance
2021-04-07,0.88516119,1.77032237,1.08848110,1.08913439,0.00065328,0.00032654,0.00032674,0.00000000,rebalance
2021-04-12,0.69550662,1.39101323,0.83914537,0.83964901,0.00050364,0.00025174,0.00025189,0.00000000,rebalance
2021-04-19,0.41155986,0.82311972,0.51183934,0.51072661,0.00030677,0.00015355,0.00015322,0.00000000,rebalance
2021-04-26,0.46614149,0.93228298,0.58646608,0.58476319,0.00035137,0.00017594,0.00017543,0.00000000,rebalance
2021-05-03,0.29971277,0.59942554,0.37815519,0.38185694,0.00022800,0.00011345,0.00011456,0.00000000,rebalance
2021-05-10,0.59107837,1.18215673,0.75472787,0.74274237,0.00044924,0.00022642,0.00022282,0.00000000,rebalance
2021-05-17,0.53143575,1.06287150,0.62571158,0.63852559,0.00037927,0.00018771,0.00019156,0.00000000,rebalance
2021-05-24,0.41613858,0.83227716,0.49064784,0.49094231,0.00029448,0.00014719,0.00014728,0.00000000,rebalance
2021-05-31,0.37238618,0.74477235,0.47459874,0.46819330,0.00028284,0.00014238,0.00014046,0.00000000,rebalance
2021-06-07,0.44549532,0.89099063,0.56704315,0.57939658,0.00034393,0.00017011,0.00017382,0.00000000,rebalance
2021-06-15,0.52911740,1.05823480,0.71758128,0.70380891,0.00042642,0.00021527,0.00021114,0.00000000,rebalance
2021-06-21,0.64318902,1.28637803,0.83446081,0.85077466,0.00050557,0.00025034,0.00025523,0.00000000,rebalance
2021-06-28,0.74332913,1.48665826,1.03580488,1.02769951,0.00061905,0.00031074,0.00030831,0.00000000,rebalance
2021-07-05,0.57303846,1.14607692,0.82573302,0.82802287,0.00049613,0.00024772,0.00024841,0.00000000,rebalance
2021-07-12,0.34234387,0.68468775,0.49305480,0.48012058,0.00029195,0.00014792,0.00014404,0.00000000,rebalance
2021-07-19,0.74352612,1.48705225,1.04229504,1.05316299,0.00062864,0.00031269,0.00031595,0.00000000,rebalance
2021-07-26,0.67468935,1.34937870,0.87735951,0.88087384,0.00052747,0.00026321,0.00026426,0.00000000,rebalance
2021-08-02,0.48259608,0.96519217,0.64673209,0.64712025,0.00038816,0.00019402,0.00019414,0.00000000,rebalance
2021-08-09,0.66806126,1.33612253,0.90067785,0.90121842,0.00054057,0.00027020,0.00027037,0.00000000,rebalance
2021-08-16,0.61502904,1.23005809,0.83487163,0.84674100,0.00050448,0.00025046,0.00025402,0.00000000,rebalance
2021-08-23,0.53396025,1.06792050,0.75419853,0.74190951,0.00044883,0.00022626,0.00022257,0.00000000,rebalance
2021-08-30,0.80355866,1.60711732,1.15079090,1.15285496,0.00069109,0.00034524,0.00034586,0.00000000,rebalance
2021-09-06,0.64113788,1.28227576,0.93165810,0.93221726,0.00055916,0.00027950,0.00027967,0.00000000,rebalance
2021-09-13,0.77476126,1.54952252,1.14427538,1.14496215,0.00068677,0.00034328,0.00034349,0.00000000,rebalance
2021-09-20,0.64254565,1.28509130,0.89083117,0.89136583,0.00053466,0.00026725,0.00026741,0.00000000,rebalance
2021-09-27,0.60508610,1.21017219,0.81104272,0.80122322,0.00048368,0.00024331,0.00024037,0.00000000,rebalance
2021-10-04,0.33552293,0.67104585,0.42576683,0.43632864,0.00025863,0.00012773,0.00013090,0.00000000,rebalance
2021-10-11,0.31425340,0.62850681,0.36070088,0.38204520,0.00022282,0.00010821,0.00011461,0.00000000,rebalance
2021-10-18,0.27678449,0.55356898,0.33749086,0.32581409,0.00019899,0.00010125,0.00009774,0.00000000,rebalance
2021-10-25,0.34888727,0.69777455,0.44316786,0.42345555,0.00025999,0.00013295,0.00012704,0.00000000,rebalance
2021-11-01,0.52545780,1.05091560,0.62376125,0.63486539,0.00037759,0.00018713,0.00019046,0.00000000,rebalance
2021-11-08,0.61208730,1.22417461,0.70815041,0.69542128,0.00042107,0.00021245,0.00020863,0.00000000,rebalance
2021-11-15,0.38259336,0.76518671,0.44595748,0.45937929,0.00027160,0.00013379,0.00013781,0.00000000,rebalance
