date,portfolio_return,nav,drawdown,trading_cost
2017-01-01,0.00000000,1.00000000,0.00000000,0.00000000
2017-01-06,0.00635453,1.00635453,0.00000000,0.00029991
2017-01-20,0.02599709,1.03251682,0.00000000,0.00044308
2017-02-03,0.01039265,1.04324741,0.00000000,0.00053811
2017-02-17,0.04279587,1.08789409,0.00000000,0.00044787
2017-03-03,0.00265440,1.09078180,0.00000000,0.00048929
2017-03-17,0.03394703,1.12781060,0.00000000,0.00048218
2017-03-31,-0.02492937,1.09969499,-0.02492937,0.00066878
2017-04-13,0.03651285,1.13984798,0.00000000,0.00058023
2017-04-28,-0.01416365,1.12370357,-0.01416365,0.00039704
2017-05-12,0.00211031,1.12607494,-0.01208323,0.00051182
2017-05-26,0.02192729,1.15076670,0.00000000,0.00047582
2017-06-09,0.00580492,1.15744681,0.00000000,0.00028639
2017-06-23,0.00149382,1.15917582,0.00000000,0.00048145
2017-07-07,0.03158465,1.19578798,0.00000000,0.00019490
2017-07-21,0.07929714,1.29061055,0.00000000,0.00061439
2017-08-04,0.00916058,1.30243329,0.00000000,0.00057608
2017-08-18,-0.03053690,1.26266101,-0.03053690,0.00054008
2017-09-01,0.08269216,1.36707318,0.00000000,0.00045261
2017-09-15,0.03946723,1.42102777,0.00000000,0.00071090
2017-09-29,-0.00597133,1.41254235,-0.00597133,0.00073137
2017-10-13,0.04021675,1.46935021,0.00000000,0.00063485
2017-10-27,-0.00836770,1.45705512,-0.00836770,0.00062811
2017-11-10,0.05397100,1.53569384,0.00000000,0.00048451
2017-11-24,0.02661970,1.57657355,0.00000000,0.00063074
2017-12-08,-0.04582342,1.50432956,-0.04582342,0.00066276
2017-12-22,0.02860461,1.54736032,-0.01852957,0.00067847
2018-01-05,0.10314400,1.70696126,0.00000000,0.00079772
2018-01-19,0.01699687,1.73597425,0.00000000,0.00074861
2018-02-02,0.00439114,1.74359715,0.00000000,0.00087600
2018-02-15,-0.07985492,1.60436233,-0.07985492,0.00076389
2018-03-02,-0.02209405,1.56891547,-0.10018466,0.00068855
2018-03-16,0.06081696,1.66433214,-0.04546062,0.00030852
2018-03-29,-0.02349827,1.62522322,-0.06789064,0.00073058
2018-04-13,0.03538881,1.68273794,-0.03490440,0.00070504
2018-04-27,-0.02887145,1.63415485,-0.06276811,0.00059136
2018-05-11,0.04504903,1.70777194,-0.02054673,0.00056968
2018-05-25,-0.00381324,1.70125979,-0.02428162,0.00070748
2018-06-08,0.10182070,1.87448325,0.00000000,0.00086724
2018-06-22,-0.03433847,1.81011637,-0.03433847,0.00086361
2018-07-06,-0.06425374,1.69380962,-0.09638583,0.00076368
2018-07-20,0.03115383,1.74657828,-0.06823479,0.00057352
2018-08-03,-0.06724561,1.62912857,-0.13089191,0.00055212
2018-08-17,-0.04214400,1.56047057,-0.16751960,0.00053611
2018-08-31,0.02281362,1.59607055,-0.14852771,0.00052980
2018-09-14,-0.00118363,1.59418139,-0.14953553,0.00043547
2018-09-28,0.02723314,1.63759595,-0.12637472,0.00070913
2018-10-12,-0.07142127,1.52063676,-0.18877015,0.00062669
2018-10-26,-0.03898359,1.46135688,-0.22039480,0.00033532
2018-11-09,0.01276345,1.48000883,-0.21044435,0.00013814
2018-11-23,-0.01549550,1.45707535,-0.22267892,0.00045431
2018-12-07,-0.00144678,1.45496729,-0.22380353,0.00025837
2018-12-21,-0.01355141,1.43525043,-0.23432209,0.00042262
2019-01-04,0.00378313,1.44068016,-0.23142543,0.00015716
2019-01-18,0.01054685,1.45587481,-0.22331938,0.00038963
2019-02-01,0.01382284,1.47599914,-0.21258345,0.00023015
2019-02-15,0.00319475,1.48071459,-0.21006785,0.00044585
2019-03-01,0.00745354,1.49175116,-0.20418005,0.00045418
2019-03-15,-0.02210208,1.45878036,-0.22176933,0.00068382
2019-03-29,0.01932254,1.48696770,-0.20673193,0.00067363
2019-04-12,-0.00644377,1.47738602,-0.21184357,0.00061057
2019-04-26,-0.01165071,1.46017343,-0.22102615,0.00075005
2019-05-10,-0.04399716,1.39592994,-0.25529879,0.00048595
2019-05-24,-0.02150137,1.36591554,-0.27131089,0.00035784
2019-06-06,0.03322390,1.41129658,-0.24710099,0.00048399
2019-06-21,0.02032540,1.43998174,-0.23179802,0.00046721
2019-07-05,0.03575801,1.49147262,-0.20432865,0.00055328
2019-07-19,-0.00003012,1.49142770,-0.20435261,0.00057978
2019-08-02,-0.06273503,1.39786294,-0.25426757,0.00087922
2019-08-16,-0.00216838,1.39483184,-0.25588461,0.00036604
2019-08-30,0.05904843,1.47719446,-0.21194576,0.00037478
2019-09-13,-0.01600862,1.45354662,-0.22456142,0.00049087
2019-09-27,-0.03677445,1.40009324,-0.25307775,0.00071325
2019-10-11,0.07052667,1.49883715,-0.20039982,0.00059524
2019-10-25,0.00856214,1.51167040,-0.19355353,0.00061381
2019-11-08,0.05221457,1.59060162,-0.15144528,0.00053778
2019-11-22,-0.03540143,1.53429204,-0.18148533,0.00067105
2019-12-06,0.01148799,1.55191798,-0.17208224,0.00065999
2019-12-20,0.00905859,1.56597617,-0.16458247,0.00064256
2020-01-03,0.03051596,1.61376343,-0.13908890,0.00081437
2020-01-17,0.03856838,1.67600368,-0.10588495,0.00069078
2020-01-31,-0.09069002,1.52400687,-0.18697226,0.00056116
2020-02-14,0.20540397,1.83704394,-0.01997313,0.00027010
2020-02-28,-0.05707951,1.73218637,-0.07591259,0.00048631
2020-03-13,-0.04912638,1.64709034,-0.12130965,0.00058332
2020-03-27,-0.03996509,1.58126422,-0.15642660,0.00021779
2020-04-09,0.02365453,1.61866829,-0.13647226,0.00047528
2020-04-24,0.04750126,1.69555707,-0.09545360,0.00037044
2020-05-08,0.00759050,1.70842719,-0.08858765,0.00031540
2020-05-22,0.01346674,1.73143413,-0.07631390,0.00047548
2020-06-05,0.04113683,1.80265984,-0.03831638,0.00042137
2020-06-19,0.01337697,1.82677397,-0.02545197,0.00100996
2020-07-03,0.05192114,1.92162215,0.00000000,0.00104283
2020-07-17,-0.06008236,1.80616656,-0.06008236,0.00060350
2020-07-31,0.05979885,1.91417324,-0.00387637,0.00065774
2020-08-14,-0.02880352,1.85903830,-0.03256824,0.00067219
2020-08-28,0.12620923,2.09366610,0.00000000,0.00079486
2020-09-11,-0.07254436,1.94178244,-0.07254436,0.00053956
2020-09-25,-0.01205937,1.91836577,-0.08372889,0.00086753
2020-10-09,0.13966364,2.18629172,0.00000000,0.00038275
