date,ts_code,name,weight
2020-01-17,03690.HK,美团-W,0.16218685
2020-01-17,02269.HK,药明生物,0.15996569
2020-01-17,00981.HK,中芯国际,0.14361827
2020-01-17,01833.HK,平安好医生,0.14111030
2020-01-17,01313.HK,华润建材科技,0.13325258
2020-01-17,02883.HK,中海油田服务,0.13040095
2020-01-17,03968.HK,招商银行,0.12946536
2020-01-31,02269.HK,药明生物,0.16507340
2020-01-31,01833.HK,平安好医生,0.15615356
2020-01-31,00981.HK,中芯国际,0.14628802
2020-01-31,00968.HK,信义光能,0.14469305
2020-01-31,01177.HK,中国生物制药,0.12790861
2020-01-31,03323.HK,中国建材,0.12687403
2020-01-31,02359.HK,药明康德,0.12498522
2020-01-31,CASH,现金,0.00802411
2020-02-14,00968.HK,信义光能,0.15815469
2020-02-14,00981.HK,中芯国际,0.13800155
2020-02-14,02128.HK,中国联塑,0.13471690
2020-02-14,01772.HK,赣锋锂业,0.13402164
2020-02-14,02269.HK,药明生物,0.13040203
2020-02-14,01833.HK,平安好医生,0.11817509
2020-02-14,02359.HK,药明康德,0.10803594
2020-02-14,CASH,现金,0.07849215
2020-02-28,00960.HK,龙湖集团,0.16082371
2020-02-28,02269.HK,药明生物,0.15993542
2020-02-28,00968.HK,信义光能,0.15478266
2020-02-28,06098.HK,碧桂园服务,0.15239491
2020-02-28,02359.HK,药明康德,0.13306935
2020-02-28,00700.HK,腾讯控股,0.13006861
2020-02-28,01772.HK,赣锋锂业,0.12569998
2020-03-13,00960.HK,龙湖集团,0.15531011
2020-03-13,02269.HK,药明生物,0.13652972
2020-03-13,00700.HK,腾讯控股,0.12934825
2020-03-13,00241.HK,阿里健康,0.12434940
2020-03-13,00981.HK,中芯国际,0.12410424
2020-03-13,00586.HK,海螺创业,0.12159306
2020-03-13,01918.HK,融创中国,0.10472504
2020-03-13,CASH,现金,0.10404018
2020-03-27,00960.HK,龙湖集团,0.16216746
2020-03-27,00241.HK,阿里健康,0.13193945
2020-03-27,02269.HK,药明生物,0.12855896
2020-03-27,00914.HK,海螺水泥,0.12245771
2020-03-27,00586.HK,海螺创业,0.12107770
2020-03-27,00763.HK,中兴通讯,0.11639874
2020-03-27,00981.HK,中芯国际,0.11573337
2020-03-27,CASH,现金,0.10166662
2020-04-09,CASH,现金,0.33488366
2020-04-09,01193.HK,华润燃气,0.11017347
2020-04-09,06808.HK,高鑫零售,0.10575629
2020-04-09,00241.HK,阿里健康,0.09448226
2020-04-09,00960.HK,龙湖集团,0.09187620
2020-04-09,01579.HK,颐海国际,0.09026230
2020-04-09,00586.HK,海螺创业,0.08988843
2020-04-09,00700.HK,腾讯控股,0.08267740
2020-04-24,CASH,现金,0.32911313
2020-04-24,00241.HK,阿里健康,0.10969673
2020-04-24,06808.HK,高鑫零售,0.10892864
2020-04-24,00700.HK,腾讯控股,0.10189945
2020-04-24,06098.HK,碧桂园服务,0.09750308
2020-04-24,01044.HK,恒安国际,0.09159518
2020-04-24,00881.HK,中升控股,0.08096398
2020-04-24,02269.HK,药明生物,0.08029981
2020-05-08,CASH,现金,0.35749646
2020-05-08,00881.HK,中升控股,0.10360765
2020-05-08,06098.HK,碧桂园服务,0.09921565
2020-05-08,01044.HK,恒安国际,0.09870959
