date,portfolio_return,gross_return,net_return,trading_cost,eligible_count,candidate_family,market_risk_off,risk_stage,market_momentum,cash_weight_target,cash_after_trade,selected_count,buy_candidate_count,keep_candidate_count
2023-01-20,0.00674522,0.00704513,0.00674522,0.00029991,443,high_growth_theme,False,risk_on,0.05526806,0.00000000,0.00000000,7,36,74
2023-02-03,0.01667279,0.01717114,0.01667279,0.00050171,444,high_growth_theme,False,caution,-0.01705734,0.10000000,0.10215245,7,37,70
2023-02-17,-0.01399524,-0.01381943,-0.01399524,0.00017995,444,high_growth_theme,False,risk_on,0.09411154,0.00000000,-0.00428917,7,26,63
2023-03-03,0.04979184,0.05005886,0.04979184,0.00026948,444,high_growth_theme,False,risk_on,0.12461795,0.00000000,-0.00246432,7,27,66
2023-03-17,0.01261645,0.01278950,0.01261645,0.00018334,445,high_growth_theme,False,risk_on,0.20613944,0.00000000,0.01615071,7,20,63
2023-03-31,-0.06660294,-0.06620579,-0.06660294,0.00042607,447,high_growth_theme,False,risk_on,0.20733959,0.00000000,0.00519261,7,30,68
2023-04-14,0.05623066,0.05683037,0.05623066,0.00060054,448,high_growth_theme,False,risk_on,0.16657148,0.00000000,0.00000000,7,23,60
2023-04-28,0.00276365,0.00311315,0.00276365,0.00036966,448,high_growth_theme,False,risk_on,0.12219484,0.00000000,-0.00000000,7,33,66
2023-05-12,-0.05053159,-0.05019995,-0.05053159,0.00035174,448,high_growth_theme,False,risk_on,0.16204860,0.00000000,0.00209817,7,26,72
2023-05-25,-0.02053411,-0.02026797,-0.02053411,0.00026800,449,high_growth_theme,False,risk_on,0.25992386,0.00000000,0.00401985,7,31,72
2023-06-09,0.04629413,0.04638879,0.04629413,0.00009337,449,high_growth_theme,False,caution,0.18558619,0.10000000,0.07455560,7,30,73
2023-06-23,-0.00744016,-0.00717234,-0.00744016,0.00027639,449,high_growth_theme,False,risk_on,0.08280455,0.00000000,0.00000000,7,22,66
2023-07-07,0.02917394,0.02929538,0.02917394,0.00012439,449,high_growth_theme,False,caution,0.00496723,0.10000000,0.10269633,7,12,71
2023-07-21,0.03317579,0.03335220,0.03317579,0.00018596,449,high_growth_theme,False,risk_on,0.00879245,0.00000000,-0.00278613,7,26,67
2023-08-04,-0.00948234,-0.00913567,-0.00948234,0.00037758,452,high_growth_theme,False,risk_on,0.01822843,0.00000000,0.00130380,7,36,72
2023-08-18,-0.07312803,-0.07269748,-0.07312803,0.00046450,452,high_growth_theme,False,risk_on,0.07742024,0.00000000,-0.00442984,7,33,75
