date,one_way_turnover,two_way_turnover,buy_amount,sell_amount,trading_cost,buy_cost,sell_commission,sell_stamp_duty,event_type
2025-01-02,0.49985004,0.99970009,0.99970009,0.00000000,0.00029991,0.00029991,0.00000000,0.00000000,rebalance
2025-01-13,0.87681131,1.75362261,0.85932450,0.85984025,0.00051575,0.00025780,0.00025795,0.00000000,rebalance
2025-01-27,0.57377187,1.14754375,0.60427210,0.59664035,0.00036027,0.00018128,0.00017899,0.00000000,rebalance
2025-02-10,0.56101479,1.12202958,0.65063180,0.65901671,0.00039289,0.00019519,0.00019771,0.00000000,rebalance
2025-02-24,0.54378976,1.08757951,0.66855844,0.67520787,0.00040313,0.00020057,0.00020256,0.00000000,rebalance
2025-03-10,0.71351577,1.42703154,0.85807541,0.85529793,0.00051401,0.00025742,0.00025659,0.00000000,rebalance
2025-03-24,0.71026344,1.42052688,0.89200237,0.88851364,0.00053415,0.00026760,0.00026655,0.00000000,rebalance
2025-04-07,0.60410393,1.20820786,0.60584528,0.60833144,0.00036425,0.00018175,0.00018250,0.00000000,rebalance
2025-04-22,0.58160527,1.16321055,0.63445283,0.63479848,0.00038078,0.00019034,0.00019044,0.00000000,rebalance
2025-05-05,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2025-05-19,0.86184952,1.72369904,1.02703536,1.02663276,0.00061610,0.00030811,0.00030799,0.00000000,rebalance
2025-06-02,0.99970009,1.99940018,1.18248347,1.18319317,0.00070970,0.00035475,0.00035496,0.00000000,rebalance
2025-06-16,0.58682142,1.17364284,0.73775356,0.73819635,0.00044278,0.00022133,0.00022146,0.00000000,rebalance
2025-06-30,0.59366696,1.18733392,0.73067029,0.72082049,0.00043545,0.00021920,0.00021625,0.00000000,rebalance
2025-07-14,0.58564674,1.17129348,0.74338150,0.73401631,0.00044322,0.00022301,0.00022020,0.00000000,rebalance
2025-07-28,0.59955577,1.19911154,0.77332228,0.79388610,0.00047016,0.00023200,0.00023817,0.00000000,rebalance
2025-08-11,0.86587368,1.73174736,1.13257812,1.14179469,0.00068231,0.00033977,0.00034254,0.00000000,rebalance
2025-08-25,0.56254144,1.12508288,0.81647138,0.81528497,0.00048953,0.00024494,0.00024459,0.00000000,rebalance
2025-09-08,0.72652186,1.45304372,1.03826410,1.03316263,0.00062143,0.00031148,0.00030995,0.00000000,rebalance
2025-09-22,0.72672501,1.45345002,1.05357982,1.05307640,0.00063200,0.00031607,0.00031592,0.00000000,rebalance
2025-10-06,0.99970009,1.99940018,1.46441012,1.46528903,0.00087891,0.00043932,0.00043959,0.00000000,rebalance
2025-10-20,0.72282914,1.44565828,0.95432095,0.95489371,0.00057276,0.00028630,0.00028647,0.00000000,rebalance
2025-11-03,0.58473873,1.16947747,0.79199676,0.79936537,0.00047741,0.00023760,0.00023981,0.00000000,rebalance
2025-11-17,0.28367852,0.56735704,0.41933493,0.38538491,0.00024142,0.00012580,0.00011562,0.00000000,rebalance
2025-12-01,0.29647441,0.59294881,0.39136489,0.42054774,0.00024357,0.00011741,0.00012616,0.00000000,rebalance
2025-12-15,0.44304528,0.88609055,0.61656967,0.59672795,0.00036399,0.00018497,0.00017902,0.00000000,rebalance
