date,portfolio_return,nav,drawdown,trading_cost
2020-12-21,0.00000000,1.00000000,0.00000000,0.00000000
2020-12-31,0.00000000,1.00000000,0.00000000,0.00000000
2021-01-15,0.00000000,1.00000000,0.00000000,0.00000000
2021-01-29,0.00000000,1.00000000,0.00000000,0.00000000
2021-02-11,0.07773678,1.07773678,0.00000000,0.00029991
2021-02-26,-0.01842016,1.05788470,-0.01842016,0.00055842
2021-03-12,0.01724991,1.07613313,-0.00148799,0.00054346
2021-03-26,-0.02599949,1.04815421,-0.02744879,0.00065351
2021-04-09,-0.00439442,1.04354818,-0.03172259,0.00054484
2021-04-23,0.04619019,1.09174987,0.00000000,0.00062889
2021-05-07,0.00833812,1.10085301,0.00000000,0.00042119
2021-05-21,-0.01535924,1.08394474,-0.01535924,0.00043696
2021-06-04,0.07098589,1.16088953,0.00000000,0.00065797
2021-06-18,0.01120507,1.17389738,0.00000000,0.00069968
2021-07-02,0.01325799,1.18946090,0.00000000,0.00070040
2021-07-16,-0.03061243,1.15304861,-0.03061243,0.00058162
2021-07-30,-0.04436984,1.10188803,-0.07362400,0.00068365
2021-08-13,0.02571182,1.13021958,-0.04980518,0.00054592
2021-08-27,-0.02136329,1.10607437,-0.07010447,0.00056768
2021-09-10,0.08980577,1.20540623,0.00000000,0.00056337
2021-09-24,-0.08514023,1.10277766,-0.08514023,0.00048439
2021-10-08,-0.07315973,1.02209875,-0.15207112,0.00043063
2021-10-22,-0.01817966,1.00351735,-0.16748618,0.00060008
2021-11-05,-0.01607855,0.98738224,-0.18087180,0.00050909
2021-11-19,0.03715225,1.02406571,-0.15043934,0.00059042
2021-12-03,-0.01227930,1.01149090,-0.16087135,0.00050274
2021-12-17,0.02263484,1.03438584,-0.14187781,0.00059338
2021-12-31,0.00030902,1.03470548,-0.14161264,0.00050669
2022-01-14,0.06109179,1.09791749,-0.08917221,0.00059529
2022-01-28,0.00511776,1.10353637,-0.08451081,0.00048470
2022-02-11,0.05894993,1.16858977,-0.03054279,0.00029998
2022-02-25,-0.05229941,1.10747322,-0.08124482,0.00052124
2022-03-11,-0.01557514,1.09022416,-0.09555457,0.00030177
2022-03-25,0.02405448,1.11644894,-0.07379860,0.00030155
2022-04-08,0.02096652,1.13985699,-0.05437938,0.00061136
