date,portfolio_return,gross_return,net_return,trading_cost,eligible_count,candidate_family,market_risk_off,risk_stage,market_momentum,cash_weight_target,cash_after_trade,selected_count,buy_candidate_count,keep_candidate_count,weekly_overlay_trade_count,weekly_overlay_trading_cost,weekly_overlay_avg_one_way_turnover
2020-01-17,0.03979414,0.04009405,0.03979414,0.00029991,378,high_growth_theme,False,risk_on,0.21444888,0.00000000,0.00000000,6,19,48,0,0.00000000,0.00000000
2020-01-31,-0.09291563,-0.09252145,-0.09291563,0.00040986,379,high_growth_theme,False,risk_on,0.17798276,0.00000000,-0.00108107,6,22,46,0,0.00000000,0.00000000
2020-02-14,0.15414229,0.15428198,0.15414229,0.00013175,379,high_growth_theme,False,caution,0.16308298,0.10000000,0.08778930,6,5,54,0,0.00000000,0.00000000
2020-02-28,-0.06549749,-0.06510495,-0.06549749,0.00042731,380,high_growth_theme,False,risk_on,0.18161616,0.00000000,0.00000000,6,19,51,0,0.00000000,0.00000000
2020-03-13,-0.04631269,-0.04601270,-0.04631269,0.00030517,380,high_growth_theme,False,caution,-0.01009971,0.10000000,0.09804919,6,18,50,0,0.00000000,0.00000000
2020-03-27,-0.04162630,-0.04154461,-0.04162630,0.00007925,380,high_growth_theme,False,caution,0.06156585,0.10000000,0.09311387,6,18,51,0,0.00000000,0.00000000
2020-04-09,0.02409222,0.02437212,0.02409222,0.00026025,381,high_growth_theme,True,risk_off,-0.00176644,0.35000000,0.31809681,6,17,51,0,0.00000000,0.00000000
2020-04-24,0.05218105,0.05244221,0.05218105,0.00024867,383,high_growth_theme,True,risk_off,-0.10595073,0.35000000,0.33264735,6,16,53,0,0.00000000,0.00000000
2020-05-08,0.00595041,0.00610599,0.00595041,0.00015586,383,high_growth_theme,True,risk_off,-0.12165329,0.35000000,0.36187650,6,21,53,0,0.00000000,0.00000000
2020-05-22,-0.00158746,-0.00126738,-0.00158746,0.00032259,383,high_growth_theme,True,risk_off,-0.03317956,0.35000000,0.35494140,6,27,55,0,0.00000000,0.00000000
2020-06-05,0.04682142,0.04715969,0.04682142,0.00034037,384,high_growth_theme,False,caution,0.01440552,0.10000000,0.10221371,6,26,53,0,0.00000000,0.00000000
2020-06-19,-0.00068022,-0.00012075,-0.00068022,0.00058930,385,high_growth_theme,False,risk_on,0.04292077,0.00000000,0.00000000,6,23,56,0,0.00000000,0.00000000
2020-07-03,0.03894705,0.03951817,0.03894705,0.00060117,389,high_growth_theme,False,caution,-0.04772701,0.10000000,0.10543639,6,29,55,0,0.00000000,0.00000000
2020-07-17,-0.06312785,-0.06276380,-0.06312785,0.00039813,390,high_growth_theme,False,risk_on,0.00752124,0.00000000,0.00902797,6,27,54,0,0.00000000,0.00000000
2020-07-31,0.04161442,0.04203318,0.04161442,0.00042905,389,high_growth_theme,False,risk_on,0.03603117,0.00000000,0.00000000,6,28,53,0,0.00000000,0.00000000
2020-08-14,-0.04960301,-0.04909746,-0.04960301,0.00053954,390,high_growth_theme,False,risk_on,0.14602399,0.00000000,0.00000000,6,22,55,0,0.00000000,0.00000000
2020-08-28,0.15137838,0.15188210,0.15137838,0.00051091,390,high_growth_theme,False,risk_on,0.22718427,0.00000000,0.00967890,6,23,54,0,0.00000000,0.00000000
2020-09-11,-0.07377602,-0.07347896,-0.07377602,0.00034691,390,high_growth_theme,False,risk_on,0.22292608,0.00000000,-0.00207754,6,23,53,0,0.00000000,0.00000000
2020-09-25,-0.01364725,-0.01314107,-0.01364725,0.00054751,390,high_growth_theme,False,risk_on,0.18325583,0.00000000,0.00000000,6,16,47,0,0.00000000,0.00000000
2020-10-09,0.15356953,0.15379899,0.15356953,0.00024481,390,high_growth_theme,False,risk_on,0.25409560,0.00000000,0.00000000,6,17,52,0,0.00000000,0.00000000
2020-10-23,0.00203134,0.00245033,0.00203134,0.00051567,391,high_growth_theme,False,risk_on,0.20043481,0.00000000,0.00000000,6,20,51,0,0.00000000,0.00000000
2020-11-06,0.18336625,0.18387062,0.18336625,0.00062201,392,high_growth_theme,False,risk_on,0.14419969,0.00000000,0.00000000,6,19,55,0,0.00000000,0.00000000
2020-11-20,0.04212371,0.04274078,0.04212371,0.00090054,394,high_growth_theme,False,risk_on,0.15943643,0.00000000,0.00000000,6,25,48,0,0.00000000,0.00000000
2020-12-04,-0.05084869,-0.05055094,-0.05084869,0.00045282,396,high_growth_theme,False,risk_on,0.21285626,0.00000000,0.00851121,6,21,49,0,0.00000000,0.00000000
2020-12-18,0.05833710,0.05892363,0.05833710,0.00084666,398,high_growth_theme,False,risk_on,0.23593336,0.00000000,0.00000000,6,22,51,0,0.00000000,0.00000000
2020-12-31,0.18807350,0.18858783,0.18807350,0.00078577,400,high_growth_theme,False,risk_on,0.25780044,0.00000000,0.00000000,6,28,54,0,0.00000000,0.00000000
2021-01-15,0.00395803,0.00417371,0.00395803,0.00039147,402,high_growth_theme,False,risk_on,0.23681602,0.00000000,0.00276953,6,24,54,0,0.00000000,0.00000000
2021-01-29,0.03692256,0.03755041,0.03692256,0.00114408,402,high_growth_theme,False,risk_on,0.21390192,0.00000000,0.00000000,6,29,57,0,0.00000000,0.00000000
2021-02-11,0.21554980,0.21607002,0.21554980,0.00098297,401,high_growth_theme,False,risk_on,0.40483685,0.00000000,0.00000000,6,17,56,0,0.00000000,0.00000000
2021-02-26,-0.23176710,-0.23133326,-0.23176710,0.00099644,402,high_growth_theme,False,risk_on,0.37972645,0.00000000,0.00000000,6,26,53,0,0.00000000,0.00000000
2021-03-12,-0.06295881,-0.06252525,-0.06295881,0.00076500,402,high_growth_theme,False,risk_on,0.44338539,0.00000000,0.00770148,6,9,55,0,0.00000000,0.00000000
2021-03-26,-0.05056190,-0.05035466,-0.05056190,0.00034265,402,high_growth_theme,False,risk_on,0.69673661,0.00000000,-0.01219356,6,12,50,0,0.00000000,0.00000000
2021-04-09,0.00003340,0.00035314,0.00003340,0.00050193,403,high_growth_theme,False,risk_on,0.75016370,0.00000000,0.01429456,6,14,51,0,0.00000000,0.00000000
2021-04-23,0.06413170,0.06454897,0.06413170,0.00065504,400,high_growth_theme,False,risk_on,0.66518539,0.00000000,0.00000000,6,13,48,0,0.00000000,0.00000000
2021-05-07,0.01170173,0.01213297,0.01170173,0.00072041,400,high_growth_theme,False,risk_on,0.64944899,0.00000000,0.00000000,6,20,45,0,0.00000000,0.00000000
2021-05-21,-0.03672079,-0.03644425,-0.03672079,0.00046737,401,high_growth_theme,False,risk_on,0.64812384,0.00000000,-0.01284489,6,21,47,0,0.00000000,0.00000000
2021-06-04,0.05535552,0.05579251,0.05535552,0.00071143,401,high_growth_theme,False,risk_on,0.75508031,0.00000000,0.00000000,6,24,48,0,0.00000000,0.00000000
2021-06-18,0.07294932,0.07340773,0.07294932,0.00078761,400,high_growth_theme,False,risk_on,0.59521985,0.00000000,0.00000000,6,22,50,0,0.00000000,0.00000000
2021-07-02,0.03396446,0.03440025,0.03396446,0.00080334,401,high_growth_theme,False,risk_on,0.58853478,0.00000000,-0.00304828,6,23,50,0,0.00000000,0.00000000
