date,one_way_turnover,two_way_turnover,buy_amount,sell_amount,trading_cost,buy_cost,sell_commission,sell_stamp_duty,event_type
2025-01-13,0.49985004,0.99970009,0.99970009,0.00000000,0.00029991,0.00029991,0.00000000,0.00000000,rebalance
2025-01-27,0.69199373,1.38398747,0.75300711,0.75345905,0.00045194,0.00022590,0.00022604,0.00000000,rebalance
2025-02-10,0.49984722,0.99969443,0.56938944,0.55530959,0.00033741,0.00017082,0.00016659,0.00000000,rebalance
2025-02-24,0.65306858,1.30613715,0.78755835,0.80245261,0.00047700,0.00023627,0.00024074,0.00000000,rebalance
2025-03-10,0.83898271,1.67796543,0.95098723,0.95155800,0.00057076,0.00028530,0.00028547,0.00000000,rebalance
2025-03-24,0.67087439,1.34174879,0.77740084,0.77786742,0.00046658,0.00023322,0.00023336,0.00000000,rebalance
2025-04-07,0.54079583,1.08159166,0.50888289,0.50918831,0.00030542,0.00015266,0.00015276,0.00000000,rebalance
2025-04-22,0.65241349,1.30482697,0.72279968,0.72226790,0.00043352,0.00021684,0.00021668,0.00000000,rebalance
2025-05-06,0.62556468,1.25112936,0.72378916,0.72879421,0.00043578,0.00021714,0.00021864,0.00000000,rebalance
2025-05-19,0.84276196,1.68552392,0.97534411,0.97940613,0.00058643,0.00029260,0.00029382,0.00000000,rebalance
2025-06-02,0.99648769,1.99297538,1.10092458,1.09450363,0.00065863,0.00033028,0.00032835,0.00000000,rebalance
2025-06-16,0.50005966,1.00011931,0.62254112,0.62291476,0.00037364,0.00018676,0.00018687,0.00000000,rebalance
2025-06-30,0.83990268,1.67980535,1.04233467,1.04296026,0.00062559,0.00031270,0.00031289,0.00000000,rebalance
2025-07-14,0.84984022,1.69968044,1.07137250,1.06040897,0.00063953,0.00032141,0.00031812,0.00000000,rebalance
2025-07-28,0.82896592,1.65793183,1.13708451,1.13687048,0.00068219,0.00034113,0.00034106,0.00000000,rebalance
2025-08-11,1.00433735,2.00867470,1.34648475,1.35979592,0.00081188,0.00040395,0.00040794,0.00000000,rebalance
2025-08-25,0.65625230,1.31250461,1.01056548,1.01117200,0.00060652,0.00030317,0.00030335,0.00000000,rebalance
2025-09-08,0.65096830,1.30193661,0.98925581,0.97629566,0.00058967,0.00029678,0.00029289,0.00000000,rebalance
2025-09-22,1.00425909,2.00851818,1.48471071,1.49915568,0.00089516,0.00044541,0.00044975,0.00000000,rebalance
2025-10-06,0.63464223,1.26928447,1.02170616,1.02781372,0.00061486,0.00030651,0.00030834,0.00000000,rebalance
2025-10-20,0.51408214,1.02816428,0.73772590,0.72569388,0.00043903,0.00022132,0.00021771,0.00000000,rebalance
2025-11-03,0.34901212,0.69802424,0.48554494,0.47288108,0.00028753,0.00014566,0.00014186,0.00000000,rebalance
2025-11-17,0.38719362,0.77438724,0.53239428,0.55264952,0.00032551,0.00015972,0.00016579,0.00000000,rebalance
2025-12-01,0.53191898,1.06383796,0.71870927,0.74366427,0.00043871,0.00021561,0.00022310,0.00000000,rebalance
2025-12-15,0.84709420,1.69418840,1.10486966,1.08100914,0.00065576,0.00033146,0.00032430,0.00000000,rebalance
2025-12-29,0.68106902,1.36213804,0.90706450,0.92849611,0.00055067,0.00027212,0.00027855,0.00000000,rebalance
2026-01-12,0.81535389,1.63070777,1.21792332,1.19776709,0.00072471,0.00036538,0.00035933,0.00000000,rebalance
2026-01-26,0.82922801,1.65845601,1.31427732,1.31506612,0.00078880,0.00039428,0.00039452,0.00000000,rebalance
2026-02-09,0.99970009,1.99940018,1.47569189,1.47657757,0.00088568,0.00044271,0.00044297,0.00000000,rebalance
2026-02-23,0.47710761,0.95421522,0.72798318,0.71040760,0.00043152,0.00021839,0.00021312,0.00000000,rebalance
2026-03-09,0.67684226,1.35368452,0.98796366,1.00656912,0.00059836,0.00029639,0.00030197,0.00000000,rebalance
2026-03-23,0.32666984,0.65333968,0.48635576,0.47027188,0.00028699,0.00014591,0.00014108,0.00000000,rebalance
2026-04-08,0.83739134,1.67478269,1.15204657,1.16911379,0.00069635,0.00034561,0.00035073,0.00000000,rebalance
2026-04-20,0.50021580,1.00043160,0.68655866,0.70403341,0.00041718,0.00020597,0.00021121,0.00000000,rebalance
