date,ts_code,name,weight
2026-01-23,01347.HK,华虹半导体,0.18861775
2026-01-23,02899.HK,紫金矿业,0.17734192
2026-01-23,01787.HK,山东黄金,0.16662145
2026-01-23,03993.HK,洛阳钼业,0.16466397
2026-01-23,02600.HK,中国铝业,0.16112529
2026-01-23,06618.HK,京东健康,0.14162962
2026-02-06,00005.HK,汇丰控股,0.20072973
2026-02-06,01347.HK,华虹半导体,0.17025503
2026-02-06,01208.HK,五矿资源,0.16355125
2026-02-06,09988.HK,阿里巴巴-W,0.16328119
2026-02-06,01772.HK,赣锋锂业,0.16005383
2026-02-06,02099.HK,中国黄金国际,0.14212898
2026-02-20,00016.HK,新鸿基地产,0.19273869
2026-02-20,00288.HK,万洲国际,0.17308088
2026-02-20,02388.HK,中银香港,0.17301998
2026-02-20,00066.HK,港铁公司,0.16842271
2026-02-20,00083.HK,信和置业,0.14864817
2026-02-20,00670.HK,中国东方航空股份,0.14408956
2026-03-06,00016.HK,新鸿基地产,0.18427300
2026-03-06,02338.HK,潍柴动力,0.17432890
2026-03-06,00857.HK,中国石油股份,0.17185766
2026-03-06,00288.HK,万洲国际,0.16706350
2026-03-06,02388.HK,中银香港,0.16293019
2026-03-06,01138.HK,中远海能,0.15112501
2026-03-20,00857.HK,中国石油股份,0.20145472
2026-03-20,01171.HK,兖矿能源,0.18595215
2026-03-20,01088.HK,中国神华,0.18200122
2026-03-20,01898.HK,中煤能源,0.15787686
2026-03-20,00016.HK,新鸿基地产,0.14063379
2026-03-20,01072.HK,东方电气,0.13208126
2026-04-02,00857.HK,中国石油股份,0.21126224
2026-04-02,00883.HK,中国海洋石油,0.17044820
2026-04-02,01088.HK,中国神华,0.17012041
2026-04-02,00019.HK,太古股份公司A,0.15786189
2026-04-02,01171.HK,兖矿能源,0.15446792
2026-04-02,00016.HK,新鸿基地产,0.14748353
2026-04-17,00288.HK,万洲国际,0.17496357
2026-04-17,00175.HK,吉利汽车,0.17415350
2026-04-17,00857.HK,中国石油股份,0.16987884
2026-04-17,01398.HK,工商银行,0.16319224
2026-04-17,03698.HK,徽商银行,0.15938213
2026-04-17,03808.HK,中国重汽,0.15842972
2026-04-30,01888.HK,建滔积层板,0.19897855
2026-04-30,00857.HK,中国石油股份,0.17319578
2026-04-30,00522.HK,ASMPT,0.17196487
2026-04-30,03698.HK,徽商银行,0.14993659
2026-04-30,01398.HK,工商银行,0.14784601
2026-04-30,00148.HK,建滔集团,0.14489052
2026-04-30,CASH,现金,0.01318768
