date,ts_code,name,weight
2021-01-29,CASH,现金,1.00000000
2021-02-26,01658.HK,邮储银行,0.19329162
2021-02-26,00016.HK,新鸿基地产,0.16894351
2021-02-26,00083.HK,信和置业,0.16887020
2021-02-26,00005.HK,汇丰控股,0.16172945
2021-02-26,02338.HK,潍柴动力,0.15524603
2021-02-26,03808.HK,中国重汽,0.15191918
2021-03-31,00016.HK,新鸿基地产,0.18799762
2021-03-31,00003.HK,香港中华煤气,0.18688146
2021-03-31,00960.HK,龙湖集团,0.17705974
2021-03-31,00384.HK,中国燃气,0.16058538
2021-03-31,01109.HK,华润置地,0.15218172
2021-03-31,00288.HK,万洲国际,0.13529409
2021-04-30,03988.HK,中国银行,0.20423607
2021-04-30,06030.HK,中信证券,0.17554296
2021-04-30,01398.HK,工商银行,0.16128089
2021-04-30,03328.HK,交通银行,0.16024131
2021-04-30,01088.HK,中国神华,0.14944341
2021-04-30,02007.HK,碧桂园,0.14925536
2021-05-31,00005.HK,汇丰控股,0.18546051
2021-05-31,00267.HK,中信股份,0.17864881
2021-05-31,00003.HK,香港中华煤气,0.17590298
2021-05-31,01339.HK,中国人民保险集团,0.15422423
2021-05-31,00006.HK,电能实业,0.15359589
2021-05-31,02328.HK,中国财险,0.15216758
2021-06-30,01398.HK,工商银行,0.18496744
2021-06-30,01288.HK,农业银行,0.17893173
2021-06-30,00939.HK,建设银行,0.16947321
2021-06-30,02319.HK,蒙牛乳业,0.15932305
2021-06-30,03328.HK,交通银行,0.15924992
2021-06-30,03968.HK,招商银行,0.14805465
2021-07-30,01113.HK,长实集团,0.21530093
2021-07-30,02331.HK,李宁,0.17637452
2021-07-30,01929.HK,周大福,0.17415375
2021-07-30,01308.HK,海丰国际,0.15859664
2021-07-30,00316.HK,东方海外国际,0.14013731
2021-07-30,03759.HK,康龙化成,0.13543685
2021-08-31,00669.HK,创科实业,0.20756878
2021-08-31,00836.HK,华润电力,0.20092645
2021-08-31,00006.HK,电能实业,0.16871809
2021-08-31,01038.HK,长江基建集团,0.15436210
2021-08-31,01113.HK,长实集团,0.14648929
2021-08-31,02196.HK,复星医药,0.12193528
2021-09-30,00857.HK,中国石油股份,0.21452510
2021-09-30,00836.HK,华润电力,0.19959290
2021-09-30,02331.HK,李宁,0.15511085
2021-09-30,01772.HK,赣锋锂业,0.14634864
2021-09-30,00669.HK,创科实业,0.14267945
2021-09-30,00267.HK,中信股份,0.14174305
2021-10-29,02269.HK,药明生物,0.19327074
2021-10-29,02359.HK,药明康德,0.18302068
2021-10-29,00916.HK,龙源电力,0.17723116
2021-10-29,02328.HK,中国财险,0.16874536
2021-10-29,02319.HK,蒙牛乳业,0.14355011
2021-10-29,01088.HK,中国神华,0.13418195
2021-11-30,00003.HK,香港中华煤气,0.18483996
2021-11-30,01658.HK,邮储银行,0.18472994
2021-11-30,00316.HK,东方海外国际,0.17495896
2021-11-30,00002.HK,中电控股,0.17222797
2021-11-30,00175.HK,吉利汽车,0.15483758
2021-11-30,06865.HK,福莱特玻璃,0.12840558
2021-12-31,00316.HK,东方海外国际,0.21290059
2021-12-31,01919.HK,中远海控,0.18486882
2021-12-31,00151.HK,中国旺旺,0.18011860
2021-12-31,00135.HK,昆仑能源,0.16072679
2021-12-31,01658.HK,邮储银行,0.13614838
2021-12-31,02359.HK,药明康德,0.12938853
2022-01-31,00005.HK,汇丰控股,0.18317404
2022-01-31,00151.HK,中国旺旺,0.16399586
2022-01-31,00322.HK,康师傅控股,0.15060898
2022-01-31,00316.HK,东方海外国际,0.13765574
2022-01-31,03311.HK,中国建筑国际,0.13436609
2022-01-31,01038.HK,长江基建集团,0.13240045
2022-01-31,CASH,现金,0.09779884
2022-02-28,03988.HK,中国银行,0.18646606
2022-02-28,01658.HK,邮储银行,0.16188066
2022-02-28,01288.HK,农业银行,0.15915805
2022-02-28,00939.HK,建设银行,0.13481430
2022-02-28,00135.HK,昆仑能源,0.12828999
2022-02-28,01368.HK,特步国际,0.12569559
2022-02-28,CASH,现金,0.10369535
2022-03-31,03988.HK,中国银行,0.17001801
2022-03-31,02380.HK,中国电力,0.15535367
2022-03-31,00316.HK,东方海外国际,0.15473900
2022-03-31,03311.HK,中国建筑国际,0.15178130
2022-03-31,00151.HK,中国旺旺,0.14943755
2022-03-31,00902.HK,华能国际电力股份,0.11129164
2022-03-31,CASH,现金,0.10737884
2022-04-29,03988.HK,中国银行,0.17080064
2022-04-29,01288.HK,农业银行,0.15752409
2022-04-29,00005.HK,汇丰控股,0.15689878
2022-04-29,03328.HK,交通银行,0.14741431
2022-04-29,00883.HK,中国海洋石油,0.13805589
2022-04-29,00939.HK,建设银行,0.12642066
2022-04-29,CASH,现金,0.10288564
2022-05-31,CASH,现金,0.33377417
2022-05-31,00316.HK,东方海外国际,0.14526636
2022-05-31,00883.HK,中国海洋石油,0.11604913
2022-05-31,01088.HK,中国神华,0.10917179
2022-05-31,03988.HK,中国银行,0.10664282
2022-05-31,00390.HK,中国中铁,0.10414901
2022-05-31,01800.HK,中国交通建设,0.08494671
2022-06-30,CASH,现金,0.34941919
2022-06-30,01088.HK,中国神华,0.11877087
2022-06-30,00883.HK,中国海洋石油,0.11804549
2022-06-30,00857.HK,中国石油股份,0.10655179
2022-06-30,03988.HK,中国银行,0.10563308
2022-06-30,00728.HK,中国电信,0.10272517
2022-06-30,00386.HK,中国石油化工股份,0.09885440
2022-07-29,03328.HK,交通银行,0.16896531
2022-07-29,00939.HK,建设银行,0.16391024
2022-07-29,01658.HK,邮储银行,0.14893755
2022-07-29,00688.HK,中国海外发展,0.14441029
2022-07-29,00293.HK,国泰航空,0.13764763
2022-07-29,00998.HK,中信银行,0.12900856
2022-07-29,CASH,现金,0.10712042
2022-08-31,00386.HK,中国石油化工股份,0.17524413
2022-08-31,00006.HK,电能实业,0.15610241
2022-08-31,01797.HK,东方甄选,0.15498365
2022-08-31,01038.HK,长江基建集团,0.14581586
2022-08-31,00316.HK,东方海外国际,0.13671732
2022-08-31,01171.HK,兖矿能源,0.13350241
2022-08-31,CASH,现金,0.09763422
2022-09-30,CASH,现金,0.36015908
2022-09-30,02328.HK,中国财险,0.11945419
2022-09-30,01797.HK,东方甄选,0.11050641
2022-09-30,00728.HK,中国电信,0.10810570
2022-09-30,01339.HK,中国人民保险集团,0.10396672
2022-09-30,01088.HK,中国神华,0.10053757
2022-09-30,00998.HK,中信银行,0.09727034
2022-10-31,CASH,现金,0.36572079
2022-10-31,01088.HK,中国神华,0.12092586
2022-10-31,00728.HK,中国电信,0.11365355
2022-10-31,02328.HK,中国财险,0.11176496
2022-10-31,00019.HK,太古股份公司A,0.10063248
2022-10-31,00941.HK,中国移动,0.10048062
2022-10-31,01138.HK,中远海能,0.08682174
2022-11-30,CASH,现金,0.32964660
2022-11-30,01088.HK,中国神华,0.15956701
2022-11-30,00941.HK,中国移动,0.14556093
2022-11-30,00728.HK,中国电信,0.12013273
2022-11-30,00019.HK,太古股份公司A,0.09731945
2022-11-30,02328.HK,中国财险,0.08328521
2022-11-30,01138.HK,中远海能,0.06448807
2022-12-30,00941.HK,中国移动,0.16741046
2022-12-30,00728.HK,中国电信,0.15255342
2022-12-30,01088.HK,中国神华,0.15055239
2022-12-30,03988.HK,中国银行,0.14867746
2022-12-30,00386.HK,中国石油化工股份,0.14698012
2022-12-30,02328.HK,中国财险,0.14367523
2022-12-30,CASH,现金,0.09015093
2023-01-31,03988.HK,中国银行,0.16675947
2023-01-31,01288.HK,农业银行,0.15965497
2023-01-31,00016.HK,新鸿基地产,0.15743981
2023-01-31,01066.HK,威高股份,0.14214669
2023-01-31,00941.HK,中国移动,0.13899247
2023-01-31,01398.HK,工商银行,0.13811744
2023-01-31,CASH,现金,0.09688915
2023-02-28,00728.HK,中国电信,0.20771258
2023-02-28,00762.HK,中国联通,0.18542449
2023-02-28,00016.HK,新鸿基地产,0.16955574
2023-02-28,00883.HK,中国海洋石油,0.15504760
2023-02-28,00941.HK,中国移动,0.14971439
2023-02-28,09926.HK,康方生物,0.12426853
2023-02-28,CASH,现金,0.00827667
2023-03-31,00728.HK,中国电信,0.21505764
2023-03-31,00016.HK,新鸿基地产,0.19125978
2023-03-31,00762.HK,中国联通,0.17721954
2023-03-31,00941.HK,中国移动,0.15715884
2023-03-31,00753.HK,中国国航,0.13845027
2023-03-31,09926.HK,康方生物,0.13659536
2023-04-28,00857.HK,中国石油股份,0.20441002
2023-04-28,01766.HK,中国中车,0.19605660
2023-04-28,00728.HK,中国电信,0.15267425
2023-04-28,02282.HK,美高梅中国,0.15181860
2023-04-28,02899.HK,紫金矿业,0.14956045
2023-04-28,01585.HK,雅迪控股,0.14548007
2023-05-31,00857.HK,中国石油股份,0.19967008
2023-05-31,01766.HK,中国中车,0.18815035
2023-05-31,02628.HK,中国人寿,0.16868165
2023-05-31,00386.HK,中国石油化工股份,0.16216186
2023-05-31,00728.HK,中国电信,0.15727658
2023-05-31,02282.HK,美高梅中国,0.12680304
2023-06-30,00857.HK,中国石油股份,0.22395701
2023-06-30,01071.HK,华电国际电力股份,0.16356421
2023-06-30,01766.HK,中国中车,0.15369388
2023-06-30,00728.HK,中国电信,0.14585661
2023-06-30,00386.HK,中国石油化工股份,0.11635582
2023-06-30,02628.HK,中国人寿,0.10642587
2023-06-30,CASH,现金,0.09014661
2023-07-31,01339.HK,中国人民保险集团,0.16782178
2023-07-31,00998.HK,中信银行,0.16075922
2023-07-31,00857.HK,中国石油股份,0.15295874
2023-07-31,00763.HK,中兴通讯,0.14257066
2023-07-31,00386.HK,中国石油化工股份,0.14037798
2023-07-31,00267.HK,中信股份,0.13242521
2023-07-31,CASH,现金,0.10308641
2023-08-31,00005.HK,汇丰控股,0.18225856
2023-08-31,00883.HK,中国海洋石油,0.17690097
2023-08-31,02328.HK,中国财险,0.17046864
2023-08-31,01339.HK,中国人民保险集团,0.15689733
2023-08-31,00998.HK,中信银行,0.15630629
2023-08-31,03988.HK,中国银行,0.14931218
2023-08-31,CASH,现金,0.00785602
2023-09-29,00883.HK,中国海洋石油,0.18556463
2023-09-29,00005.HK,汇丰控股,0.17864426
2023-09-29,02328.HK,中国财险,0.17764719
2023-09-29,01339.HK,中国人民保险集团,0.15430005
2023-09-29,00998.HK,中信银行,0.15241494
2023-09-29,03988.HK,中国银行,0.14408484
2023-09-29,CASH,现金,0.00734408
2023-10-31,00005.HK,汇丰控股,0.17375056
2023-10-31,00883.HK,中国海洋石油,0.16001020
2023-10-31,00857.HK,中国石油股份,0.15646952
2023-10-31,01288.HK,农业银行,0.14905214
2023-10-31,02359.HK,药明康德,0.14340990
2023-10-31,02328.HK,中国财险,0.11727321
2023-10-31,CASH,现金,0.10003449
2023-11-30,00857.HK,中国石油股份,0.19060796
2023-11-30,00005.HK,汇丰控股,0.18146467
2023-11-30,00883.HK,中国海洋石油,0.17521594
2023-11-30,00659.HK,周大福创建,0.13418628
2023-11-30,06886.HK,HTSC,0.13150296
2023-11-30,CASH,现金,0.11000504
2023-11-30,00467.HK,联合能源集团,0.07701715
2023-12-29,00941.HK,中国移动,0.17324255
2023-12-29,01088.HK,中国神华,0.17046532
2023-12-29,00288.HK,万洲国际,0.14601731
2023-12-29,02899.HK,紫金矿业,0.14343881
2023-12-29,00883.HK,中国海洋石油,0.13967920
2023-12-29,00857.HK,中国石油股份,0.13019043
2023-12-29,CASH,现金,0.09696638
2024-01-31,00941.HK,中国移动,0.17359805
2024-01-31,00883.HK,中国海洋石油,0.17294913
2024-01-31,01088.HK,中国神华,0.15786771
2024-01-31,03988.HK,中国银行,0.14392524
2024-01-31,00005.HK,汇丰控股,0.13520764
2024-01-31,00288.HK,万洲国际,0.13026656
2024-01-31,CASH,现金,0.08618567
2024-02-29,CASH,现金,0.34168638
2024-02-29,00006.HK,电能实业,0.11992152
2024-02-29,00728.HK,中国电信,0.11390165
2024-02-29,00883.HK,中国海洋石油,0.11340075
2024-02-29,01088.HK,中国神华,0.10928539
2024-02-29,01038.HK,长江基建集团,0.10364657
2024-02-29,00941.HK,中国移动,0.09815774
2024-03-28,CASH,现金,0.34270879
2024-03-28,00883.HK,中国海洋石油,0.12591482
2024-03-28,00019.HK,太古股份公司A,0.11391495
2024-03-28,00087.HK,太古股份公司B,0.11151147
2024-03-28,01088.HK,中国神华,0.10945254
2024-03-28,06198.HK,青岛港,0.10250136
2024-03-28,00004.HK,九龙仓集团,0.09399607
2024-04-30,01288.HK,农业银行,0.18467567
2024-04-30,00857.HK,中国石油股份,0.16955151
2024-04-30,00728.HK,中国电信,0.16032021
2024-04-30,00883.HK,中国海洋石油,0.13525689
2024-04-30,00780.HK,同程旅行,0.13185328
2024-04-30,01088.HK,中国神华,0.12554579
2024-04-30,CASH,现金,0.09279665
2024-05-31,01919.HK,中远海控,0.16780092
2024-05-31,00005.HK,汇丰控股,0.16675346
2024-05-31,00883.HK,中国海洋石油,0.15874999
2024-05-31,00998.HK,中信银行,0.15373487
2024-05-31,00019.HK,太古股份公司A,0.13163674
2024-05-31,03328.HK,交通银行,0.12908360
2024-05-31,CASH,现金,0.09224042
2024-06-28,00883.HK,中国海洋石油,0.20741581
2024-06-28,00941.HK,中国移动,0.17459293
2024-06-28,00728.HK,中国电信,0.16989689
2024-06-28,00857.HK,中国石油股份,0.16021684
2024-06-28,01378.HK,中国宏桥,0.14473653
2024-06-28,01898.HK,中煤能源,0.14314102
2024-07-31,01398.HK,工商银行,0.18858637
2024-07-31,01816.HK,中广核电力,0.16951175
2024-07-31,01088.HK,中国神华,0.16765324
2024-07-31,00857.HK,中国石油股份,0.16627574
2024-07-31,00762.HK,中国联通,0.15449893
2024-07-31,03993.HK,洛阳钼业,0.15347397
2024-08-30,00005.HK,汇丰控股,0.19622730
2024-08-30,09992.HK,泡泡玛特,0.19029837
2024-08-30,03618.HK,重庆农村商业银行,0.16544300
2024-08-30,01088.HK,中国神华,0.15230965
2024-08-30,00762.HK,中国联通,0.15182466
2024-08-30,01816.HK,中广核电力,0.15084351
2024-09-30,00005.HK,汇丰控股,0.18867006
2024-09-30,00700.HK,腾讯控股,0.18312882
2024-09-30,01378.HK,中国宏桥,0.17948658
2024-09-30,00941.HK,中国移动,0.16196124
2024-09-30,00883.HK,中国海洋石油,0.15519721
