date,one_way_turnover,two_way_turnover,buy_amount,sell_amount,trading_cost,buy_cost,sell_commission,sell_stamp_duty,event_type
2023-02-01,0.49985004,0.99970009,0.99970009,0.00000000,0.00029991,0.00029991,0.00000000,0.00000000,rebalance
2023-03-01,0.30820480,0.61640960,0.30865676,0.29932015,0.00018239,0.00009260,0.00008980,0.00000000,rebalance
2023-04-03,0.84866735,1.69733470,0.82735248,0.83737090,0.00049942,0.00024821,0.00025121,0.00000000,rebalance
2023-05-02,0.32443092,0.64886185,0.33870745,0.33631956,0.00020251,0.00010161,0.00010090,0.00000000,rebalance
2023-06-01,0.20419147,0.40838293,0.14824335,0.23945981,0.00011631,0.00004447,0.00007184,0.00000000,rebalance
2023-07-03,0.64284207,1.28568414,0.63921481,0.65144018,0.00038720,0.00019176,0.00019543,0.00000000,rebalance
2023-08-01,0.62044906,1.24089812,0.64788544,0.55520184,0.00036093,0.00019437,0.00016656,0.00000000,rebalance
2023-09-01,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2023-10-03,0.48188534,0.96377069,0.42505517,0.51110696,0.00028085,0.00012752,0.00015333,0.00000000,rebalance
2023-11-01,0.42311921,0.84623842,0.39592902,0.39929775,0.00023857,0.00011878,0.00011979,0.00000000,rebalance
2023-12-01,0.62000914,1.24001829,0.54634499,0.53786851,0.00032526,0.00016390,0.00016136,0.00000000,rebalance
2024-01-02,0.30368809,0.60737618,0.27923888,0.27149199,0.00016522,0.00008377,0.00008145,0.00000000,rebalance
2024-02-01,0.46929068,0.93858136,0.30934355,0.55075361,0.00025803,0.00009280,0.00016523,0.00000000,rebalance
2024-03-01,0.43106328,0.86212656,0.40171965,0.40774496,0.00024284,0.00012052,0.00012232,0.00000000,rebalance
2024-04-02,0.54018770,1.08037539,0.63790598,0.40400426,0.00031257,0.00019137,0.00012120,0.00000000,rebalance
2024-05-02,0.76595872,1.53191744,0.74625015,0.75226335,0.00044955,0.00022388,0.00022568,0.00000000,rebalance
2024-06-03,0.79721695,1.59443390,0.90795692,0.81069800,0.00051560,0.00027239,0.00024321,0.00000000,rebalance
2024-07-02,0.83634704,1.67269407,0.95146986,0.95204091,0.00057105,0.00028544,0.00028561,0.00000000,rebalance
2024-08-01,0.54323681,1.08647363,0.56895484,0.56196367,0.00033928,0.00017069,0.00016859,0.00000000,rebalance
2024-09-02,0.81079209,1.62158417,0.85904104,0.86289978,0.00051658,0.00025771,0.00025887,0.00000000,rebalance
2024-10-02,0.67294107,1.34588214,0.78125334,0.78571172,0.00047009,0.00023438,0.00023571,0.00000000,rebalance
2024-11-01,0.79048882,1.58097763,0.91389940,0.90679904,0.00054621,0.00027417,0.00027204,0.00000000,rebalance
2024-12-02,0.35618731,0.71237462,0.42166609,0.41454184,0.00025086,0.00012650,0.00012436,0.00000000,rebalance
2025-01-02,0.50866642,1.01733285,0.57583591,0.58793950,0.00034913,0.00017275,0.00017638,0.00000000,rebalance
2025-02-03,0.65298505,1.30597010,0.76134784,0.76507298,0.00045793,0.00022840,0.00022952,0.00000000,rebalance
2025-03-03,0.52880824,1.05761648,0.70182443,0.70224565,0.00042122,0.00021055,0.00021067,0.00000000,rebalance
2025-04-01,0.22277110,0.44554220,0.30712683,0.30731116,0.00018433,0.00009214,0.00009219,0.00000000,rebalance
2025-05-02,0.65703419,1.31406838,0.96852991,0.95603976,0.00057737,0.00029056,0.00028681,0.00000000,rebalance
2025-06-02,0.83937098,1.67874197,1.23145381,1.24526435,0.00074302,0.00036944,0.00037358,0.00000000,rebalance
2025-07-02,0.84375705,1.68751410,1.41330132,1.42662549,0.00085198,0.00042399,0.00042799,0.00000000,rebalance
2025-08-01,0.68008329,1.36016658,1.15796696,1.14618602,0.00069125,0.00034739,0.00034386,0.00000000,rebalance
2025-09-01,0.70586346,1.41172692,1.33064727,1.33144590,0.00079863,0.00039919,0.00039943,0.00000000,rebalance
2025-10-02,0.66606394,1.33212788,1.31486265,1.31565180,0.00078915,0.00039446,0.00039470,0.00000000,rebalance
2025-11-03,0.50128548,1.00257097,0.87037882,0.87329981,0.00052310,0.00026111,0.00026199,0.00000000,rebalance
2025-12-01,0.51951782,1.03903565,0.90993071,0.92533713,0.00055058,0.00027298,0.00027760,0.00000000,rebalance
2026-01-02,0.65974172,1.31948344,1.17794193,1.14951630,0.00069824,0.00035338,0.00034485,0.00000000,rebalance
2026-02-02,0.54632916,1.09265831,0.99210390,1.00457305,0.00059900,0.00029763,0.00030137,0.00000000,rebalance
2026-03-02,0.66963766,1.33927532,1.52072037,1.54101342,0.00091852,0.00045622,0.00046230,0.00000000,rebalance
