date,portfolio_return,gross_return,net_return,trading_cost,eligible_count,candidate_family,market_risk_off,risk_stage,market_momentum,cash_weight_target,cash_after_trade,selected_count,buy_candidate_count,keep_candidate_count,weekly_overlay_trade_count,weekly_overlay_trading_cost,weekly_overlay_avg_one_way_turnover
2025-02-28,0.12495704,0.12525695,0.12495704,0.00029991,484,high_growth_theme,False,risk_on,0.49767451,0.00000000,0.00000000,6,16,53,0,0.00000000,0.00000000
2025-03-31,0.05461181,0.05493319,0.05461181,0.00036154,484,high_growth_theme,False,risk_on,0.35401516,0.00000000,0.00000000,6,24,57,0,0.00000000,0.00000000
2025-04-30,0.04411417,0.04424735,0.04411417,0.00015801,484,high_growth_theme,False,risk_on,0.48161478,0.00000000,-0.00000000,6,15,54,0,0.00000000,0.00000000
2025-05-30,0.01646123,0.01686052,0.01646123,0.00049462,485,high_growth_theme,False,risk_on,0.45470692,0.00000000,-0.01119459,6,19,61,0,0.00000000,0.00000000
2025-06-30,0.14019785,0.14070338,0.14019785,0.00063652,487,high_growth_theme,False,risk_on,0.36815634,0.00000000,0.00000000,6,24,61,0,0.00000000,0.00000000
2025-07-31,0.02638306,0.02689151,0.02638306,0.00072996,489,high_growth_theme,False,risk_on,0.52572583,0.00000000,0.01037200,6,30,62,0,0.00000000,0.00000000
2025-08-29,0.10671380,0.10711586,0.10671380,0.00059245,490,high_growth_theme,False,risk_on,0.69319599,0.00000000,0.00000000,6,21,56,0,0.00000000,0.00000000
2025-09-30,0.02423677,0.02465641,0.02423677,0.00068434,492,high_growth_theme,False,risk_on,0.85408993,0.00000000,0.00000000,6,19,61,0,0.00000000,0.00000000
2025-10-31,-0.09125698,-0.09085213,-0.09125698,0.00067622,493,high_growth_theme,False,risk_on,0.59836025,0.00000000,0.00000000,6,27,72,0,0.00000000,0.00000000
2025-11-28,-0.03811949,-0.03782417,-0.03811949,0.00044824,496,high_growth_theme,False,risk_on,0.72001827,0.00000000,0.00205473,6,10,67,0,0.00000000,0.00000000
2025-12-31,0.00056883,0.00089197,0.00056883,0.00047179,499,high_growth_theme,False,risk_on,0.74292762,0.00000000,0.01478462,6,12,64,0,0.00000000,0.00000000
2026-01-30,0.14156512,0.14197469,0.14156512,0.00059832,508,high_growth_theme,False,risk_on,0.67463473,0.00000000,-0.01017146,6,17,69,0,0.00000000,0.00000000
2026-02-27,0.13184523,0.13215302,0.13184523,0.00051328,510,high_growth_theme,False,risk_on,0.65583202,0.00000000,0.00000000,6,32,67,0,0.00000000,0.00000000
2026-03-31,-0.00688495,-0.00646796,-0.00688495,0.00078707,511,high_growth_theme,False,risk_on,0.62534374,0.00000000,0.01660193,6,27,71,0,0.00000000,0.00000000
2026-04-30,0.06528795,0.06558930,0.06528795,0.00056489,514,high_growth_theme,False,risk_on,1.20403335,0.00000000,0.00210413,6,8,74,0,0.00000000,0.00000000
