date,portfolio_return,nav,drawdown,trading_cost
2020-12-14,0.00000000,1.00000000,0.00000000,0.00000000
2020-12-18,0.00000000,1.00000000,0.00000000,0.00000000
2020-12-24,0.00000000,1.00000000,0.00000000,0.00000000
2020-12-31,0.00000000,1.00000000,0.00000000,0.00000000
2021-01-08,0.00000000,1.00000000,0.00000000,0.00000000
2021-01-15,0.00000000,1.00000000,0.00000000,0.00000000
2021-01-22,0.00000000,1.00000000,0.00000000,0.00000000
2021-01-29,0.00000000,1.00000000,0.00000000,0.00000000
2021-02-05,0.03909977,1.03909977,0.00000000,0.00029991
2021-02-11,0.04022355,1.08089604,0.00000000,0.00052151
2021-02-19,0.00828778,1.08985427,0.00000000,0.00027326
2021-02-26,-0.02335530,1.06440039,-0.02335530,0.00065110
2021-03-05,0.00639247,1.07120454,-0.01711213,0.00049756
2021-03-12,-0.00156348,1.06952973,-0.01864886,0.00064859
2021-03-19,0.01440975,1.08494138,-0.00450784,0.00065912
2021-03-26,0.00414324,1.08943655,-0.00038328,0.00054064
2021-04-01,-0.00745577,1.08131396,-0.00783620,0.00066295
2021-04-09,-0.00412915,1.07684905,-0.01193299,0.00052458
2021-04-16,0.02335846,1.10200259,0.00000000,0.00037030
2021-04-23,0.01115541,1.11429588,0.00000000,0.00039233
2021-04-30,-0.01749724,1.09479878,-0.01749724,0.00026696
2021-05-07,0.04331284,1.14221762,0.00000000,0.00065273
2021-05-14,0.00333800,1.14603034,0.00000000,0.00043024
2021-05-21,-0.00838802,1.13641742,-0.00838802,0.00038575
2021-05-28,0.04986899,1.19308941,0.00000000,0.00056394
2021-06-04,-0.01061373,1.18042628,-0.01061373,0.00070799
2021-06-11,0.03033143,1.21623030,0.00000000,0.00042378
2021-06-18,-0.01505056,1.19792535,-0.01505056,0.00041012
2021-06-25,0.01684839,1.21810847,0.00000000,0.00056518
2021-07-02,0.03628896,1.26231236,0.00000000,0.00060643
2021-07-09,-0.02564519,1.22994013,-0.02564519,0.00061495
2021-07-16,0.01156451,1.24416378,-0.01437725,0.00060433
2021-07-23,-0.03326325,1.20277885,-0.04716227,0.00044951
2021-07-30,-0.03121283,1.16523672,-0.07690303,0.00068289
2021-08-06,0.01937442,1.18781250,-0.05901856,0.00058350
2021-08-13,0.02106010,1.21282795,-0.03920140,0.00058459
2021-08-20,-0.05084780,1.15115832,-0.08805589,0.00044773
2021-08-27,-0.01002396,1.13961915,-0.09719718,0.00056611
2021-09-03,0.07743128,1.22786132,-0.02729201,0.00070178
2021-09-10,0.01946035,1.25175593,-0.00836277,0.00045652
2021-09-17,-0.01041091,1.23872402,-0.01868661,0.00044418
2021-09-24,-0.04856158,1.17856963,-0.06634074,0.00055470
2021-09-30,0.01602046,1.19745085,-0.05138309,0.00055321
2021-10-08,-0.07466662,1.10804125,-0.12221310,0.00055931
2021-10-15,-0.03650701,1.06758998,-0.15425847,0.00064295
2021-10-22,0.03558133,1.10557626,-0.12416586,0.00051775
2021-10-29,-0.00843451,1.09625127,-0.13155309,0.00026731
2021-11-05,-0.01396825,1.08093856,-0.14368377,0.00065792
2021-11-12,0.03875240,1.12282752,-0.11049946,0.00064444
2021-11-19,0.01249906,1.13686181,-0.09938154,0.00041812
2021-11-26,-0.01783914,1.11658118,-0.11544780,0.00041520
2021-12-03,0.00174745,1.11853235,-0.11390208,0.00052786
2021-12-10,-0.00150987,1.11684351,-0.11523998,0.00053544
2021-12-17,0.01208381,1.13033923,-0.10454871,0.00042197
2021-12-24,0.00816782,1.13957165,-0.09723482,0.00053186
2021-12-31,0.01428685,1.15585253,-0.08433715,0.00041139
2022-01-07,0.03173302,1.19253122,-0.05528041,0.00053018
2022-01-14,0.03848347,1.23842396,-0.01892432,0.00053028
2022-01-21,0.00905322,1.24963569,-0.01004242,0.00026790
2022-01-28,-0.01959195,1.22515288,-0.02943762,0.00043231
2022-02-04,0.02197420,1.25207463,-0.00811030,0.00058303
2022-02-11,0.02562431,1.28415817,0.00000000,0.00053289
2022-02-18,-0.01803541,1.26099786,-0.01803541,0.00028148
2022-02-25,-0.04970697,1.19831747,-0.06684590,0.00054541
2022-03-04,0.03081658,1.23524552,-0.03808928,0.00053738
2022-03-11,-0.07238309,1.14583463,-0.10771535,0.00041122
2022-03-18,-0.02717676,1.11469455,-0.13196476,0.00025663
2022-03-25,-0.03536924,1.07526865,-0.16266651,0.00022648
2022-04-01,0.00543016,1.08110753,-0.15811965,0.00057609
2022-04-08,0.00624171,1.08785549,-0.15286488,0.00050441
2022-04-14,0.00247916,1.09055246,-0.15076469,0.00017337
2022-04-22,-0.03697376,1.05023063,-0.18216412,0.00033902
2022-04-29,-0.02428982,1.02472071,-0.20202921,0.00038622
2022-05-06,-0.00765692,1.01687451,-0.20813921,0.00024492
2022-05-13,-0.00628683,1.01048159,-0.21311750,0.00023712
2022-05-20,0.02213221,1.03284578,-0.19570205,0.00015815
2022-05-27,0.02666534,1.06038696,-0.17425518,0.00023936
2022-06-02,0.00446786,1.06512463,-0.17056586,0.00026297
2022-06-10,-0.03044152,1.03270061,-0.19581510,0.00034525
2022-06-17,-0.03231818,0.99932561,-0.22180489,0.00039685
2022-06-24,-0.00863148,0.99069995,-0.22852187,0.00023093
2022-06-30,0.04261711,1.03292071,-0.19564370,0.00030064
2022-07-08,-0.00394664,1.02884415,-0.19881821,0.00056130
2022-07-15,-0.05850766,0.96864889,-0.24569348,0.00042906
2022-07-22,0.00982893,0.97816968,-0.23827945,0.00046263
2022-07-29,0.01709908,0.99489547,-0.22525473,0.00030972
2022-08-05,-0.01825461,0.97673405,-0.23939740,0.00020712
2022-08-12,0.00905887,0.98558216,-0.23250720,0.00032495
2022-08-19,-0.02943818,0.95656841,-0.25510079,0.00036559
2022-08-26,0.02813272,0.98347928,-0.23414475,0.00021270
2022-09-02,-0.02164630,0.96219059,-0.25072269,0.00043939
2022-09-09,0.05619455,1.01626046,-0.20861738,0.00045576
2022-09-16,-0.01235882,1.00370068,-0.21839794,0.00039627
2022-09-23,-0.02201976,0.98159943,-0.23560863,0.00031512
2022-09-30,-0.03962748,0.94270112,-0.26589953,0.00029820
2022-10-07,-0.00447236,0.93848501,-0.26918270,0.00021245
2022-10-14,-0.04345335,0.89770469,-0.30093916,0.00036478
2022-10-21,-0.00575340,0.89253983,-0.30496114,0.00034234
2022-10-28,-0.04474600,0.85260224,-0.33606135,0.00012581
2022-11-04,0.03531923,0.88271549,-0.31261155,0.00013588
2022-11-11,-0.01900477,0.86593969,-0.32567521,0.00021899
2022-11-18,-0.00355117,0.86286459,-0.32806985,0.00033455
2022-11-25,0.00127779,0.86396716,-0.32721126,0.00026373
2022-12-02,0.02025989,0.88147104,-0.31358064,0.00037989
2022-12-09,0.06535116,0.93907619,-0.26872234,0.00039030
2022-12-16,0.00853441,0.94709065,-0.26248132,0.00019607
2022-12-23,0.01833132,0.96445206,-0.24896163,0.00050259
2022-12-30,0.00362981,0.96795284,-0.24623550,0.00032407
2023-01-06,0.02810192,0.99515418,-0.22505327,0.00042308
2023-01-13,0.03389552,1.02888545,-0.19878604,0.00034185
2023-01-20,0.04966753,1.07998765,-0.15899173,0.00049446
2023-01-27,0.01574706,1.09699427,-0.14574832,0.00003097
2023-02-03,-0.00516395,1.09132945,-0.15015964,0.00003257
2023-02-10,-0.01651947,1.07330127,-0.16419855,0.00026139
2023-02-17,0.01823632,1.09287433,-0.14895661,0.00013718
2023-02-24,0.00516729,1.09852153,-0.14455902,0.00016035
2023-03-03,0.06333707,1.16809867,-0.09037789,0.00026803
2023-03-10,-0.01577566,1.14967114,-0.10472778,0.00026448
2023-03-17,0.03292619,1.18752543,-0.07524987,0.00013497
2023-03-24,-0.05314720,1.12441179,-0.12439775,0.00038697
2023-03-31,0.00422996,1.12916800,-0.12069399,0.00039654
2023-04-06,0.03573954,1.16952395,-0.08926799,0.00068485
2023-04-14,0.06369488,1.24401665,-0.03125902,0.00043624
2023-04-21,0.00052412,1.24466867,-0.03075128,0.00045801
2023-04-28,0.02409364,1.27465726,-0.00739855,0.00029698
2023-05-05,0.00391037,1.27964164,-0.00351711,0.00032754
2023-05-12,-0.03026734,1.24091029,-0.03367800,0.00031552
