date,one_way_turnover,two_way_turnover,buy_amount,sell_amount,trading_cost,buy_cost,sell_commission,sell_stamp_duty,event_type
2020-12-14,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2020-12-21,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2020-12-28,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2021-01-04,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2021-01-11,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2021-01-18,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2021-01-25,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2021-02-01,0.49985004,0.99970009,0.99970009,0.00000000,0.00029991,0.00029991,0.00000000,0.00000000,rebalance
2021-02-08,0.81691223,1.63382445,0.86892664,0.86944815,0.00052151,0.00026068,0.00026083,0.00000000,rebalance
2021-02-16,0.40878266,0.81756531,0.44851106,0.46235908,0.00027326,0.00013455,0.00013871,0.00000000,rebalance
2021-02-22,0.99348797,1.98697594,1.09162432,1.07870065,0.00065110,0.00032749,0.00032361,0.00000000,rebalance
2021-03-01,0.77500653,1.55001306,0.82589126,0.83264101,0.00049756,0.00024777,0.00024979,0.00000000,rebalance
2021-03-08,0.99681825,1.99363650,1.08378320,1.07817960,0.00064859,0.00032513,0.00032345,0.00000000,rebalance
2021-03-15,0.99970009,1.99940018,1.09819578,1.09885489,0.00065912,0.00032946,0.00032966,0.00000000,rebalance
2021-03-22,0.81622382,1.63244763,0.90079351,0.90133415,0.00054064,0.00027024,0.00027040,0.00000000,rebalance
2021-03-29,0.99970009,1.99940018,1.10458570,1.10524865,0.00066295,0.00033138,0.00033157,0.00000000,rebalance
2021-04-07,0.80525177,1.61050354,0.87403873,0.87456331,0.00052458,0.00026221,0.00026237,0.00000000,rebalance
2021-04-12,0.57532065,1.15064131,0.61878458,0.61553857,0.00037030,0.00018564,0.00018466,0.00000000,rebalance
2021-04-19,0.59020884,1.18041767,0.65305158,0.65473133,0.00039233,0.00019592,0.00019642,0.00000000,rebalance
2021-04-26,0.40243814,0.80487628,0.44554545,0.44432977,0.00026696,0.00013366,0.00013330,0.00000000,rebalance
2021-05-03,1.00145391,2.00290781,1.08565648,1.09012073,0.00065273,0.00032570,0.00032704,0.00000000,rebalance
2021-05-10,0.61686730,1.23373460,0.71685925,0.71728949,0.00043024,0.00021506,0.00021519,0.00000000,rebalance
2021-05-17,0.56411879,1.12823759,0.64127889,0.64454071,0.00038575,0.00019238,0.00019336,0.00000000,rebalance
2021-05-24,0.82488687,1.64977374,0.93768428,0.94212927,0.00056394,0.00028131,0.00028264,0.00000000,rebalance
2021-05-31,0.99684675,1.99369349,1.18300657,1.17695745,0.00070799,0.00035490,0.00035309,0.00000000,rebalance
2021-06-07,0.60116921,1.20233843,0.70084385,0.71176876,0.00042378,0.00021025,0.00021353,0.00000000,rebalance
2021-06-15,0.57153535,1.14307070,0.68672713,0.68032927,0.00041012,0.00020602,0.00020410,0.00000000,rebalance
2021-06-21,0.79045882,1.58091764,0.94353475,0.94040678,0.00056518,0.00028306,0.00028212,0.00000000,rebalance
2021-06-28,0.80285899,1.60571798,1.00820128,1.01323643,0.00060643,0.00030246,0.00030397,0.00000000,rebalance
2021-07-05,0.80219644,1.60439288,1.02682601,1.02301224,0.00061495,0.00030805,0.00030690,0.00000000,rebalance
2021-07-12,0.81824819,1.63649639,1.00690975,1.00751408,0.00060433,0.00030207,0.00030225,0.00000000,rebalance
2021-07-19,0.60618770,1.21237540,0.74895706,0.74940657,0.00044951,0.00022469,0.00022482,0.00000000,rebalance
2021-07-26,0.99970009,1.99940018,1.13781222,1.13849511,0.00068289,0.00034134,0.00034155,0.00000000,rebalance
2021-08-02,0.81849692,1.63699384,0.97221622,0.97279973,0.00058350,0.00029166,0.00029184,0.00000000,rebalance
2021-08-09,0.81804199,1.63608398,0.97402633,0.97461092,0.00058459,0.00029221,0.00029238,0.00000000,rebalance
2021-08-16,0.62886590,1.25773180,0.74599230,0.74644003,0.00044773,0.00022380,0.00022393,0.00000000,rebalance
2021-08-23,0.79605937,1.59211874,0.93900404,0.94801924,0.00056611,0.00028170,0.00028441,0.00000000,rebalance
2021-08-30,0.99610341,1.99220681,1.17351431,1.16576699,0.00070178,0.00035205,0.00034973,0.00000000,rebalance
2021-09-06,0.61984387,1.23968774,0.76576526,0.75598387,0.00045652,0.00022973,0.00022680,0.00000000,rebalance
2021-09-13,0.57644133,1.15288266,0.73987444,0.74071314,0.00044418,0.00022196,0.00022221,0.00000000,rebalance
2021-09-20,0.77924908,1.55849815,0.91930832,0.92970642,0.00055470,0.00027579,0.00027891,0.00000000,rebalance
2021-09-27,0.76764023,1.53528046,0.92102201,0.92300721,0.00055321,0.00027631,0.00027690,0.00000000,rebalance
2021-10-04,0.81697819,1.63395638,0.93262186,0.93174918,0.00055931,0.00027979,0.00027952,0.00000000,rebalance
2021-10-11,0.99970009,1.99940018,1.07126536,1.07190831,0.00064295,0.00032138,0.00032157,0.00000000,rebalance
2021-10-18,0.80348044,1.60696089,0.86266097,0.86317873,0.00051775,0.00025880,0.00025895,0.00000000,rebalance
2021-10-25,0.40154124,0.80308248,0.44537361,0.44566875,0.00026731,0.00013361,0.00013370,0.00000000,rebalance
2021-11-01,0.99968741,1.99937482,1.09621026,1.09684035,0.00065792,0.00032886,0.00032905,0.00000000,rebalance
