date,ts_code,name,weight
2020-12-18,CASH,现金,1.00000000
2020-12-24,CASH,现金,1.00000000
2020-12-31,CASH,现金,1.00000000
2021-01-08,CASH,现金,1.00000000
2021-01-15,CASH,现金,1.00000000
2021-01-22,CASH,现金,1.00000000
2021-01-29,CASH,现金,1.00000000
2021-02-05,01658.HK,邮储银行,0.24694868
2021-02-05,02338.HK,潍柴动力,0.19801618
2021-02-05,00083.HK,信和置业,0.19456043
2021-02-05,03808.HK,中国重汽,0.19285880
2021-02-05,00016.HK,新鸿基地产,0.16761591
2021-02-11,03968.HK,招商银行,0.22048199
2021-02-11,00027.HK,银河娱乐,0.20515996
2021-02-11,00883.HK,中国海洋石油,0.19689989
2021-02-11,02313.HK,申洲国际,0.19519197
2021-02-11,01658.HK,邮储银行,0.18226618
2021-02-19,00939.HK,建设银行,0.21731107
2021-02-19,03968.HK,招商银行,0.20815668
2021-02-19,00027.HK,银河娱乐,0.19740606
2021-02-19,00998.HK,中信银行,0.18654431
2021-02-19,01658.HK,邮储银行,0.17812631
2021-02-19,CASH,现金,0.01245558
2021-02-26,00016.HK,新鸿基地产,0.23157092
2021-02-26,01113.HK,长实集团,0.21295654
2021-02-26,00941.HK,中国移动,0.19404910
2021-02-26,00914.HK,海螺水泥,0.18641454
2021-02-26,00388.HK,香港交易所,0.17500890
2021-03-05,00016.HK,新鸿基地产,0.22012331
2021-03-05,00003.HK,香港中华煤气,0.21045070
2021-03-05,00960.HK,龙湖集团,0.20089246
2021-03-05,00288.HK,万洲国际,0.18204335
2021-03-05,00384.HK,中国燃气,0.18065357
2021-03-05,CASH,现金,0.00583660
2021-03-12,03988.HK,中国银行,0.21551169
2021-03-12,00939.HK,建设银行,0.21150890
2021-03-12,01398.HK,工商银行,0.20296035
2021-03-12,01288.HK,农业银行,0.18677294
2021-03-12,02388.HK,中银香港,0.18324612
2021-03-19,00857.HK,中国石油股份,0.21242882
2021-03-19,01816.HK,中广核电力,0.21198920
2021-03-19,01193.HK,华润燃气,0.19769546
2021-03-19,00006.HK,电能实业,0.19559085
2021-03-19,01378.HK,中国宏桥,0.18229567
2021-03-26,00003.HK,香港中华煤气,0.22015995
2021-03-26,00005.HK,汇丰控股,0.22007880
2021-03-26,00002.HK,中电控股,0.19239510
2021-03-26,02328.HK,中国财险,0.18520296
2021-03-26,00006.HK,电能实业,0.18216320
2021-04-01,02007.HK,碧桂园,0.21801111
2021-04-01,00941.HK,中国移动,0.20645079
2021-04-01,01109.HK,华润置地,0.19421180
2021-04-01,01288.HK,农业银行,0.19232204
2021-04-01,02331.HK,李宁,0.18900426
2021-04-09,03988.HK,中国银行,0.22815081
2021-04-09,06030.HK,中信证券,0.21191742
2021-04-09,03328.HK,交通银行,0.19589364
2021-04-09,02007.HK,碧桂园,0.19269231
2021-04-09,03908.HK,中金公司,0.17134582
2021-04-16,03988.HK,中国银行,0.23013492
2021-04-16,00001.HK,长和,0.19651209
2021-04-16,03328.HK,交通银行,0.19351435
2021-04-16,01088.HK,中国神华,0.19280303
2021-04-16,00998.HK,中信银行,0.19031718
2021-04-23,03988.HK,中国银行,0.21996291
2021-04-23,00003.HK,香港中华煤气,0.20355817
2021-04-23,01339.HK,中国人民保险集团,0.19658464
2021-04-23,03328.HK,交通银行,0.19396565
2021-04-23,00002.HK,中电控股,0.18801863
2021-04-30,03988.HK,中国银行,0.22093441
2021-04-30,00002.HK,中电控股,0.20255454
2021-04-30,00388.HK,香港交易所,0.19762769
2021-04-30,03328.HK,交通银行,0.19320833
2021-04-30,03968.HK,招商银行,0.18915652
2021-05-07,00005.HK,汇丰控股,0.22252590
2021-05-07,00267.HK,中信股份,0.20728308
2021-05-07,00003.HK,香港中华煤气,0.20516124
2021-05-07,02328.HK,中国财险,0.18974293
2021-05-07,00006.HK,电能实业,0.17528685
2021-05-14,03988.HK,中国银行,0.22323337
2021-05-14,02388.HK,中银香港,0.21197951
2021-05-14,00005.HK,汇丰控股,0.19458421
2021-05-14,03328.HK,交通银行,0.18859945
2021-05-14,00267.HK,中信股份,0.18160346
2021-05-21,03988.HK,中国银行,0.22314694
2021-05-21,02388.HK,中银香港,0.21320373
2021-05-21,06030.HK,中信证券,0.19692547
2021-05-21,03968.HK,招商银行,0.19040441
2021-05-21,02688.HK,新奥能源,0.17378863
2021-05-21,CASH,现金,0.00253082
2021-05-28,01113.HK,长实集团,0.22031013
2021-05-28,02020.HK,安踏体育,0.21003380
2021-05-28,02313.HK,申洲国际,0.20053160
2021-05-28,01339.HK,中国人民保险集团,0.19722093
2021-05-28,02688.HK,新奥能源,0.16624000
2021-05-28,CASH,现金,0.00566354
2021-06-04,03988.HK,中国银行,0.21957450
2021-06-04,01288.HK,农业银行,0.21225061
2021-06-04,02388.HK,中银香港,0.20033654
2021-06-04,03328.HK,交通银行,0.18430280
2021-06-04,00066.HK,港铁公司,0.18353555
2021-06-11,01288.HK,农业银行,0.21428398
2021-06-11,00857.HK,中国石油股份,0.20646361
2021-06-11,03328.HK,交通银行,0.19403008
2021-06-11,00267.HK,中信股份,0.19393080
2021-06-11,00003.HK,香港中华煤气,0.18265737
2021-06-11,CASH,现金,0.00863416
2021-06-18,00857.HK,中国石油股份,0.21039773
2021-06-18,01288.HK,农业银行,0.20865824
2021-06-18,01113.HK,长实集团,0.20864201
2021-06-18,00002.HK,中电控股,0.18462536
2021-06-18,00006.HK,电能实业,0.18459371
2021-06-18,CASH,现金,0.00308296
2021-06-25,01113.HK,长实集团,0.21856959
2021-06-25,02020.HK,安踏体育,0.20458789
2021-06-25,02319.HK,蒙牛乳业,0.20335960
2021-06-25,00012.HK,恒基地产,0.19455611
2021-06-25,02331.HK,李宁,0.17892681
2021-07-02,01088.HK,中国神华,0.22294143
2021-07-02,00857.HK,中国石油股份,0.21483751
2021-07-02,00001.HK,长和,0.18754012
2021-07-02,02319.HK,蒙牛乳业,0.18719265
2021-07-02,06098.HK,碧桂园服务,0.18397987
2021-07-02,CASH,现金,0.00350842
2021-07-09,01113.HK,长实集团,0.24130558
2021-07-09,02328.HK,中国财险,0.19494365
2021-07-09,00004.HK,九龙仓集团,0.19388256
