date,portfolio_return,nav,drawdown,trading_cost
2017-02-01,0.00000000,1.00000000,0.00000000,0.00000000
2017-02-28,0.03442791,1.03442791,0.00000000,0.00029991
2017-03-31,0.02756373,1.06294060,0.00000000,0.00038214
2017-04-28,0.03200360,1.09695853,0.00000000,0.00043003
2017-05-31,0.02574483,1.12519954,0.00000000,0.00043902
2017-06-30,0.09359614,1.23051387,0.00000000,0.00045824
2017-07-31,0.13509051,1.39674462,0.00000000,0.00059814
2017-08-31,0.01906749,1.42337703,0.00000000,0.00039687
2017-09-29,0.15302935,1.64119549,0.00000000,0.00031566
2017-10-31,0.02565920,1.68330725,0.00000000,0.00031917
2017-11-30,-0.00685400,1.67176986,-0.00685400,0.00078538
2017-12-29,-0.02202105,1.63495572,-0.02872413,0.00064518
2018-01-31,0.09964076,1.79786395,0.00000000,0.00075568
2018-02-28,-0.04078049,1.72454617,-0.04078049,0.00055269
2018-03-29,-0.00177667,1.72148222,-0.04248471,0.00057822
2018-04-30,-0.00466977,1.71344330,-0.04695608,0.00079987
2018-05-31,-0.01316059,1.69089338,-0.05949870,0.00101260
2018-06-29,-0.03411160,1.63321430,-0.09158071,0.00088849
2018-07-31,-0.01027297,1.61643633,-0.10091288,0.00040878
2018-08-31,-0.01247926,1.59626440,-0.11213282,0.00047570
2018-09-28,0.00063327,1.59727527,-0.11157056,0.00049118
2018-10-31,-0.10970881,1.42204010,-0.20903910,0.00054934
2018-11-30,0.03445631,1.47103835,-0.18178550,0.00013056
2018-12-31,0.00344155,1.47610101,-0.17896957,0.00054668
2019-01-31,0.04460719,1.54194573,-0.14234571,0.00016582
2019-02-28,0.01750703,1.56894062,-0.12733073,0.00036753
2019-03-29,0.00558038,1.57769590,-0.12246091,0.00039571
2019-04-30,-0.02649283,1.53589827,-0.14570940,0.00066033
2019-05-31,-0.07018593,1.42809983,-0.20566858,0.00036198
2019-06-28,0.01746826,1.45304625,-0.19179299,0.00055937
2019-07-31,-0.00953328,1.43919395,-0.19949785,0.00044674
2019-08-30,-0.04280568,1.37758827,-0.23376390,0.00025627
2019-09-30,-0.00913781,1.36500013,-0.24076561,0.00040187
2019-10-31,0.08214437,1.47712720,-0.17839879,0.00046245
2019-11-29,-0.05880197,1.39026922,-0.22671056,0.00065671
2019-12-31,0.01923063,1.41700497,-0.21183971,0.00024833
2020-01-31,-0.09537293,1.28186106,-0.28700887,0.00064354
2020-02-28,0.04604868,1.34088906,-0.25417657,0.00021885
2020-03-31,-0.07470168,1.24072240,-0.30989083,0.00048844
2020-04-29,0.10123576,1.36632787,-0.24002711,0.00032246
2020-05-29,-0.02176037,1.33659607,-0.25656440,0.00021254
2020-06-30,0.05324087,1.40775760,-0.21698324,0.00023156
2020-07-31,0.09435154,1.54058170,-0.14310441,0.00047188
2020-08-31,0.00860477,1.55383804,-0.13573102,0.00079782
2020-09-30,-0.09294173,1.40942165,-0.21605767,0.00072513
2020-10-30,0.11242115,1.56787045,-0.12792597,0.00056991
2020-11-30,0.11437439,1.74719467,-0.02818304,0.00049550
2020-12-31,0.12935640,1.97320548,0.00000000,0.00069041
2021-01-29,-0.03729593,1.89961295,-0.03729593,0.00076412
2021-02-26,-0.04301375,1.81790347,-0.07870544,0.00047349
2021-03-31,-0.06259759,1.70410709,-0.13637626,0.00031901
2021-04-30,0.05299606,1.79441805,-0.09060761,0.00018879
2021-05-31,0.04824027,1.88098126,-0.04673828,0.00057635
2021-06-30,0.09219891,2.05440568,0.00000000,0.00064814
2021-07-30,-0.11684163,1.81436558,-0.11684163,0.00079929
2021-08-31,0.07963823,1.95885844,-0.04650846,0.00053487
2021-09-30,-0.04379691,1.87306649,-0.08826844,0.00079653
2021-10-29,-0.06166140,1.75757058,-0.14448709,0.00054869
2021-11-30,0.06108146,1.86492555,-0.09223112,0.00097667
2021-12-31,0.03995563,1.93943982,-0.05596064,0.00044409
2022-01-31,-0.02612052,1.88878065,-0.08061944,0.00080839
2022-02-28,-0.02046591,1.85012503,-0.09943540,0.00084345
2022-03-31,-0.03680280,1.78203525,-0.13257870,0.00075857
2022-04-29,-0.01994453,1.74649339,-0.14987901,0.00058464
2022-05-31,0.04344239,1.82236524,-0.11294772,0.00038355
2022-06-30,0.00453438,1.83062853,-0.10892549,0.00044582
2022-07-29,-0.04293083,1.75203814,-0.14718006,0.00059510
2022-08-31,0.01470637,1.77780426,-0.13463817,0.00083214
2022-09-30,-0.00630075,1.76660276,-0.14009060,0.00067451
2022-10-31,-0.04641529,1.68460538,-0.18000354,0.00042134
2022-11-30,0.08935701,1.83513668,-0.10673111,0.00003905
2022-12-30,0.01810090,1.86835430,-0.09056214,0.00031983
2023-01-31,0.07321794,2.00515136,-0.02397498,0.00065730
2023-02-28,-0.04247756,1.91997741,-0.06543414,0.00073113
2023-03-31,0.02415060,1.96634602,-0.04286381,0.00017097
2023-04-28,0.05892655,2.08221601,0.00000000,0.00091603
2023-05-31,-0.10028297,1.87340520,-0.10028297,0.00058372
2023-06-30,0.02995318,1.92951965,-0.07333358,0.00030227
2023-07-31,-0.00774304,1.91457931,-0.08050880,0.00080579
2023-08-31,-0.05260821,1.81385671,-0.12888159,0.00079849
2023-09-29,0.07050618,1.94174481,-0.06746236,0.00000000
2023-10-31,-0.06534028,1.81487065,-0.12839463,0.00053942
2023-11-30,-0.03703231,1.74766181,-0.16067219,0.00037401
2023-12-29,0.02067056,1.78378695,-0.14332281,0.00047515
2024-01-31,0.03026920,1.83778075,-0.11739188,0.00036116
2024-02-29,0.01910227,1.87288654,-0.10053206,0.00043902
2024-03-28,0.01227724,1.89588041,-0.08948908,0.00038045
2024-04-30,0.05067137,1.99194727,-0.04335224,0.00048085
2024-05-31,0.07086732,2.13311124,0.00000000,0.00070541
2024-06-28,0.04326046,2.22539062,0.00000000,0.00095129
