date,portfolio_return,gross_return,net_return,trading_cost,eligible_count,candidate_family,market_risk_off,risk_stage,market_momentum,cash_weight_target,cash_after_trade,selected_count,buy_candidate_count,keep_candidate_count,weekly_overlay_trade_count,weekly_overlay_trading_cost,weekly_overlay_avg_one_way_turnover
2017-02-28,0.03442791,0.03472782,0.03442791,0.00029991,326,high_growth_theme,False,risk_on,0.32804241,0.00000000,0.00000000,8,24,46,0,0.00000000,0.00000000
2017-03-31,0.02756373,0.02793315,0.02756373,0.00038214,326,high_growth_theme,False,risk_on,0.40458263,0.00000000,-0.00213461,8,16,47,0,0.00000000,0.00000000
2017-04-28,0.03200360,0.03240817,0.03200360,0.00043003,326,high_growth_theme,False,risk_on,0.30825746,0.00000000,0.00000000,8,12,50,0,0.00000000,0.00000000
2017-05-31,0.02574483,0.02614505,0.02574483,0.00043902,326,high_growth_theme,False,risk_on,0.32400030,0.00000000,-0.00442800,8,17,51,0,0.00000000,0.00000000
2017-06-30,0.09359614,0.09400339,0.09359614,0.00045824,326,high_growth_theme,False,risk_on,0.33081588,0.00000000,-0.00927516,8,26,56,0,0.00000000,0.00000000
2017-07-31,0.13509051,0.13557660,0.13509051,0.00059814,329,high_growth_theme,False,risk_on,0.32308321,0.00000000,0.00880191,8,25,53,0,0.00000000,0.00000000
2017-08-31,0.01906749,0.01935163,0.01906749,0.00039687,332,high_growth_theme,False,risk_on,0.32257250,0.00000000,0.01876214,8,29,60,0,0.00000000,0.00000000
2017-09-29,0.15302935,0.15325111,0.15302935,0.00031566,333,high_growth_theme,False,risk_on,0.31220107,0.00000000,0.02400312,8,24,59,0,0.00000000,0.00000000
2017-10-31,0.02565920,0.02585367,0.02565920,0.00031917,333,high_growth_theme,False,risk_on,0.30914663,0.00000000,-0.01606489,8,23,56,0,0.00000000,0.00000000
2017-11-30,-0.00685400,-0.00638744,-0.00685400,0.00078538,336,high_growth_theme,False,risk_on,0.33868052,0.00000000,0.00250847,8,20,56,0,0.00000000,0.00000000
2017-12-29,-0.02202105,-0.02163513,-0.02202105,0.00064518,339,high_growth_theme,False,risk_on,0.35348216,0.00000000,0.00564717,8,18,58,0,0.00000000,0.00000000
2018-01-31,0.09964076,0.10010296,0.09964076,0.00075568,342,high_growth_theme,False,risk_on,0.40875778,0.00000000,-0.01863823,8,23,58,0,0.00000000,0.00000000
2018-02-28,-0.04078049,-0.04047308,-0.04078049,0.00055269,342,high_growth_theme,False,risk_on,0.39191576,0.00000000,-0.01261003,8,26,62,0,0.00000000,0.00000000
2018-03-29,-0.00177667,-0.00144139,-0.00177667,0.00057822,342,high_growth_theme,False,risk_on,0.44913060,0.00000000,0.00305131,8,10,59,0,0.00000000,0.00000000
2018-04-30,-0.00466977,-0.00420513,-0.00466977,0.00079987,342,high_growth_theme,False,risk_on,0.36253151,0.00000000,0.00000000,8,17,58,0,0.00000000,0.00000000
2018-05-31,-0.01316059,-0.01256961,-0.01316059,0.00101260,342,high_growth_theme,False,risk_on,0.33881003,0.00000000,0.00000000,8,24,63,0,0.00000000,0.00000000
2018-06-29,-0.03411160,-0.03358614,-0.03411160,0.00088849,341,high_growth_theme,False,risk_on,0.34737233,0.00000000,-0.00459034,8,25,50,0,0.00000000,0.00000000
2018-07-31,-0.01027297,-0.01002268,-0.01027297,0.00040878,344,high_growth_theme,False,risk_on,0.33933728,0.00000000,0.00000000,8,7,48,0,0.00000000,0.00000000
2018-08-31,-0.01247926,-0.01218496,-0.01247926,0.00047570,344,high_growth_theme,False,risk_on,0.20055110,0.00000000,0.01427943,8,16,55,0,0.00000000,0.00000000
2018-09-28,0.00063327,0.00094097,0.00063327,0.00049118,345,high_growth_theme,False,caution,0.15969427,0.10000000,0.16082522,8,11,55,0,0.00000000,0.00000000
2018-10-31,-0.10970881,-0.10936489,-0.10970881,0.00054934,346,high_growth_theme,False,caution,0.08345233,0.10000000,0.17008762,8,23,61,0,0.00000000,0.00000000
2018-11-30,0.03445631,0.03454812,0.03445631,0.00013056,346,high_growth_theme,False,caution,0.03592804,0.10000000,0.13518212,8,4,66,0,0.00000000,0.00000000
2018-12-31,0.00344155,0.00381318,0.00344155,0.00054668,351,high_growth_theme,True,risk_off,-0.06895346,0.35000000,0.53851466,8,30,66,0,0.00000000,0.00000000
2019-01-31,0.04460719,0.04471953,0.04460719,0.00016582,354,high_growth_theme,True,risk_off,-0.04439035,0.35000000,0.49695515,8,11,68,0,0.00000000,0.00000000
2019-02-28,0.01750703,0.01774539,0.01750703,0.00036753,356,high_growth_theme,True,risk_off,-0.15609926,0.35000000,0.52587368,8,31,68,0,0.00000000,0.00000000
2019-03-29,0.00558038,0.00583259,0.00558038,0.00039571,358,high_growth_theme,False,caution,-0.04934549,0.10000000,0.16602194,8,25,69,0,0.00000000,0.00000000
2019-04-30,-0.02649283,-0.02607429,-0.02649283,0.00066033,359,high_growth_theme,False,risk_on,0.03604329,0.00000000,0.01304964,8,23,67,0,0.00000000,0.00000000
2019-05-31,-0.07018593,-0.06995025,-0.07018593,0.00036198,359,high_growth_theme,False,risk_on,0.04687705,0.00000000,0.00365573,8,18,60,0,0.00000000,0.00000000
2019-06-28,0.01746826,0.01785995,0.01746826,0.00055937,361,high_growth_theme,False,risk_on,0.01216208,0.00000000,0.00000000,8,7,54,0,0.00000000,0.00000000
2019-07-31,-0.00953328,-0.00922583,-0.00953328,0.00044674,362,high_growth_theme,False,caution,-0.01325785,0.10000000,0.15753684,8,27,61,0,0.00000000,0.00000000
2019-08-30,-0.04280568,-0.04262762,-0.04280568,0.00025627,364,high_growth_theme,False,risk_on,0.04361169,0.00000000,0.00000000,8,15,66,0,0.00000000,0.00000000
2019-09-30,-0.00913781,-0.00884609,-0.00913781,0.00040187,367,high_growth_theme,False,caution,0.08100705,0.10000000,0.13728127,8,16,67,0,0.00000000,0.00000000
2019-10-31,0.08214437,0.08248316,0.08214437,0.00046245,370,high_growth_theme,False,risk_on,0.03069404,0.00000000,0.00000000,8,16,61,0,0.00000000,0.00000000
2019-11-29,-0.05880197,-0.05835738,-0.05880197,0.00065671,372,high_growth_theme,False,risk_on,0.16855474,0.00000000,0.00000000,8,32,66,0,0.00000000,0.00000000
