date,one_way_turnover,two_way_turnover,buy_amount,sell_amount,trading_cost,buy_cost,sell_commission,sell_stamp_duty,event_type
2025-02-03,0.49985004,0.99970009,0.99970009,0.00000000,0.00029991,0.00029991,0.00000000,0.00000000,rebalance
2025-03-03,0.39495441,0.78990883,0.45728590,0.44290715,0.00027006,0.00013719,0.00013287,0.00000000,rebalance
2025-04-01,0.29172975,0.58345950,0.33488949,0.35479845,0.00020691,0.00010047,0.00010644,0.00000000,rebalance
2025-05-02,0.61628179,1.23256359,0.76055072,0.76536610,0.00045778,0.00022817,0.00022961,0.00000000,rebalance
2025-06-02,0.63490109,1.26980217,0.79500089,0.77809778,0.00047193,0.00023850,0.00023343,0.00000000,rebalance
2025-07-02,0.75693194,1.51386388,1.06904799,1.08973808,0.00064764,0.00032071,0.00032692,0.00000000,rebalance
2025-08-01,0.53047800,1.06095601,0.78463554,0.78051894,0.00046955,0.00023539,0.00023416,0.00000000,rebalance
2025-09-01,0.64916694,1.29833387,1.05297588,1.05554054,0.00063255,0.00031589,0.00031666,0.00000000,rebalance
2025-10-02,0.74412027,1.48824055,1.23341530,1.22472852,0.00073744,0.00037002,0.00036742,0.00000000,rebalance
2025-11-03,0.50613456,1.01226912,0.75143538,0.77267760,0.00045723,0.00022543,0.00023180,0.00000000,rebalance
2025-12-01,0.50653841,1.01307681,0.79940313,0.76663236,0.00046981,0.00023982,0.00022999,0.00000000,rebalance
2026-01-02,0.41448917,0.82897833,0.65267507,0.66628965,0.00039569,0.00019580,0.00019989,0.00000000,rebalance
2026-02-02,0.40660278,0.81320556,0.68318879,0.67984685,0.00040891,0.00020496,0.00020395,0.00000000,rebalance
2026-03-02,0.63381855,1.26763710,1.28394350,1.29705882,0.00077430,0.00038518,0.00038912,0.00000000,rebalance
2026-04-01,0.41174095,0.82348191,0.79279727,0.78850966,0.00047439,0.00023784,0.00023655,0.00000000,rebalance
