date,ts_code,name,weight
2025-02-28,01810.HK,小米集团-W,0.18033128
2025-02-28,09992.HK,泡泡玛特,0.13592068
2025-02-28,00981.HK,中芯国际,0.12911577
2025-02-28,03988.HK,中国银行,0.11937729
2025-02-28,00998.HK,中信银行,0.11841249
2025-02-28,02618.HK,京东物流,0.11069201
2025-02-28,03328.HK,交通银行,0.10461114
2025-02-28,03888.HK,金山软件,0.10153934
2025-03-31,09992.HK,泡泡玛特,0.16343627
2025-03-31,03988.HK,中国银行,0.14949404
2025-03-31,00005.HK,汇丰控股,0.14777166
2025-03-31,00998.HK,中信银行,0.12092994
2025-03-31,01810.HK,小米集团-W,0.12037095
2025-03-31,00981.HK,中芯国际,0.10651983
2025-03-31,01288.HK,农业银行,0.10526368
2025-03-31,00175.HK,吉利汽车,0.09859235
2025-04-30,09992.HK,泡泡玛特,0.15305045
2025-04-30,02388.HK,中银香港,0.13848068
2025-04-30,01810.HK,小米集团-W,0.13150000
2025-04-30,00005.HK,汇丰控股,0.12554111
2025-04-30,00981.HK,中芯国际,0.12183577
2025-04-30,03988.HK,中国银行,0.11577358
2025-04-30,01211.HK,比亚迪股份,0.10635832
2025-04-30,01288.HK,农业银行,0.10332175
2025-04-30,CASH,现金,0.00413833
2025-05-30,01357.HK,美图公司,0.14548515
2025-05-30,02388.HK,中银香港,0.14245167
2025-05-30,01385.HK,上海复旦,0.13108519
2025-05-30,09992.HK,泡泡玛特,0.12995143
2025-05-30,01810.HK,小米集团-W,0.12289272
2025-05-30,06990.HK,科伦博泰生物,0.12148294
2025-05-30,02367.HK,巨子生物,0.10564293
2025-05-30,03888.HK,金山软件,0.09336351
2025-05-30,CASH,现金,0.00764447
2025-06-30,00998.HK,中信银行,0.13887303
2025-06-30,00939.HK,建设银行,0.13279178
2025-06-30,01801.HK,信达生物,0.13243786
2025-06-30,01398.HK,工商银行,0.12699306
2025-06-30,01810.HK,小米集团-W,0.12600709
2025-06-30,09992.HK,泡泡玛特,0.12105506
2025-06-30,01988.HK,民生银行,0.11681614
2025-06-30,01385.HK,上海复旦,0.11066343
2025-07-31,01357.HK,美图公司,0.15591251
2025-07-31,00981.HK,中芯国际,0.14911563
2025-07-31,00288.HK,万洲国际,0.13027642
2025-07-31,01530.HK,三生制药,0.12982821
2025-07-31,01810.HK,小米集团-W,0.11833172
2025-07-31,01339.HK,中国人民保险集团,0.11332135
2025-07-31,09992.HK,泡泡玛特,0.10484104
2025-07-31,06181.HK,老铺黄金,0.09034857
2025-07-31,CASH,现金,0.00802454
2025-08-29,09992.HK,泡泡玛特,0.16026395
2025-08-29,01177.HK,中国生物制药,0.14345735
2025-08-29,06990.HK,科伦博泰生物,0.13515150
2025-08-29,01339.HK,中国人民保险集团,0.12193213
2025-08-29,01357.HK,美图公司,0.12190687
2025-08-29,01336.HK,新华保险,0.10985642
2025-08-29,01801.HK,信达生物,0.10539179
2025-08-29,01530.HK,三生制药,0.09740543
2025-08-29,CASH,现金,0.00463456
2025-09-30,02269.HK,药明生物,0.14346082
2025-09-30,02359.HK,药明康德,0.14312416
2025-09-30,01378.HK,中国宏桥,0.14119075
2025-09-30,09995.HK,荣昌生物,0.13950660
2025-09-30,01339.HK,中国人民保险集团,0.13276369
2025-09-30,01336.HK,新华保险,0.10423979
2025-09-30,09992.HK,泡泡玛特,0.10021110
2025-09-30,01833.HK,平安好医生,0.08973413
2025-09-30,CASH,现金,0.00576896
2025-10-31,03993.HK,洛阳钼业,0.14204431
2025-10-31,01347.HK,华虹半导体,0.13719001
2025-10-31,02727.HK,上海电气,0.13668407
2025-10-31,01776.HK,广发证券,0.12768358
2025-10-31,02359.HK,药明康德,0.12514459
2025-10-31,00981.HK,中芯国际,0.11840359
2025-10-31,01860.HK,汇量科技,0.11231726
2025-10-31,09995.HK,荣昌生物,0.10053259
2025-11-28,01530.HK,三生制药,0.14737192
2025-11-28,01378.HK,中国宏桥,0.14249107
2025-11-28,03993.HK,洛阳钼业,0.13893904
2025-11-28,01347.HK,华虹半导体,0.13047676
2025-11-28,00358.HK,江西铜业股份,0.11493875
2025-11-28,00981.HK,中芯国际,0.11058014
2025-11-28,01208.HK,五矿资源,0.10065220
2025-11-28,02359.HK,药明康德,0.10052038
2025-11-28,CASH,现金,0.01402975
2025-12-31,01378.HK,中国宏桥,0.14626825
2025-12-31,03993.HK,洛阳钼业,0.14385516
2025-12-31,00981.HK,中芯国际,0.13115102
2025-12-31,02099.HK,中国黄金国际,0.12853831
2025-12-31,02600.HK,中国铝业,0.11950784
2025-12-31,01347.HK,华虹半导体,0.11594624
2025-12-31,09995.HK,荣昌生物,0.11449201
2025-12-31,02400.HK,心动公司,0.10840585
2026-01-30,03993.HK,洛阳钼业,0.14183916
2026-01-30,02899.HK,紫金矿业,0.13984617
2026-01-30,01347.HK,华虹半导体,0.13657657
2026-01-30,02600.HK,中国铝业,0.13605214
2026-01-30,00358.HK,江西铜业股份,0.12588539
2026-01-30,01208.HK,五矿资源,0.11937689
2026-01-30,01378.HK,中国宏桥,0.11001354
2026-01-30,00981.HK,中芯国际,0.08998489
2026-01-30,CASH,现金,0.00042525
2026-02-27,06869.HK,长飞光纤光缆,0.19457097
2026-02-27,02388.HK,中银香港,0.14036793
2026-02-27,03993.HK,洛阳钼业,0.12243674
2026-02-27,01209.HK,华润万象生活,0.11693980
2026-02-27,02899.HK,紫金矿业,0.11346728
2026-02-27,00358.HK,江西铜业股份,0.11019930
2026-02-27,02600.HK,中国铝业,0.10513255
2026-02-27,01378.HK,中国宏桥,0.09840190
2026-03-31,06869.HK,长飞光纤光缆,0.15040389
2026-03-31,02388.HK,中银香港,0.14102876
2026-03-31,01088.HK,中国神华,0.13848106
2026-03-31,00005.HK,汇丰控股,0.13430565
2026-03-31,00016.HK,新鸿基地产,0.12977850
