date,portfolio_return,gross_return,net_return,trading_cost,eligible_count,candidate_family,market_risk_off,risk_stage,market_momentum,cash_weight_target,cash_after_trade,selected_count,buy_candidate_count,keep_candidate_count
2020-11-20,0.00000000,0.00000000,0.00000000,0.00000000,396,high_growth_theme,False,risk_on,,1.00000000,1.00000000,0,0,49
2020-11-27,0.00000000,0.00000000,0.00000000,0.00000000,396,high_growth_theme,False,risk_on,,1.00000000,1.00000000,0,0,62
2020-12-04,0.00000000,0.00000000,0.00000000,0.00000000,397,high_growth_theme,False,risk_on,,1.00000000,1.00000000,0,0,56
2020-12-11,0.00000000,0.00000000,0.00000000,0.00000000,398,high_growth_theme,False,risk_on,,1.00000000,1.00000000,0,0,59
2020-12-18,0.00000000,0.00000000,0.00000000,0.00000000,398,high_growth_theme,False,risk_on,,1.00000000,1.00000000,0,0,66
2020-12-24,0.00000000,0.00000000,0.00000000,0.00000000,400,high_growth_theme,False,risk_on,,1.00000000,1.00000000,0,0,62
2020-12-31,0.00000000,0.00000000,0.00000000,0.00000000,401,high_growth_theme,False,risk_on,,1.00000000,1.00000000,0,0,65
2021-01-08,0.01401501,0.01431492,0.01401501,0.00029991,402,high_growth_theme,False,risk_on,,0.00000000,0.00000000,6,30,68
2021-01-15,0.04954844,0.05014919,0.04954844,0.00060917,402,high_growth_theme,False,risk_on,,0.00000000,0.00000000,6,25,72
2021-01-22,-0.00781840,-0.00742111,-0.00781840,0.00042281,402,high_growth_theme,False,risk_on,,0.00000000,-0.00346244,6,27,55
2021-01-29,-0.06718073,-0.06656909,-0.06718073,0.00064585,402,high_growth_theme,False,risk_on,,0.00000000,0.00000000,6,26,63
2021-02-05,0.04645968,0.04707903,0.04645968,0.00061006,401,high_growth_theme,False,risk_on,,0.00000000,0.00000000,6,13,69
2021-02-11,0.03331228,0.03381271,0.03331228,0.00051583,400,high_growth_theme,False,risk_on,,0.00000000,0.00000000,6,21,64
2021-02-19,-0.00875259,-0.00845205,-0.00875259,0.00032011,402,high_growth_theme,False,risk_on,,0.00000000,-0.01863885,6,32,64
2021-02-26,-0.08622229,-0.08563598,-0.08622229,0.00061900,402,high_growth_theme,False,risk_on,,0.00000000,0.00000000,6,23,56
2021-03-05,0.02555185,0.02605233,0.02555185,0.00048283,402,high_growth_theme,False,risk_on,,0.00000000,-0.00335570,6,23,67
2021-03-12,-0.02239269,-0.02179049,-0.02239269,0.00059581,402,high_growth_theme,False,risk_on,,0.00000000,0.00000000,6,25,68
2021-03-19,0.02862463,0.02914492,0.02862463,0.00050325,402,high_growth_theme,False,risk_on,,0.00000000,0.00000000,6,23,64
2021-03-26,-0.02087741,-0.02036801,-0.02087741,0.00050681,402,high_growth_theme,False,risk_on,,0.00000000,0.00000000,6,25,61
2021-04-01,-0.00870625,-0.00809995,-0.00870625,0.00059064,403,high_growth_theme,False,risk_on,,0.00000000,0.00000000,6,20,61
2021-04-09,0.00315776,0.00356228,0.00315776,0.00039064,400,high_growth_theme,False,risk_on,,0.00000000,0.00000000,6,25,64
2021-04-16,0.02808680,0.02838330,0.02808680,0.00028723,400,high_growth_theme,False,risk_on,,0.00000000,-0.00065381,6,24,58
2021-04-23,0.00318975,0.00358440,0.00318975,0.00039304,400,high_growth_theme,False,risk_on,,0.00000000,-0.01036836,6,26,53
