date,one_way_turnover,two_way_turnover,buy_amount,sell_amount,trading_cost,buy_cost,sell_commission,sell_stamp_duty,event_type
2020-11-16,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2020-11-23,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2020-11-30,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2020-12-07,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2020-12-14,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2020-12-21,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2020-12-28,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,rebalance
2021-01-04,0.49985004,0.99970009,0.99970009,0.00000000,0.00029991,0.00029991,0.00000000,0.00000000,rebalance
2021-01-11,0.99970009,1.99940018,1.01497975,1.01558892,0.00060917,0.00030449,0.00030468,0.00000000,rebalance
2021-01-18,0.66201012,1.32402023,0.70621029,0.70317066,0.00042281,0.00021186,0.00021095,0.00000000,rebalance
2021-01-25,1.00131004,2.00262008,1.07435938,1.07846768,0.00064585,0.00032231,0.00032354,0.00000000,rebalance
2021-02-01,0.99970009,1.99940018,1.01645548,1.01706553,0.00061006,0.00030494,0.00030512,0.00000000,rebalance
2021-02-08,0.82022406,1.64044812,0.85945961,0.85997545,0.00051583,0.00025784,0.00025799,0.00000000,rebalance
2021-02-16,0.48884049,0.97768098,0.54267481,0.52435607,0.00032011,0.00016280,0.00015731,0.00000000,rebalance
2021-02-22,1.00881024,2.01762048,1.02204603,1.04130389,0.00061900,0.00030661,0.00031239,0.00000000,rebalance
2021-03-01,0.81450367,1.62900733,0.80616035,0.80328748,0.00048283,0.00024185,0.00024099,0.00000000,rebalance
2021-03-08,1.00139158,2.00278316,0.99104469,0.99499621,0.00059581,0.00029731,0.00029850,0.00000000,rebalance
2021-03-15,0.84758701,1.69517402,0.83849714,0.83900039,0.00050325,0.00025155,0.00025170,0.00000000,rebalance
2021-03-22,0.83985193,1.67970386,0.84443681,0.84494362,0.00050681,0.00025333,0.00025348,0.00000000,rebalance
2021-03-29,0.99970009,1.99940018,0.98409682,0.98468746,0.00059064,0.00029523,0.00029541,0.00000000,rebalance
2021-04-07,0.66806759,1.33613518,0.65086472,0.65125536,0.00039064,0.00019526,0.00019538,0.00000000,rebalance
2021-04-12,0.49596997,0.99193994,0.47889796,0.47853138,0.00028723,0.00014367,0.00014356,0.00000000,rebalance
2021-04-19,0.65325747,1.30651495,0.65973544,0.65041394,0.00039304,0.00019792,0.00019512,0.00000000,rebalance
2021-04-26,0.34495465,0.68990930,0.33973593,0.34542312,0.00020555,0.00010192,0.00010363,0.00000000,rebalance
2021-05-03,0.84844234,1.69688468,0.82663391,0.83201823,0.00049760,0.00024799,0.00024961,0.00000000,rebalance
2021-05-10,0.84416409,1.68832818,0.87990607,0.88043417,0.00052810,0.00026397,0.00026413,0.00000000,rebalance
2021-05-17,0.62769546,1.25539091,0.63704603,0.65239023,0.00038683,0.00019111,0.00019572,0.00000000,rebalance
2021-05-24,0.84111174,1.68222347,0.86959410,0.86310788,0.00051981,0.00026088,0.00025893,0.00000000,rebalance
2021-05-31,0.99609855,1.99219710,1.10289069,1.09559889,0.00065955,0.00033087,0.00032868,0.00000000,rebalance
2021-06-07,0.68159318,1.36318637,0.74317040,0.75333144,0.00044895,0.00022295,0.00022600,0.00000000,rebalance
2021-06-15,0.62812679,1.25625359,0.71243545,0.69692595,0.00042281,0.00021373,0.00020908,0.00000000,rebalance
2021-06-21,0.68285505,1.36571009,0.75523872,0.75196552,0.00045216,0.00022657,0.00022559,0.00000000,rebalance
2021-06-28,0.69049415,1.38098830,0.80052043,0.82538011,0.00048777,0.00024016,0.00024761,0.00000000,rebalance
2021-07-05,0.82515675,1.65031349,0.94639369,0.93253102,0.00056368,0.00028392,0.00027976,0.00000000,rebalance
2021-07-12,0.69507613,1.39015226,0.75760444,0.76869995,0.00045789,0.00022728,0.00023061,0.00000000,rebalance
2021-07-19,0.50681257,1.01362513,0.56324330,0.55294053,0.00033486,0.00016897,0.00016588,0.00000000,rebalance
2021-07-26,0.99970009,1.99940018,1.02004206,1.02065427,0.00061221,0.00030601,0.00030620,0.00000000,rebalance
2021-08-02,0.84382815,1.68765630,0.89179565,0.89233089,0.00053524,0.00026754,0.00026770,0.00000000,rebalance
2021-08-09,0.83982816,1.67965632,0.88473944,0.88527044,0.00053100,0.00026542,0.00026558,0.00000000,rebalance
2021-08-16,0.68510518,1.37021037,0.71893309,0.71936458,0.00043149,0.00021568,0.00021581,0.00000000,rebalance
2021-08-23,0.68885252,1.37770503,0.72123336,0.73054508,0.00043553,0.00021637,0.00021916,0.00000000,rebalance
2021-08-30,0.99548470,1.99096939,1.05188658,1.04363904,0.00062866,0.00031557,0.00031309,0.00000000,rebalance
2021-09-06,0.52288683,1.04577366,0.56668902,0.56100685,0.00033831,0.00017001,0.00016830,0.00000000,rebalance
2021-09-13,0.49141233,0.98282467,0.55007239,0.55225540,0.00033070,0.00016502,0.00016568,0.00000000,rebalance
2021-09-20,0.80868506,1.61737012,0.84429231,0.84896846,0.00050798,0.00025329,0.00025469,0.00000000,rebalance
2021-09-27,0.80043299,1.60086599,0.84033220,0.83669348,0.00050311,0.00025210,0.00025101,0.00000000,rebalance
2021-10-04,0.71324276,1.42648551,0.72337218,0.72794941,0.00043540,0.00021701,0.00021838,0.00000000,rebalance
2021-10-11,0.85961966,1.71923932,0.82693333,0.82742964,0.00049631,0.00024808,0.00024823,0.00000000,rebalance
2021-10-18,0.67685123,1.35370245,0.65729483,0.65768932,0.00039450,0.00019719,0.00019731,0.00000000,rebalance
2021-10-25,0.33374779,0.66749558,0.34020143,0.32507548,0.00019958,0.00010206,0.00009752,0.00000000,rebalance
2021-11-01,1.00748280,2.01496559,0.98369929,0.99961983,0.00059500,0.00029511,0.00029989,0.00000000,rebalance
2021-11-08,0.99970009,1.99940018,0.95122795,0.95179886,0.00057091,0.00028537,0.00028554,0.00000000,rebalance
2021-11-15,0.66625636,1.33251272,0.66320011,0.66359815,0.00039804,0.00019896,0.00019908,0.00000000,rebalance
